frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3066179752,0.0316569619,84.1558456421,9.16580096847348e-05,-40.37829577511499
13.817803313794176,3.6016676426,0.0452716798,81.0497283936,0.00015799594837563016,-38.01354049885247
19.093168841870124,3.7235720158,0.0649572015,79.0679931641,0.00030432322460355234,-35.16664902941584
26.382565169402454,3.7804384232,0.0879832804,76.789855957,0.0005416465279232062,-32.66284036434459
36.454909642416006,3.7688071728,0.1183179617,73.5229721069,0.0009855837244206788,-30.063064769051483
50.37267712610432,3.664440155,0.1559732109,70.4032211304,0.0018116936346956065,-27.41915241543539
69.6039744917768,3.4737360477,0.1999551952,62.9247932434,0.0033133838712518147,-24.797282461256476
96.17740293857183,3.1244707108,0.2509961724,54.2513237,0.006453291480152116,-21.90218718379198
132.89604370367155,2.7034626007,0.3034687936,37.8191490173,0.012600487400429034,-18.996126555790372
183.63313930787285,2.3312931061,0.3401286006,12.4411764145,0.02128592588498513,-16.719074543431066
253.74066008507532,2.367429018,0.3411783278,-22.2944145203,0.020768682135001083,-16.825910605017494
350.6138533767872,2.823379755,0.3006562889,-47.4947357178,0.011339711157885938,-19.453980075360473
484.47132650519154,3.3246002197,0.243897602,-63.7754135132,0.005381907165923136,-22.690637977790715
669.4329500821696,3.6374473572,0.1876160055,-71.7112350464,0.0026603963113388225,-25.7505366299031
925.0092836008405,3.8289673328,0.1379529685,-76.5957489014,0.0012980719878554396,-28.867012219721246
1278.1596344230072,3.9107093811,0.1020688489,-80.4597702026,0.0006812011109976548,-31.66724652400926
1766.1358432088182,4.0641484261,0.0768128037,-82.6855163574,0.0003572137058992739,-34.47071886059445
2440.411770690148,4.1026086807,0.0557668805,-84.2926864624,0.00018477044884278838,-37.333674862043736
3372.1129852064637,4.1398530006,0.0409200005,-86.9049377441,9.770154243580915e-05,-40.100985799242885
4659.51939814742,4.1013221741,0.0294796806,-86.8097076416,5.1665159619589763e-05,-42.86802224519212
6438.432258040967,4.1139407158,0.0210112408,-87.1042480469,2.6084789844199437e-05,-45.83612657882461
8896.499059079779,4.1265969276,0.0153734405,-88.0,1.3878995715100847e-05,-48.57641958317021
12293.007417971921,4.1399345398,0.0110400002,-88.5608901978,7.111336250795339e-06,-51.48048785793367
16986.2358636549,4.1268801689,0.0080000004,-86.7617034912,3.7578228274111114e-06,-54.250636997255306
23471.24662056999,4.139895916,0.0056799999,-85.8054428101,1.8824255611082284e-06,-57.25282188587621
32432.106933259205,4.1010489464,0.0040799999,-82.7532501221,9.897611423321156e-07,-60.0446960043596
44814.04746557166,4.1136674881,0.00272,-64.4414520264,4.371992813844691e-07,-63.59320560562719
61923.169357430495,4.1268033981,0.0016,107.8066940308,1.5031849064985354e-07,-68.22987593642834
85564.21747477402,4.1136288643,0.00104,,6.391701214381986e-08,-71.94383534691879
118230.95277651392,4.1522369385,0.0021599999,86.0638275146,2.7060960467063813e-07,-65.67656793172863
163369.20510683552,4.1389799118,0.00352,-106.2834777832,7.232670657373709e-07,-61.40701310230094
225740.35436971547,4.1265664101,0.00288,-152.0577545166,4.870878516296545e-07,-63.123927019535806
311923.5816666923,4.1386299133,0.00496,79.9002456665,1.4363165613829448e-06,-58.427498318831155
431009.8700404565,4.1518464088,0.0076000001,80.1380615234,3.350770149345201e-06,-54.74855362166132
595560.9610523023,4.1385922432,0.0086399997,60.7875900269,4.3583507258678254e-06,-53.606778240713595
822934.4221194938,4.151324749,0.0111999996,83.0427627563,7.27884710749733e-06,-51.37937402898835
1137114.598499805,4.1640958786,0.0170137603,82.0045623779,1.6693952697763782e-05,-47.77440821404399
1571242.5867314322,4.1256570816,0.0228592008,76.1581954956,3.069982011197363e-05,-45.12864169298257
2171112.1021712096,4.1126465797,0.0338688008,70.3125152588,6.78198554016195e-05,-41.686431405140766
3000000.000000001,4.1246700287,0.0352032036,80.9134674072,7.284268622150379e-05,-41.37614047093682
