frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3202097416,0.0513743982,95.1054382324,0.00023942111898174278,-36.20837543767935
13.817803313794176,3.6387989521,0.0770616084,92.1161880493,0.0004484974895662623,-33.48239983546468
19.093168841870124,3.8056457043,0.1069442481,91.7862548828,0.0007896927566072694,-31.025418454995624
26.382565169402454,3.935172081,0.1513986439,87.7215194702,0.0014801867544132826,-28.29683486433173
36.454909642416006,3.9711966515,0.2082725912,86.9146575928,0.002750562092282377,-25.605785466672316
50.37267712610432,4.0080070496,0.2910889685,85.0150985718,0.005274660852520925,-22.778054591798046
69.6039744917768,3.9956717491,0.3994579613,83.4237976074,0.009994534151392273,-20.00237443686401
96.17740293857183,4.032705307,0.5518023372,81.4244308472,0.018722942249494733,-17.276259022692056
132.89604370367155,4.02029562,0.7569644451,77.9282913208,0.03545153012236506,-14.503650155060534
183.63313930787285,4.0077733994,1.0294058323,73.5341644287,0.06597310616677926,-11.80633067847169
253.74066008507532,3.9701664448,1.4117625952,68.3451766968,0.12644623809119013,-8.98094086845797
350.6138533767872,3.9828414917,1.8622674942,60.8842124939,0.2186241227790463,-6.603019200998145
484.47132650519154,3.9460780621,2.3673841953,50.8809318542,0.35992013516555177,-4.437938567461285
669.4329500821696,3.9339368343,2.9136879444,38.7951812744,0.5485690602648229,-2.607686905980213
925.0092836008405,3.8976233006,3.3672609329,24.6552524567,0.7463693859604054,-1.2704618247315047
1278.1596344230072,3.8616430759,3.6244897842,8.74680233,0.8809464288991242,-0.5505050060144466
1766.1358432088182,3.9439299107,3.7017216682,-7.6271185875,0.8809457113081132,-0.5505085436409478
2440.411770690148,3.9560639858,3.4408936501,-23.684211731,0.756512110955025,-1.2118411499196904
3372.1129852064637,3.9918222427,3.0044159889,-38.3546829224,0.5664710784485026,-2.468222584234603
4659.51939814742,4.0286722183,2.4557652473,-48.9841537476,0.3715778615401603,-4.299501689985192
6438.432258040967,4.0664834976,1.8983447552,-60.5412368774,0.21792755433957076,-6.616878549255062
8896.499059079779,4.0783691406,1.4369026423,-68.2813873291,0.12413139120777128,-9.061183772090654
12293.007417971921,4.0909175873,1.0428510904,-74.2997512817,0.0649835058775216,-11.871968620555293
16986.2358636549,4.1035037041,0.748724699,-79.185333252,0.03329159941209793,-14.77665339743825
23471.24662056999,4.0908794403,0.5231993794,-83.0769271851,0.01635690301413619,-17.8629892139779
32432.106933259205,4.1034660339,0.3499384224,-86.0818710327,0.007272463886534037,-21.383184266870128
44814.04746557166,4.116724968,0.2118432522,-85.7680282593,0.0026480462328001037,-25.77074436726791
61923.169357430495,4.10374403,0.0984484851,-85.3746185303,0.0005755161928569923,-32.39942452452081
85564.21747477402,4.1157402992,0.0205435995,55.1712379456,2.491478554053131e-05,-46.03542846761626
118230.95277651392,4.1284036636,0.1338854432,77.5384597778,0.0010517255186225938,-29.78097588415658
163369.20510683552,4.1160230637,0.3017350435,72.5654449463,0.005373978255915142,-22.69704095133065
225740.35436971547,4.1286907196,0.1959484816,44.2676429749,0.0022524704532161464,-26.47340897169919
311923.5816666923,4.1150407791,0.4159871936,64.3500061035,0.010219076140410356,-19.905883649897444
431009.8700404565,4.1281795502,0.6607565284,57.0542755127,0.025619212098552464,-15.914342308174321
595560.9610523023,4.1150026321,0.6465258002,35.1847419739,0.02468490648385748,-16.07568513719783
822934.4221194938,4.1276655197,0.837803483,44.0032806396,0.041197923610256766,-13.851246720089046
1137114.598499805,4.1152834892,1.0777082443,33.9545478821,0.06858085493003985,-11.637971052653375
1571242.5867314322,4.128259182,1.1855808496,23.7885456085,0.0824761614740543,-10.836715597690281
2171112.1021712096,4.1152386665,1.3700777292,8.4521741867,0.11084098044398674,-9.552996413206067
3000000.000000001,4.1536970139,1.165135026,9.9519233704,0.07868335825697037,-11.041171123858183
