Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0025,0.7000000000000001,-0.352,1.052
-0.0024980000000000002,0.66,-0.36,1.02
-0.002496,0.62,-0.368,0.988
-0.002494,0.6,-0.368,0.968
-0.002492,0.58,-0.376,0.956
-0.00249,0.56,-0.376,0.936
-0.002488,0.54,-0.376,0.916
-0.002486,0.5,-0.384,0.884
-0.002484,0.48,-0.384,0.864
-0.0024820000000000003,0.46,-0.392,0.8520000000000001
-0.00248,0.44,-0.392,0.8320000000000001
-0.002478,0.42,-0.4,0.8200000000000001
-0.002476,0.4,-0.4,0.8
-0.002474,0.36,-0.40800000000000003,0.768
-0.0024720000000000002,0.34,-0.40800000000000003,0.748
-0.00247,0.32,-0.41600000000000004,0.736
-0.002468,0.28,-0.41600000000000004,0.6960000000000001
-0.002466,0.28,-0.424,0.704
-0.002464,0.26,-0.424,0.6839999999999999
-0.002462,0.24,-0.424,0.6639999999999999
-0.00246,0.2,-0.432,0.632
-0.002458,0.18,-0.432,0.612
-0.002456,0.14,-0.44,0.5800000000000001
-0.002454,0.12,-0.432,0.552
-0.002452,0.12,-0.44,0.56
-0.00245,0.1,-0.448,0.548
-0.002448,0.06,-0.448,0.508
-0.0024460000000000003,0.04,-0.448,0.488
-0.002444,0.02,-0.448,0.468
-0.002442,0.0,-0.456,0.456
-0.00244,-0.04,-0.448,0.40800000000000003
-0.002438,-0.06,-0.464,0.404
-0.0024360000000000002,-0.08,-0.456,0.376
-0.002434,-0.12,-0.464,0.34400000000000003
-0.002432,-0.14,-0.464,0.324
-0.00243,-0.16,-0.464,0.30400000000000005
-0.002428,-0.18,-0.47200000000000003,0.29200000000000004
-0.002426,-0.2,-0.47200000000000003,0.272
-0.002424,-0.22,-0.47200000000000003,0.252
-0.002422,-0.24,-0.47200000000000003,0.23200000000000004
-0.0024200000000000003,-0.26,-0.48,0.21999999999999997
-0.002418,-0.3,-0.47200000000000003,0.17200000000000004
-0.002416,-0.34,-0.48,0.13999999999999996
-0.002414,-0.34,-0.48,0.13999999999999996
-0.002412,-0.36,-0.48,0.12
-0.0024100000000000002,-0.4,-0.48,0.07999999999999996
-0.002408,-0.4,-0.488,0.08799999999999997
-0.002406,-0.44,-0.48,0.03999999999999998
-0.002404,-0.48,-0.488,0.008000000000000007
-0.002402,-0.5,-0.488,-0.01200000000000001
-0.0024000000000000002,-0.52,-0.488,-0.03200000000000003
-0.002398,-0.52,-0.488,-0.03200000000000003
-0.002396,-0.56,-0.488,-0.07200000000000006
-0.002394,-0.58,-0.488,-0.09199999999999997
-0.002392,-0.6,-0.488,-0.11199999999999999
-0.00239,-0.62,-0.488,-0.132
-0.002388,-0.64,-0.496,-0.14400000000000002
-0.002386,-0.66,-0.496,-0.16400000000000003
-0.002384,-0.7000000000000001,-0.496,-0.20400000000000007
-0.002382,-0.72,-0.488,-0.23199999999999998
-0.00238,-0.76,-0.496,-0.264
-0.002378,-0.78,-0.496,-0.28400000000000003
-0.002376,-0.78,-0.488,-0.29200000000000004
-0.0023740000000000002,-0.8,-0.496,-0.30400000000000005
-0.002372,-0.8200000000000001,-0.488,-0.3320000000000001
-0.00237,-0.86,-0.488,-0.372
-0.002368,-0.88,-0.488,-0.392
-0.002366,-0.9,-0.488,-0.41200000000000003
-0.002364,-0.92,-0.488,-0.43200000000000005
-0.002362,-0.9400000000000001,-0.488,-0.45200000000000007
-0.00236,-0.96,-0.488,-0.472
-0.002358,-0.98,-0.488,-0.492
-0.002356,-1.0,-0.488,-0.512
-0.002354,-1.0,-0.488,-0.512
-0.002352,-1.04,-0.488,-0.552
-0.00235,-1.06,-0.488,-0.5720000000000001
-0.0023480000000000003,-1.08,-0.48,-0.6000000000000001
-0.002346,-1.1,-0.48,-0.6200000000000001
-0.002344,-1.1400000000000001,-0.48,-0.6600000000000001
-0.002342,-1.1400000000000001,-0.47200000000000003,-0.6680000000000001
-0.00234,-1.16,-0.47200000000000003,-0.688
-0.0023380000000000002,-1.2,-0.47200000000000003,-0.728
-0.002336,-1.2,-0.47200000000000003,-0.728
-0.002334,-1.22,-0.47200000000000003,-0.748
-0.002332,-1.22,-0.47200000000000003,-0.748
-0.00233,-1.26,-0.464,-0.796
-0.002328,-1.26,-0.464,-0.796
-0.002326,-1.28,-0.464,-0.8160000000000001
-0.002324,-1.3,-0.464,-0.8360000000000001
-0.0023220000000000003,-1.32,-0.456,-0.8640000000000001
-0.00232,-1.34,-0.456,-0.8840000000000001
-0.002318,-1.34,-0.464,-0.8760000000000001
-0.002316,-1.3800000000000001,-0.448,-0.9320000000000002
-0.002314,-1.4000000000000001,-0.448,-0.9520000000000002
-0.0023120000000000003,-1.4000000000000001,-0.448,-0.9520000000000002
-0.00231,-1.42,-0.448,-0.972
-0.002308,-1.42,-0.44,-0.98
-0.002306,-1.46,-0.44,-1.02
-0.002304,-1.46,-0.432,-1.028
-0.0023020000000000002,-1.48,-0.44,-1.04
-0.0023,-1.48,-0.424,-1.056
-0.002298,-1.52,-0.424,-1.096
-0.002296,-1.52,-0.41600000000000004,-1.104
-0.002294,-1.52,-0.41600000000000004,-1.104
-0.002292,-1.58,-0.40800000000000003,-1.1720000000000002
-0.00229,-1.56,-0.40800000000000003,-1.1520000000000001
-0.002288,-1.58,-0.40800000000000003,-1.1720000000000002
-0.002286,-1.58,-0.40800000000000003,-1.1720000000000002
-0.002284,-1.58,-0.4,-1.1800000000000002
-0.002282,-1.6,-0.40800000000000003,-1.1920000000000002
-0.00228,-1.62,-0.392,-1.2280000000000002
-0.002278,-1.6400000000000001,-0.384,-1.2560000000000002
-0.0022760000000000002,-1.6600000000000001,-0.384,-1.2760000000000002
-0.002274,-1.68,-0.384,-1.2959999999999998
-0.002272,-1.68,-0.384,-1.2959999999999998
-0.00227,-1.68,-0.376,-1.3039999999999998
-0.002268,-1.7,-0.368,-1.3319999999999999
-0.0022660000000000002,-1.7,-0.368,-1.3319999999999999
-0.002264,-1.7,-0.36,-1.3399999999999999
-0.002262,-1.72,-0.36,-1.3599999999999999
-0.00226,-1.72,-0.352,-1.3679999999999999
-0.002258,-1.76,-0.352,-1.408
-0.002256,-1.74,-0.34400000000000003,-1.396
-0.002254,-1.76,-0.336,-1.424
-0.002252,-1.76,-0.336,-1.424
-0.0022500000000000003,-1.76,-0.328,-1.432
-0.002248,-1.76,-0.328,-1.432
-0.002246,-1.78,-0.32,-1.46
-0.002244,-1.8,-0.312,-1.488
-0.002242,-1.8,-0.312,-1.488
-0.0022400000000000002,-1.8,-0.304,-1.496
-0.002238,-1.82,-0.296,-1.524
-0.002236,-1.82,-0.296,-1.524
-0.002234,-1.82,-0.296,-1.524
-0.002232,-1.82,-0.28,-1.54
-0.00223,-1.84,-0.28,-1.56
-0.002228,-1.84,-0.28,-1.56
-0.002226,-1.86,-0.264,-1.596
-0.0022240000000000003,-1.86,-0.256,-1.604
-0.002222,-1.86,-0.256,-1.604
-0.00222,-1.86,-0.256,-1.604
-0.002218,-1.86,-0.24,-1.62
-0.002216,-1.86,-0.24,-1.62
-0.002214,-1.86,-0.232,-1.6280000000000001
-0.002212,-1.8800000000000001,-0.232,-1.6480000000000001
-0.00221,-1.8800000000000001,-0.224,-1.6560000000000001
-0.002208,-1.86,-0.224,-1.6360000000000001
-0.002206,-1.86,-0.216,-1.6440000000000001
-0.0022040000000000002,-1.86,-0.20800000000000002,-1.6520000000000001
-0.002202,-1.86,-0.2,-1.6600000000000001
-0.0022,-1.86,-0.184,-1.6760000000000002
-0.0021980000000000003,-1.86,-0.192,-1.6680000000000001
-0.002196,-1.86,-0.184,-1.6760000000000002
-0.002194,-1.86,-0.176,-1.6840000000000002
-0.002192,-1.86,-0.168,-1.6920000000000002
-0.00219,-1.86,-0.168,-1.6920000000000002
-0.002188,-1.86,-0.168,-1.6920000000000002
-0.002186,-1.86,-0.152,-1.7080000000000002
-0.002184,-1.86,-0.152,-1.7080000000000002
-0.002182,-1.86,-0.14400000000000002,-1.7160000000000002
-0.00218,-1.86,-0.136,-1.7240000000000002
-0.0021780000000000002,-1.86,-0.136,-1.7240000000000002
-0.002176,-1.84,-0.12,-1.7200000000000002
-0.002174,-1.84,-0.12,-1.7200000000000002
-0.002172,-1.84,-0.10400000000000001,-1.736
-0.00217,-1.84,-0.10400000000000001,-1.736
-0.0021680000000000002,-1.84,-0.096,-1.744
-0.002166,-1.82,-0.088,-1.732
-0.002164,-1.82,-0.088,-1.732
-0.002162,-1.8,-0.08,-1.72
-0.00216,-1.82,-0.07200000000000001,-1.748
-0.002158,-1.82,-0.07200000000000001,-1.748
-0.002156,-1.8,-0.056,-1.744
-0.002154,-1.78,-0.056,-1.724
-0.0021520000000000003,-1.76,-0.04,-1.72
-0.00215,-1.76,-0.048,-1.712
-0.002148,-1.78,-0.04,-1.74
-0.002146,-1.76,-0.032,-1.728
-0.002144,-1.76,-0.024,-1.736
-0.0021420000000000002,-1.74,-0.016,-1.724
-0.00214,-1.74,-0.008,-1.732
-0.002138,-1.74,0.0,-1.74
-0.002136,-1.72,0.008,-1.728
-0.002134,-1.7,0.016,-1.716
-0.002132,-1.7,0.016,-1.716
-0.00213,-1.7,0.024,-1.724
-0.002128,-1.68,0.032,-1.712
-0.0021260000000000003,-1.6600000000000001,0.032,-1.6920000000000002
-0.002124,-1.6600000000000001,0.04,-1.7000000000000002
-0.002122,-1.6400000000000001,0.048,-1.6880000000000002
-0.00212,-1.62,0.048,-1.6680000000000001
-0.002118,-1.62,0.056,-1.6760000000000002
-0.002116,-1.6,0.064,-1.6640000000000001
-0.002114,-1.6,0.07200000000000001,-1.6720000000000002
-0.002112,-1.6,0.08,-1.6800000000000002
-0.00211,-1.58,0.088,-1.6680000000000001
-0.002108,-1.56,0.088,-1.6480000000000001
-0.0021060000000000002,-1.56,0.096,-1.6560000000000001
-0.002104,-1.54,0.096,-1.6360000000000001
-0.002102,-1.54,0.112,-1.6520000000000001
-0.0021000000000000003,-1.5,0.112,-1.612
-0.002098,-1.48,0.12,-1.6
-0.002096,-1.48,0.128,-1.608
-0.002094,-1.48,0.136,-1.616
-0.002092,-1.42,0.136,-1.556
-0.00209,-1.42,0.14400000000000002,-1.564
-0.002088,-1.4000000000000001,0.152,-1.552
-0.002086,-1.4000000000000001,0.152,-1.552
-0.002084,-1.3800000000000001,0.168,-1.548
-0.002082,-1.36,0.168,-1.528
-0.0020800000000000003,-1.36,0.168,-1.528
-0.002078,-1.32,0.176,-1.496
-0.002076,-1.3,0.184,-1.484
-0.002074,-1.28,0.192,-1.472
-0.002072,-1.26,0.2,-1.46
-0.0020700000000000002,-1.24,0.2,-1.44
-0.002068,-1.24,0.2,-1.44
-0.002066,-1.22,0.216,-1.436
-0.002064,-1.2,0.224,-1.424
-0.002062,-1.2,0.232,-1.432
-0.00206,-1.16,0.232,-1.392
-0.002058,-1.1400000000000001,0.24,-1.3800000000000001
-0.002056,-1.1400000000000001,0.24,-1.3800000000000001
-0.0020540000000000003,-1.1,0.248,-1.348
-0.002052,-1.1,0.256,-1.356
-0.00205,-1.08,0.264,-1.344
-0.002048,-1.06,0.264,-1.324
-0.002046,-1.04,0.272,-1.312
-0.0020440000000000002,-1.0,0.28,-1.28
-0.002042,-0.98,0.28,-1.26
-0.00204,-0.98,0.28800000000000003,-1.268
-0.002038,-0.9400000000000001,0.28800000000000003,-1.2280000000000002
-0.002036,-0.92,0.304,-1.224
-0.0020340000000000002,-0.9,0.304,-1.204
-0.002032,-0.9,0.312,-1.212
-0.00203,-0.88,0.32,-1.2
-0.0020280000000000003,-0.86,0.312,-1.172
-0.002026,-0.8200000000000001,0.32,-1.1400000000000001
-0.002024,-0.8,0.328,-1.1280000000000001
-0.002022,-0.78,0.328,-1.108
-0.00202,-0.76,0.34400000000000003,-1.104
-0.0020180000000000003,-0.74,0.34400000000000003,-1.084
-0.002016,-0.7000000000000001,0.34400000000000003,-1.044
-0.002014,-0.66,0.352,-1.012
-0.002012,-0.64,0.34400000000000003,-0.984
-0.00201,-0.64,0.368,-1.008
-0.0020080000000000002,-0.62,0.36,-0.98
-0.002006,-0.6,0.368,-0.968
-0.002004,-0.58,0.368,-0.948
-0.0020020000000000003,-0.54,0.376,-0.916
-0.002,-0.54,0.384,-0.924
-0.001998,-0.5,0.384,-0.884
-0.001996,-0.46,0.392,-0.8520000000000001
-0.001994,-0.44,0.392,-0.8320000000000001
-0.001992,-0.44,0.4,-0.8400000000000001
-0.00199,-0.4,0.4,-0.8
-0.001988,-0.38,0.4,-0.78
-0.001986,-0.36,0.40800000000000003,-0.768
-0.001984,-0.32,0.40800000000000003,-0.728
-0.0019820000000000003,-0.32,0.41600000000000004,-0.736
-0.00198,-0.3,0.424,-0.724
-0.001978,-0.28,0.41600000000000004,-0.6960000000000001
-0.0019760000000000003,-0.24,0.432,-0.6719999999999999
-0.001974,-0.22,0.432,-0.652
-0.0019720000000000002,-0.2,0.432,-0.632
-0.00197,-0.16,0.432,-0.592
-0.001968,-0.14,0.432,-0.5720000000000001
-0.001966,-0.12,0.44,-0.56
-0.001964,-0.1,0.448,-0.548
-0.001962,-0.06,0.44,-0.5
-0.00196,-0.06,0.448,-0.508
-0.001958,-0.02,0.448,-0.468
-0.0019560000000000003,0.0,0.456,-0.456
-0.001954,0.02,0.456,-0.436
-0.0019520000000000002,0.06,0.456,-0.396
-0.0019500000000000001,0.08,0.464,-0.384
-0.001948,0.1,0.464,-0.364
-0.001946,0.12,0.456,-0.336
-0.001944,0.16,0.47200000000000003,-0.31200000000000006
-0.0019420000000000001,0.18,0.47200000000000003,-0.29200000000000004
-0.00194,0.2,0.464,-0.264
-0.001938,0.22,0.47200000000000003,-0.252
-0.0019360000000000002,0.24,0.48,-0.24
-0.001934,0.26,0.48,-0.21999999999999997
-0.0019320000000000001,0.3,0.48,-0.18
-0.00193,0.34,0.47200000000000003,-0.132
-0.001928,0.34,0.48,-0.13999999999999996
-0.0019260000000000002,0.38,0.48,-0.09999999999999998
-0.001924,0.38,0.488,-0.10799999999999998
-0.001922,0.44,0.48,-0.03999999999999998
-0.00192,0.44,0.488,-0.04799999999999999
-0.001918,0.44,0.488,-0.04799999999999999
-0.0019160000000000002,0.48,0.488,-0.008000000000000007
-0.0019140000000000001,0.5,0.488,0.01200000000000001
-0.001912,0.54,0.488,0.052000000000000046
-0.0019100000000000002,0.54,0.488,0.052000000000000046
-0.001908,0.56,0.496,0.06400000000000006
-0.0019060000000000001,0.6,0.488,0.11199999999999999
-0.001904,0.62,0.488,0.132
-0.001902,0.66,0.488,0.17200000000000004
-0.0019000000000000002,0.68,0.496,0.18400000000000005
-0.001898,0.7000000000000001,0.488,0.21200000000000008
-0.0018960000000000001,0.72,0.496,0.22399999999999998
-0.001894,0.74,0.496,0.244
-0.001892,0.76,0.488,0.272
-0.0018900000000000002,0.8,0.496,0.30400000000000005
-0.001888,0.8,0.496,0.30400000000000005
-0.001886,0.8200000000000001,0.496,0.32400000000000007
-0.001884,0.84,0.496,0.344
-0.001882,0.88,0.496,0.384
-0.0018800000000000002,0.9,0.488,0.41200000000000003
-0.0018780000000000001,0.92,0.488,0.43200000000000005
-0.001876,0.9400000000000001,0.496,0.44400000000000006
-0.0018740000000000002,0.9400000000000001,0.488,0.45200000000000007
-0.001872,0.96,0.488,0.472
-0.0018700000000000001,1.0,0.488,0.512
-0.001868,1.0,0.488,0.512
-0.001866,1.04,0.488,0.552
-0.0018640000000000002,1.04,0.488,0.552
-0.001862,1.08,0.488,0.5920000000000001
-0.00186,1.1,0.48,0.6200000000000001
-0.001858,1.12,0.48,0.6400000000000001
-0.001856,1.1400000000000001,0.48,0.6600000000000001
-0.0018540000000000002,1.1400000000000001,0.48,0.6600000000000001
-0.0018520000000000001,1.18,0.47200000000000003,0.708
-0.00185,1.18,0.48,0.7
-0.001848,1.2,0.47200000000000003,0.728
-0.001846,1.22,0.47200000000000003,0.748
-0.0018440000000000002,1.24,0.464,0.776
-0.001842,1.26,0.47200000000000003,0.788
-0.00184,1.28,0.47200000000000003,0.808
-0.0018380000000000002,1.32,0.47200000000000003,0.8480000000000001
-0.001836,1.3,0.464,0.8360000000000001
-0.0018340000000000001,1.34,0.464,0.8760000000000001
-0.001832,1.36,0.456,0.9040000000000001
-0.00183,1.36,0.448,0.9120000000000001
-0.0018280000000000002,1.3800000000000001,0.448,0.9320000000000002
-0.001826,1.4000000000000001,0.448,0.9520000000000002
-0.001824,1.42,0.448,0.972
-0.001822,1.44,0.448,0.992
-0.00182,1.46,0.44,1.02
-0.0018180000000000002,1.48,0.44,1.04
-0.0018160000000000001,1.48,0.432,1.048
-0.001814,1.5,0.432,1.068
-0.0018120000000000002,1.5,0.44,1.06
-0.00181,1.54,0.432,1.108
-0.0018080000000000001,1.54,0.424,1.116
-0.001806,1.56,0.424,1.1360000000000001
-0.001804,1.56,0.41600000000000004,1.1440000000000001
-0.0018020000000000002,1.58,0.41600000000000004,1.1640000000000001
-0.0018,1.58,0.41600000000000004,1.1640000000000001
-0.0017980000000000001,1.6,0.40800000000000003,1.1920000000000002
-0.001796,1.62,0.40800000000000003,1.2120000000000002
-0.001794,1.6400000000000001,0.4,1.2400000000000002
-0.0017920000000000002,1.62,0.4,1.2200000000000002
-0.00179,1.6600000000000001,0.392,1.2680000000000002
-0.001788,1.6600000000000001,0.384,1.2760000000000002
-0.001786,1.68,0.384,1.2959999999999998
-0.001784,1.7,0.376,1.3239999999999998
-0.0017820000000000002,1.7,0.368,1.3319999999999999
-0.0017800000000000001,1.7,0.376,1.3239999999999998
-0.001778,1.72,0.368,1.3519999999999999
-0.0017760000000000002,1.72,0.36,1.3599999999999999
-0.001774,1.74,0.36,1.38
-0.0017720000000000001,1.74,0.36,1.38
-0.00177,1.76,0.352,1.408
-0.001768,1.76,0.34400000000000003,1.416
