Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.025,0.4,-0.004,0.404
-0.024980000000000002,0.4,0.004,0.396
-0.024960000000000003,0.32,0.004,0.316
-0.02494,0.32,-0.006,0.326
-0.02492,0.24,0.004,0.236
-0.024900000000000002,0.24,0.01,0.22999999999999998
-0.024880000000000003,0.24,0.0,0.24
-0.02486,0.24,0.004,0.236
-0.02484,0.16,-0.002,0.162
-0.024820000000000002,0.08,-0.006,0.08600000000000001
-0.024800000000000003,0.08,0.0,0.08
-0.02478,0.08,-0.008,0.088
-0.02476,0.08,-0.002,0.082
-0.02474,0.08,0.0,0.08
-0.024720000000000002,0.0,-0.004,0.004
-0.0247,0.0,-0.002,0.002
-0.02468,-0.08,0.002,-0.082
-0.02466,-0.08,-0.004,-0.076
-0.024640000000000002,-0.08,0.004,-0.084
-0.024620000000000003,-0.16,-0.002,-0.158
-0.0246,-0.16,-0.012,-0.148
-0.02458,-0.16,-0.008,-0.152
-0.024560000000000002,-0.16,0.004,-0.164
-0.024540000000000003,-0.16,-0.012,-0.148
-0.02452,-0.16,0.006,-0.166
-0.0245,-0.24,0.004,-0.244
-0.024480000000000002,-0.24,0.002,-0.242
-0.024460000000000003,-0.32,-0.002,-0.318
-0.02444,-0.32,-0.002,-0.318
-0.02442,-0.4,0.0,-0.4
-0.0244,-0.4,0.006,-0.406
-0.024380000000000002,-0.4,-0.004,-0.396
-0.02436,-0.4,-0.02,-0.38
-0.02434,-0.48,0.008,-0.488
-0.02432,-0.48,0.0,-0.48
-0.024300000000000002,-0.48,-0.006,-0.474
-0.024280000000000003,-0.56,-0.006,-0.554
-0.02426,-0.56,0.0,-0.56
-0.02424,-0.56,-0.006,-0.554
-0.024220000000000002,-0.64,-0.016,-0.624
-0.024200000000000003,-0.64,-0.002,-0.638
-0.02418,-0.64,0.002,-0.642
-0.02416,-0.64,-0.002,-0.638
-0.02414,-0.72,-0.002,-0.718
-0.024120000000000003,-0.72,0.002,-0.722
-0.0241,-0.72,0.0,-0.72
-0.02408,-0.72,-0.002,-0.718
-0.02406,-0.8,0.0,-0.8
-0.024040000000000002,-0.8,-0.008,-0.792
-0.02402,-0.88,-0.004,-0.876
-0.024,-0.8,-0.008,-0.792
-0.02398,-0.88,-0.002,-0.878
-0.023960000000000002,-0.88,0.008,-0.888
-0.023940000000000003,-0.96,-0.008,-0.952
-0.02392,-0.96,0.0,-0.96
-0.0239,-0.96,-0.02,-0.94
-0.023880000000000002,-0.96,0.002,-0.962
-0.023860000000000003,-1.04,-0.004,-1.036
-0.02384,-1.04,-0.004,-1.036
-0.02382,-1.04,0.0,-1.04
-0.0238,-1.04,-0.002,-1.038
-0.023780000000000003,-1.12,0.008,-1.1280000000000001
-0.02376,-1.12,0.004,-1.124
-0.02374,-1.12,0.002,-1.122
-0.02372,-1.12,-0.028,-1.092
-0.023700000000000002,-1.2,-0.002,-1.198
-0.02368,-1.2,-0.002,-1.198
-0.02366,-1.2,0.004,-1.204
-0.02364,-1.2,0.0,-1.2
-0.023620000000000002,-1.28,0.004,-1.284
-0.023600000000000003,-1.28,0.002,-1.282
-0.02358,-1.28,0.0,-1.28
-0.02356,-1.36,0.004,-1.364
-0.023540000000000002,-1.36,0.002,-1.362
-0.023520000000000003,-1.28,0.004,-1.284
-0.0235,-1.36,0.0,-1.36
-0.02348,-1.44,0.004,-1.444
-0.02346,-1.44,-0.002,-1.438
-0.023440000000000003,-1.44,0.018000000000000002,-1.458
-0.02342,-1.44,0.0,-1.44
-0.0234,-1.52,0.01,-1.53
-0.02338,-1.52,-0.006,-1.514
-0.023360000000000002,-1.52,0.002,-1.522
-0.02334,-1.52,-0.002,-1.518
-0.02332,-1.52,-0.002,-1.518
-0.0233,-1.52,-0.004,-1.516
-0.023280000000000002,-1.6,-0.012,-1.588
-0.023260000000000003,-1.6,0.016,-1.616
-0.02324,-1.6,-0.01,-1.59
-0.02322,-1.6,0.002,-1.602
-0.023200000000000002,-1.6,-0.006,-1.594
-0.023180000000000003,-1.6,-0.002,-1.598
-0.02316,-1.68,-0.006,-1.674
-0.02314,-1.68,0.0,-1.68
-0.02312,-1.68,0.008,-1.688
-0.023100000000000002,-1.68,-0.002,-1.678
-0.02308,-1.68,0.004,-1.684
-0.02306,-1.76,-0.004,-1.756
-0.02304,-1.76,-0.006,-1.754
-0.023020000000000002,-1.76,0.0,-1.76
-0.023,-1.76,0.002,-1.762
-0.02298,-1.76,-0.016,-1.744
-0.02296,-1.84,0.008,-1.848
-0.022940000000000002,-1.76,-0.012,-1.748
-0.022920000000000003,-1.84,0.002,-1.842
-0.0229,-1.84,0.0,-1.84
-0.02288,-1.84,0.012,-1.852
-0.022860000000000002,-1.84,0.0,-1.84
-0.022840000000000003,-1.84,0.004,-1.844
-0.02282,-1.84,-0.008,-1.832
-0.0228,-1.84,-0.016,-1.824
-0.02278,-1.84,0.006,-1.846
-0.022760000000000002,-1.84,-0.01,-1.83
-0.02274,-1.84,0.004,-1.844
-0.02272,-1.92,-0.006,-1.914
-0.0227,-1.92,0.002,-1.922
-0.022680000000000002,-1.92,0.0,-1.92
-0.02266,-1.92,0.0,-1.92
-0.02264,-1.92,-0.008,-1.912
-0.02262,-1.92,0.004,-1.924
-0.022600000000000002,-1.92,0.006,-1.926
-0.022580000000000003,-1.92,-0.004,-1.916
-0.02256,-1.92,0.006,-1.926
-0.02254,-1.92,0.002,-1.922
-0.022520000000000002,-2.0,-0.002,-1.998
-0.022500000000000003,-2.0,0.0,-2.0
-0.02248,-2.0,0.004,-2.004
-0.02246,-2.0,0.008,-2.008
-0.02244,-1.92,0.0,-1.92
-0.022420000000000002,-2.0,0.008,-2.008
-0.0224,-1.92,-0.004,-1.916
-0.02238,-2.0,0.008,-2.008
-0.02236,-2.0,-0.01,-1.99
-0.022340000000000002,-1.92,0.008,-1.928
-0.02232,-2.0,0.008,-2.008
-0.0223,-2.0,0.012,-2.012
-0.02228,-1.92,-0.008,-1.912
-0.022260000000000002,-2.0,0.004,-2.004
-0.022240000000000003,-2.0,0.0,-2.0
-0.02222,-2.0,0.01,-2.01
-0.0222,-2.0,0.002,-2.002
-0.022180000000000002,-2.0,0.0,-2.0
-0.022160000000000003,-2.0,-0.004,-1.996
-0.02214,-1.92,-0.002,-1.918
-0.02212,-1.92,-0.002,-1.918
-0.0221,-1.92,0.002,-1.922
-0.022080000000000002,-1.92,0.002,-1.922
-0.02206,-1.92,0.0,-1.92
-0.02204,-1.92,0.0,-1.92
-0.02202,-1.92,-0.006,-1.914
-0.022000000000000002,-2.0,0.01,-2.01
-0.02198,-1.92,-0.006,-1.914
-0.02196,-1.92,0.0,-1.92
-0.02194,-1.92,0.004,-1.924
-0.021920000000000002,-1.92,0.006,-1.926
-0.021900000000000003,-1.92,0.0,-1.92
-0.02188,-1.92,0.004,-1.924
-0.02186,-1.92,0.008,-1.928
-0.021840000000000002,-1.92,0.008,-1.928
-0.021820000000000003,-1.92,0.004,-1.924
-0.0218,-1.92,0.014,-1.934
-0.02178,-1.84,0.0,-1.84
-0.02176,-1.84,0.01,-1.85
-0.021740000000000002,-1.84,0.004,-1.844
-0.02172,-1.76,0.008,-1.768
-0.0217,-1.84,0.008,-1.848
-0.02168,-1.84,0.008,-1.848
-0.021660000000000002,-1.84,0.002,-1.842
-0.02164,-1.84,0.008,-1.848
-0.02162,-1.76,-0.006,-1.754
-0.0216,-1.84,0.014,-1.854
-0.021580000000000002,-1.76,-0.008,-1.752
-0.021560000000000003,-1.76,0.008,-1.768
-0.02154,-1.76,-0.002,-1.758
-0.02152,-1.76,0.006,-1.766
-0.021500000000000002,-1.76,-0.002,-1.758
-0.021480000000000003,-1.68,-0.002,-1.678
-0.02146,-1.68,-0.002,-1.678
-0.02144,-1.68,0.006,-1.686
-0.02142,-1.68,-0.002,-1.678
-0.021400000000000002,-1.68,-0.004,-1.676
-0.02138,-1.68,0.004,-1.684
-0.02136,-1.68,0.0,-1.68
-0.02134,-1.6,0.0,-1.6
-0.021320000000000002,-1.6,0.002,-1.602
-0.0213,-1.68,0.002,-1.682
-0.02128,-1.6,0.002,-1.602
-0.02126,-1.52,0.0,-1.52
-0.021240000000000002,-1.6,0.01,-1.61
-0.021220000000000003,-1.52,-0.004,-1.516
-0.0212,-1.52,0.01,-1.53
-0.02118,-1.52,-0.002,-1.518
-0.02116,-1.44,0.004,-1.444
-0.021140000000000003,-1.44,0.0,-1.44
-0.02112,-1.44,-0.006,-1.434
-0.0211,-1.44,0.008,-1.448
-0.02108,-1.44,-0.002,-1.438
-0.021060000000000002,-1.36,0.014,-1.374
-0.021040000000000003,-1.36,0.014,-1.374
-0.02102,-1.36,0.0,-1.36
-0.021,-1.36,-0.002,-1.358
-0.020980000000000002,-1.36,0.0,-1.36
-0.02096,-1.28,0.002,-1.282
-0.02094,-1.28,0.002,-1.282
-0.02092,-1.2,0.004,-1.204
-0.020900000000000002,-1.2,0.006,-1.206
-0.020880000000000003,-1.2,0.014,-1.214
-0.02086,-1.2,0.0,-1.2
-0.02084,-1.2,0.008,-1.208
-0.02082,-1.12,0.006,-1.1260000000000001
-0.0208,-1.12,-0.006,-1.114
-0.02078,-1.12,0.002,-1.122
