Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.000125,-1.92,-0.128,-1.7919999999999998
-0.0001249,-1.8800000000000001,-0.128,-1.7520000000000002
-0.0001248,-1.8800000000000001,-0.14400000000000002,-1.7360000000000002
-0.0001247,-1.92,-0.136,-1.7839999999999998
-0.0001246,-1.92,-0.14400000000000002,-1.7759999999999998
-0.0001245,-1.8800000000000001,-0.14400000000000002,-1.7360000000000002
-0.00012440000000000002,-1.92,-0.14400000000000002,-1.7759999999999998
-0.0001243,-1.92,-0.152,-1.768
-0.0001242,-1.92,-0.152,-1.768
-0.0001241,-1.92,-0.16,-1.76
-0.000124,-1.92,-0.16,-1.76
-0.0001239,-1.92,-0.176,-1.744
-0.0001238,-1.8800000000000001,-0.176,-1.7040000000000002
-0.0001237,-1.92,-0.168,-1.752
-0.0001236,-1.8,-0.176,-1.624
-0.0001235,-1.92,-0.184,-1.736
-0.0001234,-1.8800000000000001,-0.192,-1.6880000000000002
-0.00012330000000000002,-1.92,-0.184,-1.736
-0.0001232,-1.92,-0.184,-1.736
-0.0001231,-1.92,-0.2,-1.72
-0.000123,-1.92,-0.2,-1.72
-0.0001229,-1.96,-0.2,-1.76
-0.0001228,-1.8800000000000001,-0.20800000000000002,-1.6720000000000002
-0.0001227,-1.84,-0.216,-1.624
-0.0001226,-1.8800000000000001,-0.216,-1.6640000000000001
-0.0001225,-1.8800000000000001,-0.216,-1.6640000000000001
-0.0001224,-1.8800000000000001,-0.24,-1.6400000000000001
-0.0001223,-1.96,-0.224,-1.736
-0.00012220000000000002,-1.8800000000000001,-0.24,-1.6400000000000001
-0.0001221,-1.92,-0.232,-1.688
-0.000122,-1.8800000000000001,-0.24,-1.6400000000000001
-0.00012190000000000001,-1.84,-0.248,-1.592
-0.0001218,-1.8800000000000001,-0.248,-1.6320000000000001
-0.0001217,-1.92,-0.248,-1.672
-0.0001216,-1.92,-0.264,-1.656
-0.0001215,-1.8800000000000001,-0.264,-1.616
-0.0001214,-1.92,-0.264,-1.656
-0.00012130000000000001,-1.92,-0.256,-1.664
-0.0001212,-1.84,-0.272,-1.568
-0.0001211,-1.84,-0.264,-1.576
-0.000121,-1.84,-0.272,-1.568
-0.0001209,-1.8800000000000001,-0.28,-1.6
-0.00012080000000000001,-1.8800000000000001,-0.28,-1.6
-0.0001207,-1.96,-0.28,-1.68
-0.0001206,-1.8800000000000001,-0.28800000000000003,-1.592
-0.0001205,-1.84,-0.28,-1.56
-0.0001204,-1.84,-0.296,-1.544
-0.0001203,-1.84,-0.296,-1.544
-0.00012020000000000001,-1.8800000000000001,-0.296,-1.584
-0.0001201,-1.8800000000000001,-0.304,-1.576
-0.00012,-1.84,-0.296,-1.544
-0.0001199,-1.8800000000000001,-0.304,-1.576
-0.0001198,-1.8800000000000001,-0.312,-1.568
-0.00011970000000000001,-1.8800000000000001,-0.312,-1.568
-0.00011960000000000001,-1.8,-0.328,-1.472
-0.0001195,-1.8,-0.32,-1.48
-0.0001194,-1.84,-0.328,-1.512
-0.0001193,-1.8,-0.336,-1.464
-0.0001192,-1.76,-0.34400000000000003,-1.416
-0.00011910000000000001,-1.84,-0.34400000000000003,-1.496
-0.000119,-1.8800000000000001,-0.336,-1.544
-0.0001189,-1.8,-0.34400000000000003,-1.456
-0.0001188,-1.8,-0.34400000000000003,-1.456
-0.0001187,-1.84,-0.352,-1.488
-0.00011860000000000001,-1.8,-0.336,-1.464
-0.00011850000000000001,-1.84,-0.36,-1.48
-0.0001184,-1.8,-0.368,-1.432
-0.0001183,-1.84,-0.368,-1.472
-0.0001182,-1.8,-0.376,-1.424
-0.0001181,-1.8,-0.368,-1.432
-0.00011800000000000001,-1.76,-0.376,-1.384
-0.0001179,-1.76,-0.368,-1.392
-0.0001178,-1.72,-0.384,-1.3359999999999999
-0.0001177,-1.72,-0.384,-1.3359999999999999
-0.0001176,-1.76,-0.384,-1.376
-0.00011750000000000001,-1.72,-0.392,-1.3279999999999998
-0.00011740000000000001,-1.8,-0.392,-1.408
-0.0001173,-1.76,-0.392,-1.3679999999999999
-0.0001172,-1.72,-0.4,-1.3199999999999998
-0.0001171,-1.76,-0.4,-1.3599999999999999
-0.000117,-1.72,-0.4,-1.3199999999999998
