Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-1.25e-05,0.76,0.784,-0.02400000000000002
-1.249e-05,0.74,0.784,-0.04400000000000004
-1.248e-05,0.74,0.768,-0.028000000000000025
-1.2470000000000001e-05,0.7000000000000001,0.768,-0.06799999999999995
-1.2460000000000001e-05,0.66,0.752,-0.09199999999999997
-1.2450000000000001e-05,0.66,0.744,-0.08399999999999996
-1.2440000000000001e-05,0.64,0.744,-0.10399999999999998
-1.2430000000000001e-05,0.6,0.728,-0.128
-1.2420000000000001e-05,0.58,0.72,-0.14
-1.241e-05,0.54,0.728,-0.18799999999999994
-1.24e-05,0.52,0.712,-0.19199999999999995
-1.239e-05,0.5,0.712,-0.21199999999999997
-1.238e-05,0.46,0.6960000000000001,-0.23600000000000004
-1.237e-05,0.44,0.6960000000000001,-0.25600000000000006
-1.236e-05,0.46,0.6880000000000001,-0.22800000000000004
-1.235e-05,0.42,0.68,-0.26000000000000006
-1.234e-05,0.38,0.672,-0.29200000000000004
-1.233e-05,0.34,0.656,-0.316
-1.232e-05,0.32,0.648,-0.328
-1.231e-05,0.3,0.64,-0.34
-1.23e-05,0.28,0.632,-0.352
-1.2290000000000001e-05,0.24,0.624,-0.384
-1.2280000000000001e-05,0.24,0.608,-0.368
-1.2270000000000001e-05,0.2,0.608,-0.408
-1.2260000000000001e-05,0.16,0.6,-0.43999999999999995
-1.2250000000000001e-05,0.16,0.592,-0.43199999999999994
-1.2240000000000001e-05,0.12,0.5760000000000001,-0.45600000000000007
-1.223e-05,0.08,0.5760000000000001,-0.49600000000000005
-1.222e-05,0.06,0.544,-0.48400000000000004
-1.221e-05,0.02,0.552,-0.532
-1.22e-05,0.02,0.536,-0.516
-1.219e-05,-0.02,0.528,-0.548
-1.218e-05,-0.08,0.512,-0.592
-1.217e-05,-0.1,0.512,-0.612
-1.216e-05,-0.1,0.504,-0.604
-1.215e-05,-0.14,0.496,-0.636
-1.214e-05,-0.14,0.48,-0.62
-1.213e-05,-0.2,0.48,-0.6799999999999999
-1.2120000000000001e-05,-0.2,0.456,-0.656
-1.2110000000000001e-05,-0.22,0.448,-0.668
-1.2100000000000001e-05,-0.26,0.432,-0.692
-1.2090000000000001e-05,-0.3,0.44,-0.74
-1.2080000000000001e-05,-0.32,0.424,-0.744
-1.2070000000000001e-05,-0.34,0.41600000000000004,-0.756
-1.206e-05,-0.36,0.392,-0.752
-1.205e-05,-0.36,0.392,-0.752
-1.204e-05,-0.4,0.384,-0.784
-1.203e-05,-0.44,0.376,-0.8160000000000001
-1.202e-05,-0.46,0.352,-0.812
-1.201e-05,-0.48,0.34400000000000003,-0.8240000000000001
-1.2e-05,-0.5,0.336,-0.8360000000000001
-1.199e-05,-0.56,0.32,-0.8800000000000001
-1.198e-05,-0.56,0.312,-0.8720000000000001
-1.197e-05,-0.58,0.304,-0.8839999999999999
-1.196e-05,-0.6,0.28,-0.88
-1.195e-05,-0.66,0.28,-0.9400000000000001
-1.1940000000000001e-05,-0.64,0.264,-0.904
-1.1930000000000001e-05,-0.68,0.256,-0.936
-1.1920000000000001e-05,-0.72,0.232,-0.952
-1.1910000000000001e-05,-0.72,0.232,-0.952
-1.1900000000000001e-05,-0.78,0.216,-0.996
-1.1890000000000001e-05,-0.76,0.20800000000000002,-0.968
-1.1880000000000001e-05,-0.78,0.192,-0.972
-1.187e-05,-0.84,0.192,-1.032
