Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-2.5e-05,-1.96,0.092,-2.052
-2.498e-05,-1.96,0.088,-2.048
-2.496e-05,-2.0,0.084,-2.084
-2.4940000000000002e-05,-1.96,0.084,-2.044
-2.4920000000000002e-05,-1.98,0.076,-2.056
-2.4900000000000002e-05,-1.98,0.07200000000000001,-2.052
-2.4880000000000002e-05,-1.94,0.076,-2.016
-2.4860000000000003e-05,-2.0,0.07200000000000001,-2.072
-2.4840000000000003e-05,-1.94,0.068,-2.008
-2.482e-05,-2.0,0.068,-2.068
-2.48e-05,-1.98,0.06,-2.04
-2.478e-05,-2.0,0.056,-2.056
-2.476e-05,-1.96,0.056,-2.016
-2.474e-05,-1.94,0.056,-1.996
-2.472e-05,-2.0,0.056,-2.056
-2.47e-05,-1.96,0.048,-2.008
-2.468e-05,-2.0,0.044,-2.044
-2.466e-05,-1.98,0.048,-2.028
-2.464e-05,-1.98,0.04,-2.02
-2.462e-05,-1.98,0.044,-2.024
-2.46e-05,-1.98,0.044,-2.024
-2.4580000000000002e-05,-2.0,0.036000000000000004,-2.036
-2.4560000000000002e-05,-1.98,0.032,-2.012
-2.4540000000000002e-05,-1.98,0.032,-2.012
-2.4520000000000002e-05,-2.02,0.032,-2.052
-2.4500000000000003e-05,-1.96,0.024,-1.984
-2.4480000000000003e-05,-1.98,0.024,-2.004
-2.446e-05,-1.98,0.024,-2.004
-2.444e-05,-1.98,0.02,-2.0
-2.442e-05,-2.0,0.012,-2.012
-2.44e-05,-2.0,0.016,-2.016
-2.438e-05,-2.0,0.008,-2.008
-2.436e-05,-1.98,0.016,-1.996
-2.434e-05,-2.02,0.012,-2.032
-2.432e-05,-2.0,0.004,-2.004
-2.43e-05,-2.02,0.004,-2.024
-2.428e-05,-1.98,0.004,-1.984
-2.426e-05,-1.96,0.0,-1.96
-2.4240000000000002e-05,-1.96,0.0,-1.96
-2.4220000000000002e-05,-2.0,0.0,-2.0
-2.4200000000000002e-05,-2.02,-0.016,-2.004
-2.4180000000000002e-05,-1.98,-0.016,-1.964
-2.4160000000000002e-05,-1.98,-0.016,-1.964
-2.4140000000000003e-05,-1.96,-0.016,-1.944
-2.412e-05,-2.0,-0.016,-1.984
-2.41e-05,-1.96,-0.024,-1.936
-2.408e-05,-1.96,-0.032,-1.928
-2.406e-05,-1.96,-0.028,-1.932
-2.404e-05,-1.98,-0.028,-1.952
-2.402e-05,-2.0,-0.032,-1.968
-2.4e-05,-1.96,-0.028,-1.932
-2.398e-05,-1.98,-0.032,-1.948
-2.396e-05,-1.96,-0.044,-1.916
-2.394e-05,-1.94,-0.044,-1.896
-2.392e-05,-1.96,-0.04,-1.92
-2.39e-05,-1.94,-0.044,-1.896
-2.3880000000000002e-05,-1.96,-0.04,-1.92
-2.3860000000000002e-05,-1.94,-0.04,-1.9
-2.3840000000000002e-05,-1.92,-0.048,-1.8719999999999999
-2.3820000000000002e-05,-1.96,-0.044,-1.916
-2.3800000000000003e-05,-1.92,-0.052000000000000005,-1.8679999999999999
-2.3780000000000003e-05,-1.96,-0.056,-1.904
-2.3760000000000003e-05,-1.92,-0.056,-1.8639999999999999
-2.374e-05,-1.96,-0.052000000000000005,-1.908
-2.372e-05,-1.94,-0.064,-1.876
-2.37e-05,-1.9000000000000001,-0.068,-1.832
-2.368e-05,-1.92,-0.06,-1.8599999999999999
-2.366e-05,-1.94,-0.076,-1.8639999999999999
-2.364e-05,-1.92,-0.068,-1.8519999999999999
-2.362e-05,-1.8800000000000001,-0.07200000000000001,-1.808
-2.36e-05,-1.92,-0.084,-1.8359999999999999
-2.358e-05,-1.8800000000000001,-0.08,-1.8
-2.356e-05,-1.9000000000000001,-0.088,-1.812
-2.354e-05,-1.94,-0.084,-1.8559999999999999
-2.3520000000000002e-05,-1.8800000000000001,-0.084,-1.796
-2.3500000000000002e-05,-1.8800000000000001,-0.092,-1.788
-2.3480000000000002e-05,-1.8800000000000001,-0.096,-1.784
-2.3460000000000002e-05,-1.9000000000000001,-0.1,-1.8
