frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3101520538,0.0094515197,81.5356063843,8.152811480572031e-06,-50.8869259985601
16.237767391887218,3.7073698044,0.0143862404,-77.3532485962,1.5057844562683354e-05,-48.222371902553434
26.366508987303583,3.9227068424,0.0192660019,95.9523086548,2.412189882537497e-05,-46.17588508433865
42.81332398719393,3.9830551147,0.03041704,92.8424682617,5.831781796926816e-05,-42.34198734032239
69.51927961775606,3.9950089455,0.0472644828,92.8789978027,0.00013996978889840834,-38.53965692397323
112.88378916846884,4.0073032379,0.0719078332,91.0970687866,0.0003219941563634162,-34.92152009925757
183.29807108324357,4.0196352005,0.1136640012,88.4812927246,0.0007995996558602133,-30.97127401469932
297.63514416313194,4.0320005417,0.1878616959,86.25,0.002170877480616813,-26.63364686445869
483.2930238571752,3.9949331284,0.3163030148,84.521736145,0.006268846484502035,-22.028123653101854
784.7599703514607,3.9334702492,0.6162166595,76.8602752686,0.02454229269344172,-16.10084868764654
1274.2749857031336,3.3888392448,1.6467335224,44.025478363,0.23612649318418277,-6.268552827298214
2069.13808111479,3.7866168022,1.081825614,-64.0728530884,0.08162285932547056,-10.88188195552419
3359.818286283781,4.0312924385,0.4712123871,-79.6909561157,0.013662959758392141,-18.644552107935148
5455.594781168515,4.069126606,0.2572380006,-84.4978179932,0.003996389833116572,-23.983321545517335
8858.667904100823,4.0561342239,0.1501281559,-85.2967224121,0.0013699340611973817,-28.63300336162787
14384.498882876629,4.094520092,0.0907847956,-85.6599578857,0.0004916094551461731,-33.08379772900474
23357.21469090121,4.0542173386,0.057358399,-87.0940551758,0.00020016124244116523,-36.98620011888927
37926.90190732246,4.0681219101,0.0314594395,-83.5811691284,5.98017706938534e-05,-42.232859566272296
61584.82110660255,4.0800104141,0.0121727996,91.7734069824,8.901401724581841e-06,-50.50541598600368
100000.0,4.0925645828,0.0107410802,82.4400024414,6.888185521593937e-06,-51.61895164411619
