Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.025,0.4,0.4,0.0
-0.024980000000000002,0.4,0.4,0.0
-0.024960000000000003,0.32,0.32,0.0
-0.02494,0.24,0.32,-0.08000000000000002
-0.02492,0.24,0.24,0.0
-0.024900000000000002,0.24,0.24,0.0
-0.024880000000000003,0.24,0.24,0.0
-0.02486,0.16,0.24,-0.07999999999999999
-0.02484,0.16,0.16,0.0
-0.024820000000000002,0.16,0.16,0.0
-0.024800000000000003,0.16,0.16,0.0
-0.02478,0.08,0.08,0.0
-0.02476,0.08,0.16,-0.08
-0.02474,0.0,0.08,-0.08
-0.024720000000000002,0.0,0.08,-0.08
-0.0247,0.0,0.0,0.0
-0.02468,-0.08,0.0,-0.08
-0.02466,-0.08,0.0,-0.08
-0.024640000000000002,-0.08,-0.08,0.0
-0.024620000000000003,-0.08,-0.08,0.0
-0.0246,-0.16,-0.08,-0.08
-0.02458,-0.08,-0.08,0.0
-0.024560000000000002,-0.16,-0.16,0.0
-0.024540000000000003,-0.24,-0.16,-0.07999999999999999
-0.02452,-0.24,-0.16,-0.07999999999999999
-0.0245,-0.24,-0.24,0.0
-0.024480000000000002,-0.32,-0.24,-0.08000000000000002
-0.024460000000000003,-0.32,-0.32,0.0
-0.02444,-0.32,-0.32,0.0
-0.02442,-0.4,-0.32,-0.08000000000000002
-0.0244,-0.4,-0.32,-0.08000000000000002
-0.024380000000000002,-0.4,-0.32,-0.08000000000000002
-0.02436,-0.48,-0.4,-0.07999999999999996
-0.02434,-0.48,-0.4,-0.07999999999999996
-0.02432,-0.48,-0.48,0.0
-0.024300000000000002,-0.56,-0.48,-0.08000000000000007
-0.024280000000000003,-0.56,-0.48,-0.08000000000000007
-0.02426,-0.56,-0.56,0.0
-0.02424,-0.56,-0.56,0.0
-0.024220000000000002,-0.64,-0.56,-0.07999999999999996
-0.024200000000000003,-0.64,-0.56,-0.07999999999999996
-0.02418,-0.64,-0.64,0.0
-0.02416,-0.64,-0.64,0.0
-0.02414,-0.72,-0.64,-0.07999999999999996
-0.024120000000000003,-0.72,-0.64,-0.07999999999999996
-0.0241,-0.72,-0.72,0.0
-0.02408,-0.72,-0.72,0.0
-0.02406,-0.8,-0.8,0.0
-0.024040000000000002,-0.8,-0.8,0.0
-0.02402,-0.8,-0.8,0.0
-0.024,-0.88,-0.8,-0.07999999999999996
-0.02398,-0.88,-0.88,0.0
-0.023960000000000002,-0.88,-0.88,0.0
-0.023940000000000003,-0.88,-0.88,0.0
-0.02392,-0.88,-0.88,0.0
-0.0239,-1.04,-0.96,-0.08000000000000007
-0.023880000000000002,-0.96,-0.96,0.0
-0.023860000000000003,-1.04,-0.96,-0.08000000000000007
-0.02384,-1.04,-0.96,-0.08000000000000007
-0.02382,-1.04,-1.04,0.0
-0.0238,-1.12,-1.12,0.0
-0.023780000000000003,-1.04,-1.12,0.08000000000000007
-0.02376,-1.12,-1.12,0.0
-0.02374,-1.12,-1.04,-0.08000000000000007
-0.02372,-1.12,-1.12,0.0
-0.023700000000000002,-1.2,-1.12,-0.07999999999999985
-0.02368,-1.2,-1.2,0.0
-0.02366,-1.2,-1.2,0.0
-0.02364,-1.2,-1.2,0.0
-0.023620000000000002,-1.28,-1.2,-0.08000000000000007
-0.023600000000000003,-1.28,-1.28,0.0
-0.02358,-1.28,-1.28,0.0
-0.02356,-1.36,-1.28,-0.08000000000000007
-0.023540000000000002,-1.36,-1.28,-0.08000000000000007
-0.023520000000000003,-1.36,-1.36,0.0
-0.0235,-1.36,-1.28,-0.08000000000000007
-0.02348,-1.36,-1.36,0.0
-0.02346,-1.44,-1.36,-0.07999999999999985
-0.023440000000000003,-1.44,-1.36,-0.07999999999999985
-0.02342,-1.44,-1.36,-0.07999999999999985
-0.0234,-1.52,-1.44,-0.08000000000000007
-0.02338,-1.44,-1.44,0.0
-0.023360000000000002,-1.52,-1.44,-0.08000000000000007
-0.02334,-1.52,-1.44,-0.08000000000000007
-0.02332,-1.52,-1.44,-0.08000000000000007
-0.0233,-1.52,-1.44,-0.08000000000000007
-0.023280000000000002,-1.6,-1.52,-0.08000000000000007
-0.023260000000000003,-1.6,-1.52,-0.08000000000000007
-0.02324,-1.52,-1.52,0.0
-0.02322,-1.6,-1.52,-0.08000000000000007
-0.023200000000000002,-1.6,-1.52,-0.08000000000000007
