Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-1.25e-05,0.48,0.12,0.36
-1.249e-05,0.4,0.10400000000000001,0.29600000000000004
-1.248e-05,0.4,0.12,0.28
-1.2470000000000001e-05,0.4,0.10400000000000001,0.29600000000000004
-1.2460000000000001e-05,0.32,0.112,0.20800000000000002
-1.2450000000000001e-05,0.32,0.10400000000000001,0.216
-1.2440000000000001e-05,0.32,0.096,0.224
-1.2430000000000001e-05,0.24,0.096,0.144
-1.2420000000000001e-05,0.24,0.096,0.144
-1.241e-05,0.24,0.088,0.152
-1.24e-05,0.16,0.096,0.064
-1.239e-05,0.24,0.096,0.144
-1.238e-05,0.24,0.08,0.15999999999999998
-1.237e-05,0.16,0.08,0.08
-1.236e-05,0.08,0.096,-0.016
-1.235e-05,0.16,0.088,0.07200000000000001
-1.234e-05,0.08,0.08,0.0
-1.233e-05,0.08,0.08,0.0
-1.232e-05,0.0,0.08,-0.08
-1.231e-05,0.0,0.07200000000000001,-0.07200000000000001
-1.23e-05,-0.08,0.08,-0.16
-1.2290000000000001e-05,0.0,0.064,-0.064
-1.2280000000000001e-05,-0.16,0.07200000000000001,-0.232
-1.2270000000000001e-05,-0.08,0.064,-0.14400000000000002
-1.2260000000000001e-05,-0.16,0.064,-0.224
-1.2250000000000001e-05,-0.24,0.064,-0.304
-1.2240000000000001e-05,-0.08,0.056,-0.136
-1.223e-05,-0.32,0.064,-0.384
-1.222e-05,-0.32,0.056,-0.376
-1.221e-05,-0.32,0.056,-0.376
-1.22e-05,-0.32,0.056,-0.376
-1.219e-05,-0.4,0.04,-0.44
-1.218e-05,-0.48,0.04,-0.52
-1.217e-05,-0.48,0.048,-0.528
-1.216e-05,-0.48,0.04,-0.52
-1.215e-05,-0.48,0.04,-0.52
-1.214e-05,-0.48,0.024,-0.504
-1.213e-05,-0.48,0.024,-0.504
-1.2120000000000001e-05,-0.56,0.048,-0.6080000000000001
-1.2110000000000001e-05,-0.56,0.024,-0.5840000000000001
-1.2100000000000001e-05,-0.56,0.032,-0.5920000000000001
-1.2090000000000001e-05,-0.64,0.024,-0.664
-1.2080000000000001e-05,-0.72,0.024,-0.744
-1.2070000000000001e-05,-0.56,0.016,-0.5760000000000001
-1.206e-05,-0.64,0.016,-0.656
-1.205e-05,-0.8,0.016,-0.8160000000000001
-1.204e-05,-0.8,0.008,-0.808
-1.203e-05,-0.8,0.0,-0.8
-1.202e-05,-0.8,0.016,-0.8160000000000001
-1.201e-05,-0.8,0.008,-0.808
-1.2e-05,-0.8,-0.008,-0.792
-1.199e-05,-0.8,-0.008,-0.792
-1.198e-05,-0.88,0.0,-0.88
-1.197e-05,-0.88,-0.008,-0.872
-1.196e-05,-0.96,-0.016,-0.944
-1.195e-05,-0.88,-0.016,-0.864
-1.1940000000000001e-05,-0.96,-0.016,-0.944
-1.1930000000000001e-05,-0.88,-0.024,-0.856
-1.1920000000000001e-05,-1.12,-0.016,-1.104
-1.1910000000000001e-05,-1.04,-0.024,-1.016
-1.1900000000000001e-05,-1.04,-0.04,-1.0
-1.1890000000000001e-05,-1.12,-0.024,-1.096
-1.1880000000000001e-05,-1.12,-0.024,-1.096
-1.187e-05,-1.04,-0.04,-1.0
-1.186e-05,-1.12,-0.032,-1.088
-1.185e-05,-1.2,-0.048,-1.152
-1.184e-05,-1.28,-0.048,-1.232
-1.183e-05,-1.2,-0.04,-1.16
-1.182e-05,-1.28,-0.048,-1.232
-1.181e-05,-1.36,-0.056,-1.304
-1.18e-05,-1.2,-0.064,-1.136
-1.179e-05,-1.28,-0.056,-1.224
-1.178e-05,-1.28,-0.056,-1.224
-1.177e-05,-1.28,-0.064,-1.216
-1.1760000000000001e-05,-1.2,-0.056,-1.144
-1.1750000000000001e-05,-1.36,-0.07200000000000001,-1.288
