frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3669083118,0.2606267929,84.5891723633,0.005992051540744812,-22.22424459700313
16.237767391887218,3.7916538715,0.445641458,82.699546814,0.013813820320997263,-18.596861972445165
26.366508987303583,3.9666507244,0.7435612679,78.6075973511,0.03513869239180848,-14.542144038420972
42.81332398719393,4.0520887375,1.2114065886,72.739730835,0.08937621685591458,-10.487780322374489
69.51927961775606,4.0645551682,1.8389818668,63.3379707336,0.20470518760478618,-6.888711513795766
112.88378916846884,4.0770602226,2.5678985119,50.0338973999,0.39669932200781505,-4.015385417706599
183.29807108324357,4.0645151138,3.2360527515,35.6304969788,0.6338897064031663,-1.979863005842333
297.63514416313194,4.0269966125,3.6554534435,23.5434017181,0.8239862896113449,-0.8408001451122749
483.2930238571752,4.0393872261,3.869158268,14.2746620178,0.9174914257118995,-0.37397985695391556
784.7599703514607,4.0269575119,3.9516096115,5.9340658188,0.9629283459833049,-0.16406028661394015
1274.2749857031336,4.0393486023,3.9631578922,2.292993784,0.9626315240054083,-0.16539920263663316
2069.13808111479,4.0750937462,4.0472903252,-3.570248127,0.9864010132899725,-0.059464902788924814
3359.818286283781,4.0876293182,4.0102472305,-10.154466629,0.9624967777792913,-0.16600715736361116
5455.594781168515,4.0750489235,3.8991937637,-18.4716148376,0.9155540335884572,-0.38316019689072744
8858.667904100823,4.088057518,3.6232497692,-27.471162796,0.7855295939568927,-1.0483744875249743
14384.498882876629,4.0750045776,3.0796556473,-44.0943031311,0.5711472827967531,-2.4325188499770793
23357.21469090121,4.1132483482,2.2456016541,-60.1680717468,0.2980544258459166,-5.257044248957739
37926.90190732246,4.1001205444,1.3336695433,-76.3221817017,0.10580427516139718,-9.754967837044932
61584.82110660255,4.1127386093,0.4369950593,-90.5548782349,0.011289919290411461,-19.473091627565402
100000.0,4.1253948212,0.3720757961,58.3491744995,0.008134517563446917,-20.89668198811421
