frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.307933569,3.1423325539,-17.297296524,0.9023826376029987,-0.44609269373311267
16.237767391887218,3.6968467236,3.277184248,-26.64935112,0.7858484998714381,-1.0466117153267513
26.366508987303583,3.9129674435,3.006187439,-37.9746856689,0.5902277748439497,-2.2898035739512075
42.81332398719393,3.9731669426,2.4265892506,-50.5479431152,0.37300865761374064,-4.282810880030041
69.51927961775606,4.0099959373,1.7541376352,-63.794303894,0.19135484717812307,-7.181605322581418
112.88378916846884,4.0217285156,1.1354681253,-72.8135604858,0.0797121262366822,-10.98475606369462
183.29807108324357,4.0341000557,0.733690083,-78.2991256714,0.03307744581404659,-14.80468033330258
297.63514416313194,4.0213809013,0.4616854489,-80.1428604126,0.013180805512504183,-18.800580480920875
483.2930238571752,4.0090098381,0.2803019881,-80.9477767944,0.004888528057818239,-23.108218878289414
784.7599703514607,4.0213422775,0.1530828774,-74.0345535278,0.0014491427020938805,-28.388888459433215
1274.2749857031336,4.0338711739,0.065948844,117.3979644775,0.00026728237752475216,-35.73029674225327
2069.13808111479,4.0944004059,0.0916273221,-108.7593231201,0.000500805817280237,-33.003306350731194
3359.818286283781,4.0813264847,0.1951602101,88.3064498901,0.0022865456644911397,-26.40820120922928
5455.594781168515,4.0938811302,0.3285228014,89.9018478394,0.0064396250087925735,-21.91139421670277
8858.667904100823,4.1064801216,0.5669962764,77.234046936,0.01906430440306323,-17.19779036150732
14384.498882876629,4.1191177368,0.9071692824,73.5116500854,0.04850296201188948,-13.14231738796928
23357.21469090121,4.1324324608,1.5795857906,62.5209922791,0.14610830683308768,-8.353250920108323
37926.90190732246,4.0928635597,2.8276417255,40.121307373,0.4773030712244136,-3.2120577114072386
61584.82110660255,4.106092453,3.7728123665,-17.3119621277,0.8442536878840005,-0.7352703359551425
100000.0,4.1187300682,1.9502509832,-63.7200012207,0.22420967570572634,-6.493456494799671
