frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1525.9999999999995,4.0947651863,0.3668672144,-90.3848571777,0.008027120820044684,-20.954402001995298
1526.6853287554895,4.1073641777,0.3647525012,-90.6047744751,0.007886242639858404,-21.031298649079282
1527.3709652930931,4.1206407547,0.363627553,-90.1098937988,0.0077872489655396206,-21.086159402863093
1528.0569097510327,4.1076483727,0.3620539904,-90.1098937988,0.007768911205781643,-21.09639842261418
1528.7431622675972,4.0945363045,0.3634549379,-90.4411697388,0.007879373632051193,-21.03508305220586
1529.429722981138,4.1076097488,0.3639389873,-89.6146774292,0.007850165498515142,-21.05121187288602
1530.1165920300632,4.0693759918,0.3628178537,-89.8346557617,0.007949167763375554,-20.99678337342674
1530.8037695528485,4.0818991661,0.3619164228,-90.1102905273,0.007861257766880455,-21.045079631825683
1531.49125568803,4.0944600105,0.3631029725,-90.4400939941,0.007864413513848782,-21.043336592067877
1532.1790505742074,4.0818610191,0.3641332686,-89.2100296021,0.007958006543269131,-20.991957081018562
1532.8671543500382,4.0944218636,0.3607032001,-90.1927185059,0.007760948747624173,-21.100851845830576
1533.5555671542468,4.1076512337,0.3617018163,-91.5460128784,0.007753793935950385,-21.104857449420184
1534.2442891256196,4.0947008133,0.3626884818,-90.6077346802,0.007845546081315111,-21.053768223959754
1534.9333204030008,4.1076126099,0.3617908359,-90.2759017944,0.007757756918064326,-21.102638327273585
1535.6226611253023,4.0946621895,0.3630160987,-89.8892974854,0.00785987454141011,-21.04584386073587
1536.3123114314972,4.0815935135,0.3616454601,-89.6127853394,0.007850666577010945,-21.050934670219622
1537.0022714606173,4.094783783,0.3603045642,-90.3321075439,0.007742435177895548,-21.111224220060635
1537.692541351761,4.107380867,0.3616999388,-89.5852508545,0.0077547342440637745,-21.104330809341004
1538.3831212440894,4.0937986374,0.3628697991,-89.7786026001,0.007856854206044877,-21.047513056686054
1539.0740112768215,4.081199646,0.3594753146,-89.7783203125,0.007758226673433933,-21.10237535694531
1539.7652115892429,4.0937542915,0.3605813086,-90.0554580688,0.007758234024442572,-21.1023712419573
1540.4567223207027,4.1063532829,0.3614956737,-89.5009307861,0.007749855187571128,-21.10706412568058
1541.148543610607,4.0940356255,0.3603849709,-90.1665725708,0.007748722493678505,-21.10769892290939
1541.84067559843,4.0809640884,0.3614956737,-89.1682128906,0.007846584608857139,-21.053193379420957
1542.5331184237064,4.1192641258,0.3603849709,-90.3329238892,0.007654098791434943,-21.16105936637497
1543.225872226035,4.1067490578,0.361636728,-89.2773361206,0.007754409468986365,-21.104512699491238
1543.9189371450734,4.0937986374,0.3626637459,-90.2222290039,0.007847933814732042,-21.052446682195786
1544.612313320546,4.1057682037,0.359316498,-88.5811462402,0.007658883480489856,-21.158345376265274
1545.3060008922398,4.1190366745,0.3582681715,-90.6683120728,0.007565282272307775,-21.21174863143949
1546.0000000000005,4.0803852081,0.35903579,-89.3869934082,0.007742356354412066,-21.111268434545337
