Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00014,-1.76,-1.8,0.040000000000000036
-0.00013959999999999998,-1.84,-1.76,-0.08000000000000007
-0.0001392,-1.8,-1.8,0.0
-0.00013879999999999999,-1.8,-1.8,0.0
-0.00013839999999999998,-1.76,-1.8,0.040000000000000036
-0.000138,-1.72,-1.8,0.08000000000000007
-0.00013759999999999998,-1.8,-1.8,0.0
-0.0001372,-1.8,-1.76,-0.040000000000000036
-0.0001368,-1.84,-1.76,-0.08000000000000007
-0.00013639999999999998,-1.8,-1.76,-0.040000000000000036
-0.000136,-1.8,-1.84,0.040000000000000036
-0.0001356,-1.84,-1.8,-0.040000000000000036
-0.00013519999999999998,-1.8,-1.8,0.0
-0.0001348,-1.8,-1.8,0.0
-0.0001344,-1.76,-1.76,0.0
-0.00013399999999999998,-1.8,-1.8,0.0
-0.0001336,-1.8,-1.8,0.0
-0.00013319999999999999,-1.76,-1.8,0.040000000000000036
-0.00013279999999999998,-1.76,-1.76,0.0
-0.0001324,-1.8,-1.8,0.0
-0.00013199999999999998,-1.8,-1.8,0.0
-0.0001316,-1.76,-1.76,0.0
-0.0001312,-1.8,-1.8,0.0
-0.00013079999999999998,-1.76,-1.8,0.040000000000000036
-0.0001304,-1.8800000000000001,-1.8,-0.08000000000000007
-0.00013,-1.8,-1.8,0.0
-0.00012959999999999998,-1.8,-1.72,-0.08000000000000007
-0.0001292,-1.76,-1.8,0.040000000000000036
-0.0001288,-1.8,-1.8,0.0
-0.00012839999999999998,-1.8,-1.8,0.0
-0.000128,-1.8,-1.8,0.0
-0.00012759999999999998,-1.76,-1.76,0.0
-0.0001272,-1.8,-1.76,-0.040000000000000036
-0.0001268,-1.76,-1.76,0.0
-0.00012639999999999998,-1.8,-1.8,0.0
-0.000126,-1.76,-1.8,0.040000000000000036
-0.0001256,-1.8,-1.8,0.0
-0.00012519999999999998,-1.8,-1.76,-0.040000000000000036
-0.0001248,-1.8,-1.76,-0.040000000000000036
-0.0001244,-1.76,-1.8,0.040000000000000036
-0.00012399999999999998,-1.8,-1.8,0.0
-0.0001236,-1.8,-1.76,-0.040000000000000036
-0.00012319999999999999,-1.8,-1.76,-0.040000000000000036
-0.0001228,-1.8,-1.8,0.0
-0.0001224,-1.8,-1.8,0.0
-0.00012199999999999998,-1.84,-1.76,-0.08000000000000007
-0.00012159999999999999,-1.76,-1.84,0.08000000000000007
-0.00012119999999999999,-1.76,-1.8,0.040000000000000036
-0.00012079999999999998,-1.8,-1.76,-0.040000000000000036
-0.00012039999999999999,-1.8,-1.76,-0.040000000000000036
-0.00011999999999999999,-1.76,-1.8,0.040000000000000036
-0.0001196,-1.8,-1.76,-0.040000000000000036
-0.0001192,-1.8,-1.76,-0.040000000000000036
-0.00011879999999999999,-1.8,-1.8,0.0
-0.00011839999999999999,-1.8,-1.8,0.0
-0.000118,-1.76,-1.76,0.0
-0.00011759999999999999,-1.84,-1.8,-0.040000000000000036
-0.00011719999999999999,-1.84,-1.72,-0.1200000000000001
-0.00011679999999999999,-1.76,-1.8,0.040000000000000036
-0.00011639999999999998,-1.76,-1.84,0.08000000000000007
-0.00011599999999999999,-1.8,-1.76,-0.040000000000000036
-0.00011559999999999999,-1.76,-1.76,0.0
-0.00011519999999999998,-1.8,-1.8,0.0
-0.00011479999999999999,-1.8,-1.8,0.0
-0.00011439999999999999,-1.76,-1.76,0.0
-0.00011399999999999999,-1.84,-1.8,-0.040000000000000036
-0.0001136,-1.8,-1.76,-0.040000000000000036
-0.00011319999999999999,-1.8,-1.76,-0.040000000000000036
-0.00011279999999999999,-1.8,-1.76,-0.040000000000000036
-0.0001124,-1.8,-1.8,0.0
-0.00011199999999999998,-1.8,-1.8,0.0
-0.00011159999999999999,-1.8,-1.8,0.0
-0.00011119999999999999,-1.8,-1.84,0.040000000000000036
-0.00011079999999999998,-1.8,-1.76,-0.040000000000000036
-0.00011039999999999999,-1.8,-1.76,-0.040000000000000036
-0.00010999999999999999,-1.84,-1.8,-0.040000000000000036
-0.00010959999999999998,-1.76,-1.8,0.040000000000000036
-0.0001092,-1.8,-1.76,-0.040000000000000036
-0.00010879999999999999,-1.84,-1.8,-0.040000000000000036
-0.00010839999999999999,-1.8,-1.84,0.040000000000000036
-0.000108,-1.8,-1.76,-0.040000000000000036
-0.00010759999999999999,-1.76,-1.8,0.040000000000000036
-0.00010719999999999999,-1.8,-1.76,-0.040000000000000036
-0.0001068,-1.76,-1.76,0.0
-0.00010639999999999998,-1.76,-1.76,0.0
-0.00010599999999999999,-1.76,-1.76,0.0
-0.00010559999999999999,-1.8,-1.8,0.0
-0.00010519999999999998,-1.72,-1.8,0.08000000000000007
-0.00010479999999999999,-1.8,-1.8,0.0
-0.00010439999999999999,-1.8,-1.76,-0.040000000000000036
-0.00010399999999999998,-1.84,-1.8,-0.040000000000000036
-0.0001036,-1.76,-1.8,0.040000000000000036
-0.00010319999999999999,-1.8,-1.76,-0.040000000000000036
-0.00010279999999999999,-1.76,-1.8,0.040000000000000036
-0.0001024,-1.84,-1.76,-0.08000000000000007
-0.00010199999999999999,-1.8,-1.8,0.0
-0.00010159999999999999,-1.8,-1.8,0.0
-0.0001012,-1.76,-1.76,0.0
-0.00010079999999999998,-1.8,-1.8,0.0
-0.00010039999999999999,-1.76,-1.76,0.0
-9.999999999999999e-05,-1.84,-1.8,-0.040000000000000036
-9.959999999999998e-05,-1.76,-1.72,-0.040000000000000036
-9.92e-05,-1.8,-1.76,-0.040000000000000036
-9.879999999999999e-05,-1.76,-1.8,0.040000000000000036
-9.839999999999999e-05,-1.8,-1.8,0.0
-9.8e-05,-1.8,-1.84,0.040000000000000036
-9.759999999999999e-05,-1.76,-1.76,0.0
-9.719999999999999e-05,-1.84,-1.8,-0.040000000000000036
-9.68e-05,-1.76,-1.8,0.040000000000000036
-9.639999999999999e-05,-1.8,-1.8,0.0
-9.599999999999999e-05,-1.84,-1.8,-0.040000000000000036
-9.559999999999999e-05,-1.8,-1.68,-0.1200000000000001
-9.519999999999998e-05,-1.8,-1.76,-0.040000000000000036
-9.479999999999999e-05,-1.8,-1.76,-0.040000000000000036
-9.439999999999999e-05,-1.8,-1.8,0.0
-9.399999999999998e-05,-1.76,-1.8,0.040000000000000036
-9.36e-05,-1.72,-1.76,0.040000000000000036
-9.319999999999999e-05,-1.76,-1.76,0.0
-9.279999999999999e-05,-1.76,-1.76,0.0
-9.24e-05,-1.8,-1.76,-0.040000000000000036
-9.199999999999999e-05,-1.76,-1.8,0.040000000000000036
-9.159999999999999e-05,-1.8,-1.8,0.0
-9.12e-05,-1.8,-1.8,0.0
-9.079999999999998e-05,-1.84,-1.76,-0.08000000000000007
-9.039999999999999e-05,-1.8,-1.8,0.0
-8.999999999999999e-05,-1.8,-1.8,0.0
-8.959999999999998e-05,-1.76,-1.72,-0.040000000000000036
-8.92e-05,-1.8,-1.76,-0.040000000000000036
-8.879999999999999e-05,-1.8,-1.8,0.0
-8.839999999999998e-05,-1.8,-1.8,0.0
-8.8e-05,-1.76,-1.76,0.0
-8.759999999999999e-05,-1.76,-1.72,-0.040000000000000036
-8.719999999999999e-05,-1.8,-1.8,0.0
-8.68e-05,-1.8,-1.8,0.0
-8.639999999999999e-05,-1.8,-1.76,-0.040000000000000036
-8.599999999999999e-05,-1.8,-1.76,-0.040000000000000036
-8.56e-05,-1.76,-1.76,0.0
-8.519999999999998e-05,-1.84,-1.76,-0.08000000000000007
-8.479999999999999e-05,-1.76,-1.76,0.0
-8.439999999999999e-05,-1.8,-1.8,0.0
-8.399999999999998e-05,-1.76,-1.76,0.0
-8.36e-05,-1.8,-1.8,0.0
-8.319999999999999e-05,-1.8,-1.76,-0.040000000000000036
-8.28e-05,-1.8,-1.76,-0.040000000000000036
-8.24e-05,-1.8,-1.76,-0.040000000000000036
-8.199999999999999e-05,-1.76,-1.8,0.040000000000000036
-8.159999999999999e-05,-1.84,-1.8,-0.040000000000000036
-8.12e-05,-1.8,-1.8,0.0
-8.079999999999999e-05,-1.8,-1.76,-0.040000000000000036
-8.039999999999999e-05,-1.76,-1.76,0.0
-7.999999999999999e-05,-1.8,-1.72,-0.08000000000000007
-7.959999999999998e-05,-1.76,-1.76,0.0
-7.919999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.879999999999999e-05,-1.8,-1.84,0.040000000000000036
-7.84e-05,-1.76,-1.72,-0.040000000000000036
-7.799999999999999e-05,-1.84,-1.76,-0.08000000000000007
-7.759999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.719999999999999e-05,-1.76,-1.8,0.040000000000000036
-7.68e-05,-1.76,-1.8,0.040000000000000036
-7.639999999999999e-05,-1.84,-1.76,-0.08000000000000007
-7.599999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.56e-05,-1.8,-1.76,-0.040000000000000036
-7.519999999999998e-05,-1.8,-1.76,-0.040000000000000036
-7.479999999999999e-05,-1.8,-1.8,0.0
-7.439999999999999e-05,-1.8,-1.8,0.0
-7.4e-05,-1.76,-1.8,0.040000000000000036
-7.359999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.319999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.28e-05,-1.8,-1.76,-0.040000000000000036
-7.239999999999998e-05,-1.72,-1.8,0.08000000000000007
-7.199999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7.159999999999999e-05,-1.8,-1.8,0.0
-7.12e-05,-1.8,-1.8,0.0
-7.079999999999999e-05,-1.76,-1.76,0.0
-7.039999999999999e-05,-1.8,-1.76,-0.040000000000000036
-7e-05,-1.76,-1.8,0.040000000000000036
-6.959999999999998e-05,-1.8,-1.76,-0.040000000000000036
-6.919999999999999e-05,-1.8,-1.8,0.0
-6.879999999999999e-05,-1.76,-1.76,0.0
-6.84e-05,-1.84,-1.72,-0.1200000000000001
-6.799999999999999e-05,-1.76,-1.76,0.0
-6.759999999999999e-05,-1.84,-1.8,-0.040000000000000036
-6.72e-05,-1.8,-1.8,0.0
-6.68e-05,-1.76,-1.76,0.0
-6.639999999999999e-05,-1.8,-1.76,-0.040000000000000036
-6.599999999999999e-05,-1.8,-1.76,-0.040000000000000036
-6.56e-05,-1.76,-1.76,0.0
-6.519999999999999e-05,-1.8,-1.76,-0.040000000000000036
-6.479999999999999e-05,-1.8,-1.8,0.0
-6.44e-05,-1.8,-1.8,0.0
-6.4e-05,-1.76,-1.8,0.040000000000000036
-6.359999999999999e-05,-1.8,-1.8,0.0
-6.319999999999999e-05,-1.76,-1.8,0.040000000000000036
-6.28e-05,-1.84,-1.76,-0.08000000000000007
-6.239999999999999e-05,-1.72,-1.8,0.08000000000000007
-6.199999999999999e-05,-1.8,-1.84,0.040000000000000036
-6.159999999999999e-05,-1.76,-1.76,0.0
-6.12e-05,-1.8,-1.8,0.0
-6.079999999999999e-05,-1.8,-1.8,0.0
-6.039999999999999e-05,-1.84,-1.76,-0.08000000000000007
-5.9999999999999995e-05,-1.76,-1.76,0.0
-5.9599999999999985e-05,-1.8,-1.76,-0.040000000000000036
-5.919999999999999e-05,-1.8,-1.8,0.0
-5.879999999999999e-05,-1.8,-1.76,-0.040000000000000036
-5.8399999999999997e-05,-1.76,-1.76,0.0
-5.799999999999999e-05,-1.8,-1.76,-0.040000000000000036
-5.759999999999999e-05,-1.84,-1.72,-0.1200000000000001
-5.7199999999999994e-05,-1.76,-1.76,0.0
-5.68e-05,-1.76,-1.8,0.040000000000000036
-5.639999999999999e-05,-1.8,-1.72,-0.08000000000000007
-5.599999999999999e-05,-1.76,-1.76,0.0
-5.5599999999999996e-05,-1.76,-1.8,0.040000000000000036
-5.5199999999999986e-05,-1.76,-1.76,0.0
-5.479999999999999e-05,-1.84,-1.76,-0.08000000000000007
-5.4399999999999994e-05,-1.84,-1.8,-0.040000000000000036
-5.4e-05,-1.76,-1.8,0.040000000000000036
-5.359999999999999e-05,-1.72,-1.76,0.040000000000000036
-5.319999999999999e-05,-1.8,-1.76,-0.040000000000000036
-5.2799999999999996e-05,-1.8,-1.76,-0.040000000000000036
-5.2399999999999986e-05,-1.8,-1.8,0.0
-5.199999999999999e-05,-1.8,-1.8,0.0
-5.1599999999999994e-05,-1.8,-1.8,0.0
-5.12e-05,-1.8,-1.76,-0.040000000000000036
-5.079999999999999e-05,-1.8,-1.8,0.0
-5.039999999999999e-05,-1.8,-1.76,-0.040000000000000036
-4.9999999999999996e-05,-1.76,-1.76,0.0
-4.9599999999999986e-05,-1.8,-1.8,0.0
-4.919999999999999e-05,-1.8,-1.76,-0.040000000000000036
-4.8799999999999994e-05,-1.8,-1.76,-0.040000000000000036
-4.84e-05,-1.76,-1.76,0.0
-4.799999999999999e-05,-1.8,-1.76,-0.040000000000000036
-4.759999999999999e-05,-1.72,-1.8,0.08000000000000007
-4.7199999999999995e-05,-1.8,-1.76,-0.040000000000000036
-4.6799999999999986e-05,-1.8,-1.8,0.0
-4.639999999999999e-05,-1.8800000000000001,-1.76,-0.1200000000000001
-4.599999999999999e-05,-1.76,-1.76,0.0
-4.56e-05,-1.84,-1.76,-0.08000000000000007
-4.519999999999999e-05,-1.76,-1.76,0.0
-4.479999999999999e-05,-1.8,-1.76,-0.040000000000000036
-4.4399999999999995e-05,-1.76,-1.8,0.040000000000000036
-4.3999999999999985e-05,-1.8,-1.8,0.0
-4.359999999999999e-05,-1.8,-1.8,0.0
-4.319999999999999e-05,-1.8,-1.8,0.0
-4.28e-05,-1.84,-1.76,-0.08000000000000007
-4.239999999999999e-05,-1.8,-1.84,0.040000000000000036
-4.199999999999999e-05,-1.8800000000000001,-1.76,-0.1200000000000001
-4.1599999999999995e-05,-1.72,-1.8,0.08000000000000007
-4.12e-05,-1.8,-1.76,-0.040000000000000036
-4.079999999999999e-05,-1.8,-1.76,-0.040000000000000036
-4.039999999999999e-05,-1.76,-1.72,-0.040000000000000036
-3.9999999999999996e-05,-1.8,-1.76,-0.040000000000000036
-3.959999999999999e-05,-1.8,-1.8,0.0
-3.919999999999999e-05,-1.76,-1.8,0.040000000000000036
-3.8799999999999994e-05,-1.76,-1.72,-0.040000000000000036
-3.84e-05,-1.76,-1.76,0.0
-3.799999999999999e-05,-1.84,-1.76,-0.08000000000000007
-3.759999999999999e-05,-1.76,-1.76,0.0
-3.7199999999999996e-05,-1.8,-1.76,-0.040000000000000036
-3.6799999999999986e-05,-1.8,-1.8,0.0
-3.639999999999999e-05,-1.76,-1.76,0.0
-3.5999999999999994e-05,-1.8,-1.76,-0.040000000000000036
-3.56e-05,-1.84,-1.8,-0.040000000000000036
-3.519999999999999e-05,-1.76,-1.72,-0.040000000000000036
-3.479999999999999e-05,-1.8,-1.76,-0.040000000000000036
-3.4399999999999996e-05,-1.76,-1.84,0.08000000000000007
-3.3999999999999986e-05,-1.8,-1.72,-0.08000000000000007
-3.359999999999999e-05,-1.84,-1.76,-0.08000000000000007
-3.3199999999999994e-05,-1.8,-1.72,-0.08000000000000007
-3.28e-05,-1.76,-1.76,0.0
-3.239999999999999e-05,-1.76,-1.72,-0.040000000000000036
-3.199999999999999e-05,-1.84,-1.76,-0.08000000000000007
-3.1599999999999996e-05,-1.8,-1.76,-0.040000000000000036
-3.12e-05,-1.8,-1.76,-0.040000000000000036
-3.079999999999999e-05,-1.8,-1.76,-0.040000000000000036
-3.0399999999999994e-05,-1.76,-1.76,0.0
-2.9999999999999997e-05,-1.84,-1.76,-0.08000000000000007
-2.9599999999999988e-05,-1.76,-1.8,0.040000000000000036
-2.919999999999999e-05,-1.76,-1.8,0.040000000000000036
-2.8799999999999995e-05,-1.8,-1.8,0.0
-2.84e-05,-1.76,-1.8,0.040000000000000036
-2.799999999999999e-05,-1.84,-1.8,-0.040000000000000036
-2.7599999999999993e-05,-1.8,-1.76,-0.040000000000000036
-2.7199999999999997e-05,-1.76,-1.8,0.040000000000000036
-2.6799999999999987e-05,-1.76,-1.76,0.0
-2.639999999999999e-05,-1.8,-1.8,0.0
-2.5999999999999995e-05,-1.76,-1.8,0.040000000000000036
-2.56e-05,-1.8,-1.76,-0.040000000000000036
-2.519999999999999e-05,-1.76,-1.8,0.040000000000000036
-2.4799999999999993e-05,-1.84,-1.76,-0.08000000000000007
-2.4399999999999997e-05,-1.76,-1.76,0.0
-2.3999999999999987e-05,-1.8,-1.76,-0.040000000000000036
-2.359999999999999e-05,-1.76,-1.76,0.0
-2.3199999999999995e-05,-1.8,-1.76,-0.040000000000000036
-2.28e-05,-1.8,-1.8,0.0
-2.239999999999999e-05,-1.72,-1.8,0.08000000000000007
-2.1999999999999993e-05,-1.76,-1.8,0.040000000000000036
-2.1599999999999996e-05,-1.8,-1.76,-0.040000000000000036
-2.1199999999999987e-05,-1.76,-1.76,0.0
-2.079999999999999e-05,-1.76,-1.76,0.0
-2.0399999999999994e-05,-1.76,-1.76,0.0
-1.9999999999999998e-05,-1.8,-1.76,-0.040000000000000036
-1.959999999999999e-05,-1.72,-1.76,0.040000000000000036
-1.9199999999999992e-05,-1.76,-1.8,0.040000000000000036
-1.8799999999999996e-05,-1.76,-1.8,0.040000000000000036
-1.8399999999999986e-05,-1.76,-1.76,0.0
-1.799999999999999e-05,-1.76,-1.72,-0.040000000000000036
-1.7599999999999994e-05,-1.76,-1.8,0.040000000000000036
-1.7199999999999984e-05,-1.76,-1.8,0.040000000000000036
-1.6800000000000002e-05,-1.76,-1.72,-0.040000000000000036
-1.6399999999999992e-05,-1.76,-1.76,0.0
-1.5999999999999982e-05,-1.76,-1.8,0.040000000000000036
-1.56e-05,-1.76,-1.76,0.0
-1.519999999999999e-05,-1.8,-1.76,-0.040000000000000036
-1.479999999999998e-05,-1.8,-1.76,-0.040000000000000036
-1.4399999999999998e-05,-1.72,-1.8,0.08000000000000007
-1.3999999999999988e-05,-1.76,-1.76,0.0
-1.3600000000000005e-05,-1.76,-1.76,0.0
-1.3199999999999996e-05,-1.8,-1.8,0.0
-1.2799999999999986e-05,-1.76,-1.8,0.040000000000000036
-1.2400000000000003e-05,-1.76,-1.76,0.0
-1.1999999999999994e-05,-1.8,-1.8,0.0
-1.1599999999999984e-05,-1.8,-1.76,-0.040000000000000036
-1.1200000000000001e-05,-1.76,-1.8,0.040000000000000036
-1.0799999999999991e-05,-1.72,-1.76,0.040000000000000036
-1.0399999999999982e-05,-1.72,-1.76,0.040000000000000036
-9.999999999999999e-06,-1.8,-1.8,0.0
-9.59999999999999e-06,-1.8,-1.8,0.0
-9.200000000000007e-06,-1.76,-1.72,-0.040000000000000036
-8.799999999999997e-06,-1.76,-1.76,0.0
-8.399999999999987e-06,-1.76,-1.72,-0.040000000000000036
-8.000000000000005e-06,-1.72,-1.76,0.040000000000000036
-7.599999999999995e-06,-1.8,-1.76,-0.040000000000000036
-7.199999999999985e-06,-1.72,-1.8,0.08000000000000007
-6.800000000000003e-06,-1.8,-1.76,-0.040000000000000036
-6.399999999999993e-06,-1.76,-1.76,0.0
-5.999999999999983e-06,-1.8,-1.8,0.0
-5.600000000000001e-06,-1.72,-1.76,0.040000000000000036
-5.199999999999991e-06,-1.8,-1.8,0.0
-4.799999999999981e-06,-1.76,-1.76,0.0
-4.3999999999999985e-06,-1.8,-1.8,0.0
-3.999999999999989e-06,-1.8,-1.76,-0.040000000000000036
-3.600000000000006e-06,-1.76,-1.76,0.0
-3.1999999999999965e-06,-1.76,-1.76,0.0
-2.7999999999999867e-06,-1.76,-1.76,0.0
-2.400000000000004e-06,-1.8,-1.76,-0.040000000000000036
-1.9999999999999944e-06,-1.72,-1.72,0.0
-1.5999999999999847e-06,-1.8,-1.76,-0.040000000000000036
-1.200000000000002e-06,-1.76,-1.76,0.0
-7.999999999999923e-07,-1.76,-1.72,-0.040000000000000036
-3.999999999999826e-07,-1.76,-1.76,0.0
0.0,-1.76,-1.8,0.040000000000000036
4.000000000000097e-07,-1.76,-1.8,0.040000000000000036
8.000000000000194e-07,-1.72,-1.76,0.040000000000000036
1.200000000000002e-06,-1.76,-1.72,-0.040000000000000036
1.6000000000000118e-06,-1.8,-1.72,-0.08000000000000007
1.9999999999999944e-06,-1.72,-1.76,0.040000000000000036
2.400000000000004e-06,-1.68,-1.8,0.1200000000000001
2.800000000000014e-06,2.2800000000000002,-1.56,3.8400000000000003
3.1999999999999965e-06,2.2800000000000002,-1.48,3.7600000000000002
3.600000000000006e-06,2.24,-1.48,3.72
4.000000000000016e-06,2.24,-1.4000000000000001,3.6400000000000006
4.3999999999999985e-06,2.2,-1.36,3.5600000000000005
4.800000000000008e-06,2.2800000000000002,-1.32,3.6000000000000005
5.200000000000018e-06,2.2,-1.24,3.4400000000000004
5.600000000000001e-06,2.24,-1.16,3.4000000000000004
6.00000000000001e-06,2.24,-1.04,3.2800000000000002
6.399999999999993e-06,2.2800000000000002,-1.0,3.2800000000000002
6.800000000000003e-06,2.2,-0.92,3.12
7.200000000000012e-06,2.2,-0.84,3.04
7.599999999999995e-06,2.24,-0.68,2.9200000000000004
8.000000000000005e-06,2.24,-0.6,2.8400000000000003
8.400000000000014e-06,2.24,-0.4,2.64
8.799999999999997e-06,2.24,-0.28,2.5200000000000005
9.200000000000007e-06,2.24,-0.12,2.3600000000000003
9.600000000000017e-06,2.2,0.04,2.16
9.999999999999999e-06,2.2,0.2,2.0
1.0400000000000009e-05,2.24,0.36,1.8800000000000003
1.0800000000000019e-05,2.2800000000000002,0.6,1.6800000000000002
1.1200000000000001e-05,2.24,0.72,1.5200000000000002
1.1600000000000011e-05,2.2800000000000002,0.88,1.4000000000000004
1.1999999999999994e-05,2.2,1.04,1.1600000000000001
1.2400000000000003e-05,2.24,1.24,1.0000000000000002
1.2800000000000013e-05,2.24,1.4000000000000001,0.8400000000000001
1.3199999999999996e-05,2.24,1.6,0.6400000000000001
1.3600000000000005e-05,2.24,1.8,0.44000000000000017
1.4000000000000015e-05,2.24,1.96,0.28000000000000025
1.4399999999999998e-05,2.24,2.2,0.040000000000000036
1.4800000000000007e-05,2.32,2.32,0.0
1.5200000000000017e-05,2.24,2.52,-0.2799999999999998
1.56e-05,2.2800000000000002,2.68,-0.3999999999999999
1.600000000000001e-05,2.32,2.84,-0.52
1.6399999999999992e-05,2.24,3.04,-0.7999999999999998
1.6800000000000002e-05,2.24,3.24,-1.0
1.720000000000001e-05,2.24,3.36,-1.1199999999999997
1.7599999999999994e-05,2.2,3.52,-1.3199999999999998
1.8000000000000004e-05,2.24,3.68,-1.44
1.8400000000000014e-05,2.24,3.84,-1.5999999999999996
1.8799999999999996e-05,2.2,3.96,-1.7599999999999998
1.9200000000000006e-05,2.24,4.08,-1.8399999999999999
1.9600000000000016e-05,2.24,4.24,-2.0
1.9999999999999998e-05,2.24,4.36,-2.12
2.0400000000000008e-05,2.32,4.48,-2.1600000000000006
2.0800000000000018e-05,2.24,4.5600000000000005,-2.3200000000000003
2.12e-05,2.2800000000000002,4.68,-2.3999999999999995
2.160000000000001e-05,2.24,4.72,-2.4799999999999995
2.1999999999999993e-05,2.2800000000000002,4.84,-2.5599999999999996
2.2400000000000002e-05,2.2,4.84,-2.6399999999999997
2.2800000000000012e-05,2.24,4.92,-2.6799999999999997
2.3199999999999995e-05,2.2,4.96,-2.76
2.3600000000000004e-05,2.24,5.0,-2.76
2.4000000000000014e-05,2.24,5.08,-2.84
2.4399999999999997e-05,2.2,5.08,-2.88
2.4800000000000007e-05,2.24,5.12,-2.88
2.5200000000000016e-05,2.24,5.12,-2.88
2.56e-05,2.2800000000000002,5.12,-2.84
2.600000000000001e-05,2.24,5.08,-2.84
2.639999999999999e-05,2.2800000000000002,5.08,-2.8
2.68e-05,2.24,5.04,-2.8
2.720000000000001e-05,2.32,4.96,-2.64
2.7599999999999993e-05,2.32,4.92,-2.6
2.8000000000000003e-05,2.2800000000000002,4.88,-2.5999999999999996
2.8400000000000013e-05,2.2800000000000002,4.84,-2.5599999999999996
2.8799999999999995e-05,2.24,4.76,-2.5199999999999996
2.9200000000000005e-05,2.24,4.68,-2.4399999999999995
2.9600000000000015e-05,2.2800000000000002,4.5600000000000005,-2.2800000000000002
2.9999999999999997e-05,2.24,4.5200000000000005,-2.2800000000000002
3.0400000000000007e-05,2.2800000000000002,4.4,-2.12
3.080000000000002e-05,2.24,4.28,-2.04
3.12e-05,2.2800000000000002,4.2,-1.92
3.160000000000001e-05,2.32,4.08,-1.7600000000000002
3.199999999999999e-05,2.24,3.96,-1.7199999999999998
3.24e-05,2.2800000000000002,3.84,-1.5599999999999996
3.280000000000001e-05,2.2800000000000002,3.72,-1.44
3.3199999999999994e-05,2.24,3.6,-1.3599999999999999
3.3600000000000004e-05,2.2800000000000002,3.44,-1.1599999999999997
3.400000000000001e-05,2.24,3.2800000000000002,-1.04
3.4399999999999996e-05,2.2800000000000002,3.16,-0.8799999999999999
3.4800000000000006e-05,2.2800000000000002,3.04,-0.7599999999999998
3.5200000000000015e-05,2.2800000000000002,2.88,-0.5999999999999996
3.56e-05,2.24,2.72,-0.48
3.600000000000001e-05,2.2800000000000002,2.6,-0.31999999999999984
3.640000000000002e-05,2.2800000000000002,2.44,-0.1599999999999997
3.68e-05,2.2800000000000002,2.32,-0.03999999999999959
3.720000000000001e-05,2.24,2.2,0.040000000000000036
3.759999999999999e-05,2.2800000000000002,2.0,0.28000000000000025
3.8e-05,2.24,1.8800000000000001,0.3600000000000001
3.840000000000001e-05,2.24,1.8,0.44000000000000017
3.8799999999999994e-05,2.24,1.6,0.6400000000000001
3.9200000000000004e-05,2.2800000000000002,1.48,0.8000000000000003
3.9600000000000014e-05,2.32,1.36,0.9599999999999997
3.9999999999999996e-05,2.2800000000000002,1.2,1.0800000000000003
4.0400000000000006e-05,2.32,1.12,1.1999999999999997
4.0800000000000016e-05,2.2800000000000002,1.04,1.2400000000000002
4.12e-05,2.24,0.92,1.3200000000000003
4.160000000000001e-05,2.24,0.8,1.4400000000000002
4.199999999999999e-05,2.2800000000000002,0.72,1.5600000000000003
4.24e-05,2.24,0.64,1.6
4.280000000000001e-05,2.2800000000000002,0.52,1.7600000000000002
4.319999999999999e-05,2.2800000000000002,0.44,1.8400000000000003
4.36e-05,2.24,0.4,1.8400000000000003
4.400000000000001e-05,2.24,0.28,1.9600000000000002
4.4399999999999995e-05,2.32,0.24,2.08
4.4800000000000005e-05,2.2800000000000002,0.2,2.08
4.5200000000000014e-05,2.24,0.16,2.08
4.56e-05,2.24,0.08,2.16
4.600000000000001e-05,2.2800000000000002,0.12,2.16
4.6400000000000017e-05,2.2800000000000002,0.08,2.2
4.68e-05,2.2800000000000002,0.0,2.2800000000000002
4.720000000000001e-05,2.24,0.04,2.2
4.759999999999999e-05,2.2800000000000002,0.04,2.24
4.8e-05,2.2800000000000002,0.0,2.2800000000000002
4.840000000000001e-05,2.24,0.04,2.2
4.8799999999999994e-05,2.32,0.04,2.28
4.92e-05,2.24,0.08,2.16
4.960000000000001e-05,2.2800000000000002,0.12,2.16
4.9999999999999996e-05,2.2800000000000002,0.08,2.2
5.0400000000000005e-05,2.24,0.16,2.08
5.0800000000000015e-05,2.24,0.2,2.04
5.12e-05,2.2800000000000002,0.28,2.0
5.160000000000001e-05,2.2,0.4,1.8000000000000003
5.200000000000002e-05,2.24,0.4,1.8400000000000003
5.24e-05,2.24,0.48,1.7600000000000002
5.280000000000001e-05,2.2800000000000002,0.56,1.7200000000000002
5.319999999999999e-05,2.24,0.64,1.6
5.36e-05,2.24,0.68,1.56
5.400000000000001e-05,2.24,0.8,1.4400000000000002
5.4399999999999994e-05,2.2800000000000002,0.88,1.4000000000000004
