Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.000252,-1.8,0.0,-1.8
-0.0002516,-1.72,0.04,-1.76
-0.0002512,-1.8,0.0,-1.8
-0.0002508,-1.8,0.04,-1.84
-0.0002504,-1.8,0.04,-1.84
-0.00025,-1.8,0.04,-1.84
-0.0002496,-1.76,0.04,-1.8
-0.0002492,-1.8,0.04,-1.84
-0.0002488,-1.8,-0.04,-1.76
-0.0002484,-1.84,0.04,-1.8800000000000001
-0.000248,-1.76,0.04,-1.8
-0.0002476,-1.76,-0.04,-1.72
-0.0002472,-1.8,0.04,-1.84
-0.0002468,-1.8,0.0,-1.8
-0.0002464,-1.76,0.04,-1.8
-0.000246,-1.8,0.04,-1.84
-0.0002456,-1.76,0.0,-1.76
-0.0002452,-1.8,0.04,-1.84
-0.0002448,-1.76,0.08,-1.84
-0.0002444,-1.8,0.0,-1.8
-0.000244,-1.76,0.04,-1.8
-0.0002436,-1.8,0.08,-1.8800000000000001
-0.0002432,-1.76,0.04,-1.8
-0.0002428,-1.8,0.04,-1.84
-0.0002424,-1.72,-0.04,-1.68
-0.000242,-1.8,0.04,-1.84
-0.0002416,-1.8,0.04,-1.84
-0.0002412,-1.8,0.0,-1.8
-0.0002408,-1.76,0.04,-1.8
-0.0002404,-1.8,0.0,-1.8
-0.00024,-1.72,0.0,-1.72
-0.0002396,-1.8,0.0,-1.8
-0.00023920000000000001,-1.76,0.04,-1.8
-0.0002388,-1.84,0.0,-1.84
-0.0002384,-1.76,0.04,-1.8
-0.000238,-1.84,0.04,-1.8800000000000001
-0.0002376,-1.76,0.0,-1.76
-0.0002372,-1.84,0.0,-1.84
-0.0002368,-1.76,-0.04,-1.72
-0.0002364,-1.8,0.04,-1.84
-0.000236,-1.8,0.04,-1.84
-0.0002356,-1.8,0.04,-1.84
-0.0002352,-1.8,0.0,-1.8
-0.00023480000000000002,-1.76,0.04,-1.8
-0.0002344,-1.8,0.0,-1.8
-0.000234,-1.76,0.04,-1.8
-0.00023359999999999999,-1.8,0.08,-1.8800000000000001
-0.0002332,-1.76,0.0,-1.76
-0.0002328,-1.8,0.04,-1.84
-0.0002324,-1.8,0.04,-1.84
-0.000232,-1.84,0.04,-1.8800000000000001
-0.0002316,-1.76,0.04,-1.8
-0.0002312,-1.8,0.0,-1.8
-0.0002308,-1.8,0.0,-1.8
-0.0002304,-1.8,0.0,-1.8
-0.00023,-1.76,0.04,-1.8
-0.0002296,-1.84,0.0,-1.84
-0.0002292,-1.76,0.04,-1.8
-0.0002288,-1.8,0.04,-1.84
-0.0002284,-1.8,0.04,-1.84
-0.000228,-1.84,0.04,-1.8800000000000001
-0.0002276,-1.76,0.08,-1.84
-0.0002272,-1.84,0.0,-1.84
-0.0002268,-1.8,0.04,-1.84
-0.0002264,-1.8,0.0,-1.8
-0.000226,-1.8,0.04,-1.84
-0.0002256,-1.76,0.0,-1.76
-0.0002252,-1.76,0.08,-1.84
-0.0002248,-1.76,0.08,-1.84
-0.0002244,-1.8,0.0,-1.8
-0.000224,-1.84,0.04,-1.8800000000000001
-0.00022360000000000001,-1.76,0.04,-1.8
-0.0002232,-1.8,0.04,-1.84
-0.0002228,-1.8,0.04,-1.84
-0.0002224,-1.8,0.0,-1.8
-0.000222,-1.8,0.04,-1.84
-0.0002216,-1.8,0.04,-1.84
-0.0002212,-1.8,0.04,-1.84
