Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.000172,-1.8,-0.008,-1.792
-0.0001716,-1.76,-0.008,-1.752
-0.00017120000000000001,-1.8,-0.008,-1.792
-0.0001708,-1.72,0.0,-1.72
-0.0001704,-1.8,-0.004,-1.796
-0.00017,-1.84,0.0,-1.84
-0.0001696,-1.8,-0.004,-1.796
-0.00016920000000000002,-1.8,0.0,-1.8
-0.0001688,-1.76,0.0,-1.76
-0.0001684,-1.8,-0.004,-1.796
-0.00016800000000000002,-1.76,0.008,-1.768
-0.0001676,-1.76,-0.004,-1.756
-0.0001672,-1.76,-0.004,-1.756
-0.00016680000000000002,-1.8,-0.004,-1.796
-0.0001664,-1.76,0.0,-1.76
-0.000166,-1.84,0.004,-1.844
-0.00016560000000000001,-1.76,0.008,-1.768
-0.0001652,-1.84,0.004,-1.844
-0.0001648,-1.72,0.0,-1.72
-0.0001644,-1.8,0.008,-1.808
-0.000164,-1.72,0.012,-1.732
-0.00016360000000000002,-1.8,0.008,-1.808
-0.0001632,-1.76,0.008,-1.768
-0.0001628,-1.76,0.008,-1.768
-0.00016240000000000002,-1.8,0.008,-1.808
-0.000162,-1.84,0.012,-1.852
-0.0001616,-1.76,0.016,-1.776
-0.00016120000000000002,-1.8,0.008,-1.808
-0.0001608,-1.76,0.016,-1.776
-0.0001604,-1.84,0.012,-1.852
-0.00016,-1.72,0.016,-1.736
-0.0001596,-1.8,0.012,-1.812
-0.00015920000000000002,-1.76,0.008,-1.768
-0.0001588,-1.8,0.012,-1.812
-0.0001584,-1.76,0.004,-1.764
-0.00015800000000000002,-1.76,0.012,-1.772
-0.0001576,-1.76,0.004,-1.764
-0.0001572,-1.76,0.004,-1.764
-0.00015680000000000002,-1.8,0.0,-1.8
-0.0001564,-1.76,0.004,-1.764
-0.000156,-1.8,0.0,-1.8
-0.00015560000000000001,-1.8,-0.004,-1.796
-0.0001552,-1.76,0.0,-1.76
-0.00015480000000000002,-1.72,-0.008,-1.712
-0.0001544,-1.76,-0.012,-1.748
-0.000154,-1.76,-0.012,-1.748
-0.0001536,-1.84,-0.008,-1.832
-0.0001532,-1.8,-0.008,-1.792
-0.0001528,-1.8,-0.008,-1.792
-0.00015240000000000002,-1.76,-0.008,-1.752
-0.000152,-1.8,-0.004,-1.796
-0.0001516,-1.72,-0.004,-1.716
-0.00015120000000000002,-1.8,-0.004,-1.796
-0.0001508,-1.76,-0.012,-1.748
-0.0001504,-1.8,-0.004,-1.796
-0.00015000000000000001,-1.8,-0.008,-1.792
-0.0001496,-1.8,-0.004,-1.796
-0.0001492,-1.76,-0.004,-1.756
-0.0001488,-1.76,-0.004,-1.756
-0.0001484,-1.76,-0.004,-1.756
-0.00014800000000000002,-1.8,0.0,-1.8
-0.0001476,-1.76,-0.008,-1.752
-0.0001472,-1.84,-0.004,-1.836
-0.00014680000000000002,-1.72,-0.004,-1.716
-0.0001464,-1.84,0.004,-1.844
-0.000146,-1.76,0.0,-1.76
-0.00014560000000000002,-1.8,0.004,-1.804
-0.0001452,-1.76,0.0,-1.76
-0.0001448,-1.8,0.008,-1.808
-0.0001444,-1.8,0.004,-1.804
-0.000144,-1.8,0.0,-1.8
-0.00014360000000000002,-1.76,0.008,-1.768
-0.0001432,-1.8,0.008,-1.808
-0.0001428,-1.8,0.016,-1.816
-0.00014240000000000002,-1.76,0.016,-1.776
-0.000142,-1.8,0.012,-1.812
-0.0001416,-1.8,0.008,-1.808
-0.00014120000000000002,-1.8,0.008,-1.808
-0.0001408,-1.76,0.016,-1.776
-0.0001404,-1.8,0.004,-1.804
-0.00014000000000000001,-1.76,0.012,-1.772
-0.0001396,-1.76,0.004,-1.764
-0.00013920000000000002,-1.8,0.008,-1.808
-0.0001388,-1.8,0.012,-1.812
-0.0001384,-1.76,0.008,-1.768
-0.000138,-1.8,0.008,-1.808
-0.0001376,-1.76,0.008,-1.768
-0.0001372,-1.8,0.012,-1.812
-0.00013680000000000002,-1.76,0.004,-1.764
-0.0001364,-1.84,0.0,-1.84
-0.000136,-1.72,0.004,-1.724
-0.00013560000000000002,-1.8,-0.004,-1.796
-0.0001352,-1.8,-0.004,-1.796
-0.00013480000000000002,-1.8,-0.004,-1.796
-0.00013440000000000001,-1.8,-0.004,-1.796
-0.000134,-1.8,-0.004,-1.796
-0.0001336,-1.76,-0.008,-1.752
-0.0001332,-1.8,-0.004,-1.796
-0.0001328,-1.8,-0.008,-1.792
-0.00013240000000000002,-1.8,-0.008,-1.792
-0.000132,-1.76,-0.012,-1.748
-0.0001316,-1.8,-0.004,-1.796
-0.00013120000000000002,-1.76,-0.008,-1.752
-0.0001308,-1.8,-0.008,-1.792
-0.00013040000000000003,-1.84,-0.012,-1.828
-0.00013000000000000002,-1.76,-0.012,-1.748
-0.0001296,-1.76,-0.004,-1.756
-0.0001292,-1.76,-0.004,-1.756
-0.00012880000000000001,-1.8,0.0,-1.8
-0.0001284,-1.8,-0.008,-1.792
-0.00012800000000000002,-1.8,-0.004,-1.796
-0.0001276,-1.84,0.0,-1.84
-0.0001272,-1.8800000000000001,0.0,-1.8800000000000001
-0.0001268,-1.72,0.004,-1.724
-0.0001264,-1.84,0.004,-1.844
-0.000126,-1.76,0.0,-1.76
-0.00012560000000000002,-1.84,0.0,-1.84
-0.0001252,-1.76,0.004,-1.764
-0.0001248,-1.8,0.0,-1.8
-0.00012440000000000002,-1.76,0.008,-1.768
-0.000124,-1.84,0.008,-1.848
-0.00012360000000000002,-1.72,0.0,-1.72
-0.0001232,-1.8,0.0,-1.8
-0.0001228,-1.76,0.008,-1.768
-0.0001224,-1.84,0.008,-1.848
-0.00012200000000000001,-1.76,0.016,-1.776
-0.0001216,-1.8,0.008,-1.808
-0.00012120000000000002,-1.76,0.012,-1.772
-0.00012080000000000001,-1.8,0.016,-1.816
-0.0001204,-1.72,0.012,-1.732
-0.00012000000000000002,-1.76,0.012,-1.772
-0.00011960000000000001,-1.76,0.008,-1.768
-0.00011920000000000001,-1.76,0.004,-1.764
-0.00011880000000000001,-1.8,0.008,-1.808
-0.0001184,-1.76,0.012,-1.772
-0.00011800000000000001,-1.8,0.004,-1.804
-0.00011760000000000001,-1.8,0.008,-1.808
-0.0001172,-1.8,0.004,-1.804
-0.0001168,-1.8,0.004,-1.804
-0.00011640000000000001,-1.76,0.004,-1.764
-0.000116,-1.76,-0.004,-1.756
-0.00011560000000000002,-1.8,-0.008,-1.792
-0.00011520000000000001,-1.76,-0.004,-1.756
-0.00011480000000000001,-1.72,-0.004,-1.716
-0.00011440000000000002,-1.76,-0.008,-1.752
-0.000114,-1.84,0.004,-1.844
-0.00011360000000000001,-1.72,-0.008,-1.712
-0.00011320000000000001,-1.76,-0.004,-1.756
-0.0001128,-1.76,-0.008,-1.752
-0.00011240000000000001,-1.8,-0.004,-1.796
-0.00011200000000000001,-1.8,-0.008,-1.792
-0.0001116,-1.76,-0.004,-1.756
-0.0001112,-1.76,-0.004,-1.756
-0.00011080000000000001,-1.8,-0.012,-1.788
-0.00011040000000000001,-1.8,-0.008,-1.792
-0.00011,-1.76,-0.008,-1.752
-0.00010960000000000001,-1.72,-0.016,-1.704
-0.00010920000000000001,-1.8,-0.004,-1.796
-0.00010880000000000002,-1.72,-0.012,-1.708
-0.0001084,-1.8,-0.008,-1.792
-0.00010800000000000001,-1.76,0.0,-1.76
-0.00010760000000000001,-1.8,0.0,-1.8
-0.0001072,-1.76,-0.004,-1.756
-0.00010680000000000001,-1.8,-0.004,-1.796
-0.00010640000000000001,-1.8,-0.004,-1.796
-0.00010600000000000002,-1.8,-0.004,-1.796
-0.0001056,-1.76,-0.004,-1.756
-0.00010520000000000001,-1.76,0.008,-1.768
-0.00010480000000000001,-1.8,0.004,-1.804
-0.0001044,-1.76,-0.004,-1.756
-0.00010400000000000001,-1.84,0.0,-1.84
-0.00010360000000000001,-1.76,0.004,-1.764
-0.00010320000000000001,-1.84,0.008,-1.848
-0.0001028,-1.8,0.008,-1.808
-0.00010240000000000001,-1.84,0.012,-1.852
-0.00010200000000000001,-1.76,0.008,-1.768
-0.0001016,-1.8,0.012,-1.812
-0.00010120000000000001,-1.76,0.012,-1.772
-0.00010080000000000001,-1.8,0.016,-1.816
-0.00010040000000000001,-1.76,0.004,-1.764
-0.0001,-1.76,0.012,-1.772
-9.960000000000001e-05,-1.84,0.008,-1.848
-9.920000000000001e-05,-1.8,0.012,-1.812
-9.880000000000002e-05,-1.72,0.012,-1.732
-9.84e-05,-1.76,0.012,-1.772
-9.800000000000001e-05,-1.76,0.008,-1.768
