Arquivo contendo os pontos amostrais do interferÔmetro de Michelson,,,
Data:,,8\10\2019,
Hora:,,8:53:34,
Quantidade de franjas:,,0,
ponto,tempo,leitura,marcação
0,0,73,0
1,99,73,0
2,126,74,0
3,159,54,0
4,219,54,0
5,258,54,0
6,317,54,0
7,344,21,0
8,382,21,0
9,446,39,0
10,513,39,0
11,532,39,0
12,560,71,0
13,613,71,0
14,643,74,0
15,742,74,0
16,760,74,0
17,798,51,0
18,900,51,0
19,950,20,0
20,969,20,0
21,1001,20,0
22,1067,46,0
23,1117,46,0
24,1161,73,0
25,1198,73,0
26,1239,73,0
27,1318,73,0
28,1376,73,0
29,1404,47,0
30,1440,47,0
31,1505,47,0
32,1572,19,0
33,1596,19,0
34,1631,46,0
35,1652,46,0
36,1716,46,0
37,1765,46,0
38,1820,73,0
39,1850,73,0
40,1901,73,0
41,2004,73,0
42,2030,46,0
43,2058,46,0
44,2096,19,0
45,2256,19,0
46,2279,52,0
47,2314,52,0
48,2344,76,0
49,2464,76,0
50,2498,70,0
51,2528,70,0
52,2597,39,0
53,2676,39,0
54,2723,39,0
55,2771,23,0
56,2892,57,0
57,2944,57,0
58,2966,75,0
59,3098,75,75
60,3127,69,0
61,3158,69,0
62,3213,39,0
63,3279,39,0
64,3317,39,0
65,3346,19,0
66,3376,19,0
67,3433,19,0
68,3501,51,0
69,3532,51,0
70,3558,74,0
71,3602,74,0
72,3660,74,0
73,3690,73,0
74,3753,73,0
75,3781,73,0
76,3811,45,0
77,3887,45,0
78,3909,45,0
79,3959,19,0
80,3993,19,0
81,4038,19,0
82,4097,53,0
83,4167,53,0
84,4198,75,0
85,4286,75,0
86,4314,71,0
87,4381,71,0
88,4402,41,0
89,4438,41,0
90,4487,41,0
91,4587,20,0
92,4631,20,0
93,4661,57,0
94,4723,57,0
95,4761,57,0
96,4792,76,0
97,4816,76,0
98,4839,76,0
99,4906,66,0
100,4998,66,0
101,5034,29,0
102,5055,29,0
103,5094,29,0
104,5148,30,0
105,5210,30,0
106,5247,66,0
107,5278,66,0
108,5347,66,0
109,5418,77,0
110,5460,77,0
111,5535,62,0
112,5630,62,0
113,5653,27,0
114,5684,27,0
115,5729,30,0
116,5830,30,0
117,5865,70,0
118,5896,70,0
119,5952,70,0
120,6006,75,0
121,6051,75,0
122,6083,47,0
123,6118,47,0
124,6174,47,0
125,6261,18,18
126,6283,18,0
127,6317,48,0
128,6364,48,0
129,6416,48,0
130,6477,74,0
131,6498,74,0
132,6527,74,0
133,6600,75,0
134,6690,75,0
135,6706,58,0
136,6751,58,0
137,6794,58,0
138,6870,27,0
139,6932,27,0
140,6967,21,0
141,7001,21,0
142,7057,53,0
143,7148,53,0
144,7182,74,0
145,7206,74,0
146,7271,74,0
147,7342,75,0
148,7366,75,0
149,7397,48,0
150,7466,48,0
151,7562,48,0
152,7583,17,0
153,7613,17,0
154,7644,43,0
155,7771,43,0
156,7800,74,0
157,7837,74,0
158,7909,69,0
159,7989,69,0
160,8016,31,0
161,8102,31,0
162,8190,31,0
163,8211,22,0
164,8248,58,0
165,8312,58,0
166,8401,58,0
167,8438,76,0
168,8494,71,0
169,8593,71,0
170,8620,36,0
171,8643,36,0
172,8683,36,0
173,8742,27,0
174,8817,27,0
175,8860,68,0
176,8892,68,0
177,8935,68,0
178,8975,76,0
179,9053,76,0
180,9081,60,0
181,9123,60,0
182,9175,60,0
183,9240,23,0
184,9276,23,0
185,9297,23,0
186,9356,32,0
187,9446,32,0
188,9496,67,0
189,9545,67,0
190,9599,77,0
191,9654,77,0
192,9677,61,0
193,9717,61,0
194,9785,61,0
