Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0125,-0.4,-0.12,-0.28
-0.012490000000000001,-0.4,-0.12,-0.28
-0.012480000000000002,-0.4,-0.16,-0.24000000000000002
-0.01247,-0.4,-0.16,-0.24000000000000002
-0.01246,-0.4,-0.16,-0.24000000000000002
-0.012450000000000001,-0.32,-0.16,-0.16
-0.012440000000000001,-0.4,-0.16,-0.24000000000000002
-0.01243,-0.32,-0.16,-0.16
-0.01242,-0.4,-0.16,-0.24000000000000002
-0.012410000000000001,-0.4,-0.16,-0.24000000000000002
-0.012400000000000001,-0.32,-0.16,-0.16
-0.01239,-0.32,-0.16,-0.16
-0.01238,-0.32,-0.16,-0.16
-0.01237,-0.32,-0.16,-0.16
-0.012360000000000001,-0.32,-0.16,-0.16
-0.01235,-0.32,-0.16,-0.16
-0.01234,-0.32,-0.16,-0.16
-0.01233,-0.32,-0.2,-0.12
-0.012320000000000001,-0.32,-0.16,-0.16
-0.012310000000000001,-0.32,-0.2,-0.12
-0.0123,-0.32,-0.2,-0.12
-0.01229,-0.32,-0.2,-0.12
-0.012280000000000001,-0.32,-0.2,-0.12
-0.012270000000000001,-0.32,-0.24,-0.08000000000000002
-0.01226,-0.24,-0.2,-0.03999999999999998
-0.01225,-0.24,-0.2,-0.03999999999999998
-0.012240000000000001,-0.24,-0.2,-0.03999999999999998
-0.012230000000000001,-0.24,-0.2,-0.03999999999999998
-0.01222,-0.24,-0.2,-0.03999999999999998
-0.01221,-0.24,-0.24,0.0
-0.0122,-0.24,-0.2,-0.03999999999999998
-0.012190000000000001,-0.24,-0.24,0.0
-0.01218,-0.24,-0.2,-0.03999999999999998
-0.01217,-0.24,-0.24,0.0
-0.01216,-0.24,-0.2,-0.03999999999999998
-0.012150000000000001,-0.24,-0.2,-0.03999999999999998
-0.012140000000000001,-0.24,-0.2,-0.03999999999999998
-0.01213,-0.16,-0.2,0.04000000000000001
-0.01212,-0.16,-0.24,0.07999999999999999
-0.012110000000000001,-0.16,-0.2,0.04000000000000001
-0.012100000000000001,-0.16,-0.24,0.07999999999999999
-0.01209,-0.16,-0.2,0.04000000000000001
-0.01208,-0.08,-0.2,0.12000000000000001
-0.01207,-0.16,-0.2,0.04000000000000001
-0.012060000000000001,-0.16,-0.2,0.04000000000000001
-0.01205,-0.16,-0.2,0.04000000000000001
-0.01204,-0.16,-0.2,0.04000000000000001
-0.01203,-0.08,-0.2,0.12000000000000001
-0.012020000000000001,-0.08,-0.2,0.12000000000000001
-0.01201,-0.08,-0.2,0.12000000000000001
-0.012,-0.08,-0.2,0.12000000000000001
-0.01199,-0.08,-0.2,0.12000000000000001
-0.011980000000000001,-0.08,-0.2,0.12000000000000001
-0.011970000000000001,0.0,-0.2,0.2
-0.01196,-0.08,-0.16,0.08
-0.01195,0.0,-0.16,0.16
-0.011940000000000001,0.0,-0.16,0.16
-0.011930000000000001,0.0,-0.2,0.2
-0.01192,0.0,-0.16,0.16
-0.01191,0.0,-0.16,0.16
-0.0119,0.0,-0.16,0.16
-0.011890000000000001,0.08,-0.16,0.24
-0.01188,0.08,-0.16,0.24
-0.01187,0.08,-0.16,0.24
-0.01186,0.08,-0.16,0.24
-0.011850000000000001,0.08,-0.16,0.24
-0.01184,0.08,-0.16,0.24
-0.01183,0.16,-0.12,0.28
-0.01182,0.16,-0.16,0.32
-0.011810000000000001,0.16,-0.12,0.28
-0.011800000000000001,0.16,-0.12,0.28
