Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0125,-3.92,-3.68,-0.23999999999999977
-0.012490000000000001,-3.84,-3.68,-0.1599999999999997
-0.012480000000000002,-3.92,-3.68,-0.23999999999999977
-0.01247,-3.92,-3.68,-0.23999999999999977
-0.01246,-3.92,-3.68,-0.23999999999999977
-0.012450000000000001,-3.92,-3.68,-0.23999999999999977
-0.012440000000000001,-3.84,-3.68,-0.1599999999999997
-0.01243,-3.84,-3.68,-0.1599999999999997
-0.01242,-3.84,-3.68,-0.1599999999999997
-0.012410000000000001,-3.84,-3.68,-0.1599999999999997
-0.012400000000000001,-3.84,-3.68,-0.1599999999999997
-0.01239,-3.92,-3.68,-0.23999999999999977
-0.01238,-3.84,-3.68,-0.1599999999999997
-0.01237,-3.84,-3.68,-0.1599999999999997
-0.012360000000000001,-3.84,-3.68,-0.1599999999999997
-0.01235,-3.92,-3.68,-0.23999999999999977
-0.01234,-3.84,-3.68,-0.1599999999999997
-0.01233,-3.92,-3.68,-0.23999999999999977
-0.012320000000000001,-3.84,-3.68,-0.1599999999999997
-0.012310000000000001,-3.84,-3.68,-0.1599999999999997
-0.0123,-3.84,-3.68,-0.1599999999999997
-0.01229,-3.84,-3.68,-0.1599999999999997
-0.012280000000000001,-3.92,-3.68,-0.23999999999999977
-0.012270000000000001,-3.84,-3.68,-0.1599999999999997
-0.01226,-3.84,-3.68,-0.1599999999999997
-0.01225,-3.84,-3.68,-0.1599999999999997
-0.012240000000000001,-3.84,-3.68,-0.1599999999999997
-0.012230000000000001,-3.92,-3.68,-0.23999999999999977
-0.01222,-3.84,-3.68,-0.1599999999999997
-0.01221,-3.92,-3.68,-0.23999999999999977
-0.0122,-3.84,-3.7600000000000002,-0.07999999999999963
-0.012190000000000001,-3.84,-3.68,-0.1599999999999997
-0.01218,-3.84,-3.68,-0.1599999999999997
-0.01217,-3.92,-3.68,-0.23999999999999977
-0.01216,-3.84,-3.68,-0.1599999999999997
-0.012150000000000001,-3.84,-3.68,-0.1599999999999997
-0.012140000000000001,-3.92,-3.68,-0.23999999999999977
-0.01213,-3.84,-3.68,-0.1599999999999997
-0.01212,-3.84,-3.68,-0.1599999999999997
-0.012110000000000001,-3.84,-3.68,-0.1599999999999997
-0.012100000000000001,-3.84,-3.68,-0.1599999999999997
-0.01209,-3.84,-3.68,-0.1599999999999997
-0.01208,-3.84,-3.68,-0.1599999999999997
-0.01207,-3.84,-3.68,-0.1599999999999997
-0.012060000000000001,-3.92,-3.68,-0.23999999999999977
-0.01205,-3.84,-3.68,-0.1599999999999997
-0.01204,-3.84,-3.68,-0.1599999999999997
-0.01203,-3.84,-3.7600000000000002,-0.07999999999999963
-0.012020000000000001,-3.92,-3.68,-0.23999999999999977
-0.01201,-3.84,-3.68,-0.1599999999999997
-0.012,-3.92,-3.68,-0.23999999999999977
-0.01199,-3.92,-3.68,-0.23999999999999977
-0.011980000000000001,-3.84,-3.68,-0.1599999999999997
-0.011970000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01196,-3.92,-3.68,-0.23999999999999977
-0.01195,-3.84,-3.68,-0.1599999999999997
-0.011940000000000001,-3.92,-3.68,-0.23999999999999977
-0.011930000000000001,-3.92,-3.68,-0.23999999999999977
-0.01192,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01191,-3.92,-3.68,-0.23999999999999977
-0.0119,-3.92,-3.68,-0.23999999999999977
-0.011890000000000001,-3.84,-3.68,-0.1599999999999997
-0.01188,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01187,-3.92,-3.68,-0.23999999999999977
-0.01186,-3.92,-3.68,-0.23999999999999977
-0.011850000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01184,-3.92,-3.68,-0.23999999999999977
-0.01183,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01182,-3.84,-3.68,-0.1599999999999997
-0.011810000000000001,-3.92,-3.68,-0.23999999999999977
-0.011800000000000001,-3.84,-3.68,-0.1599999999999997
-0.01179,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01178,-3.84,-3.68,-0.1599999999999997
-0.011770000000000001,-3.84,-3.68,-0.1599999999999997
-0.011760000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01175,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01174,-3.84,-3.68,-0.1599999999999997
-0.01173,-3.92,-3.68,-0.23999999999999977
-0.011720000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01171,-3.92,-3.68,-0.23999999999999977
-0.0117,-3.92,-3.68,-0.23999999999999977
-0.01169,-3.84,-3.68,-0.1599999999999997
-0.011680000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01167,-3.92,-3.68,-0.23999999999999977
-0.01166,-3.84,-3.68,-0.1599999999999997
-0.01165,-3.92,-3.68,-0.23999999999999977
-0.011640000000000001,-3.84,-3.68,-0.1599999999999997
-0.011630000000000001,-3.92,-3.68,-0.23999999999999977
-0.01162,-3.84,-3.68,-0.1599999999999997
-0.01161,-3.92,-3.7600000000000002,-0.1599999999999997
-0.011600000000000001,-3.92,-3.68,-0.23999999999999977
-0.011590000000000001,-3.92,-3.68,-0.23999999999999977
-0.01158,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01157,-3.92,-3.68,-0.23999999999999977
-0.01156,-3.92,-3.7600000000000002,-0.1599999999999997
-0.011550000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01154,-3.92,-3.68,-0.23999999999999977
-0.01153,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01152,-3.92,-3.68,-0.23999999999999977
-0.011510000000000001,-3.84,-3.68,-0.1599999999999997
-0.0115,-3.92,-3.68,-0.23999999999999977
-0.01149,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01148,-3.84,-3.68,-0.1599999999999997
-0.011470000000000001,-3.84,-3.68,-0.1599999999999997
-0.011460000000000001,-3.84,-3.68,-0.1599999999999997
-0.01145,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01144,-3.7600000000000002,-3.7600000000000002,0.0
-0.011430000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011420000000000001,-3.84,-3.68,-0.1599999999999997
-0.01141,-3.84,-3.7600000000000002,-0.07999999999999963
-0.0114,-3.92,-3.68,-0.23999999999999977
-0.01139,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011380000000000001,-3.84,-3.68,-0.1599999999999997
-0.01137,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01136,-3.84,-3.68,-0.1599999999999997
-0.01135,-3.84,-3.68,-0.1599999999999997
-0.011340000000000001,-3.84,-3.68,-0.1599999999999997
-0.01133,-3.92,-3.68,-0.23999999999999977
-0.01132,-3.84,-3.68,-0.1599999999999997
-0.01131,-3.84,-3.68,-0.1599999999999997
-0.011300000000000001,-3.92,-3.68,-0.23999999999999977
-0.011290000000000001,-3.84,-3.68,-0.1599999999999997
-0.01128,-3.84,-3.68,-0.1599999999999997
-0.01127,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011260000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011250000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01124,-3.92,-3.68,-0.23999999999999977
-0.01123,-3.84,-3.68,-0.1599999999999997
-0.01122,-3.84,-3.68,-0.1599999999999997
-0.011210000000000001,-3.84,-3.68,-0.1599999999999997
-0.0112,-3.92,-3.68,-0.23999999999999977
-0.01119,-3.92,-3.68,-0.23999999999999977
-0.01118,-3.92,-3.7600000000000002,-0.1599999999999997
-0.011170000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01116,-3.84,-3.68,-0.1599999999999997
-0.01115,-3.92,-3.68,-0.23999999999999977
-0.01114,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011130000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.011120000000000001,-3.84,-3.68,-0.1599999999999997
-0.01111,-3.92,-3.68,-0.23999999999999977
-0.0111,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011090000000000001,-3.92,-3.68,-0.23999999999999977
-0.011080000000000001,-3.84,-3.68,-0.1599999999999997
-0.01107,-3.92,-3.68,-0.23999999999999977
-0.01106,-3.92,-3.68,-0.23999999999999977
-0.01105,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011040000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01103,-3.84,-3.68,-0.1599999999999997
-0.01102,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01101,-3.84,-3.7600000000000002,-0.07999999999999963
-0.011000000000000001,-3.92,-3.68,-0.23999999999999977
-0.01099,-3.92,-3.68,-0.23999999999999977
-0.01098,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01097,-3.84,-3.7600000000000002,-0.07999999999999963
-0.010960000000000001,-3.92,-3.68,-0.23999999999999977
-0.010950000000000001,-3.92,-3.68,-0.23999999999999977
-0.01094,-3.84,-3.68,-0.1599999999999997
-0.01093,-3.84,-3.7600000000000002,-0.07999999999999963
-0.010920000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.010910000000000001,-3.84,-3.68,-0.1599999999999997
-0.0109,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01089,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01088,-3.92,-3.7600000000000002,-0.1599999999999997
-0.010870000000000001,-3.84,-3.68,-0.1599999999999997
-0.01086,-3.92,-3.68,-0.23999999999999977
-0.01085,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01084,-3.84,-3.68,-0.1599999999999997
-0.010830000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01082,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01081,-3.92,-3.7600000000000002,-0.1599999999999997
-0.0108,-3.92,-3.7600000000000002,-0.1599999999999997
-0.010790000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.010780000000000001,-3.84,-3.68,-0.1599999999999997
-0.01077,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01076,-3.7600000000000002,-3.68,-0.08000000000000007
-0.010750000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.010740000000000001,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01073,-3.92,-3.68,-0.23999999999999977
-0.01072,-3.92,-3.68,-0.23999999999999977
-0.01071,-3.84,-3.68,-0.1599999999999997
-0.010700000000000001,-3.84,-3.68,-0.1599999999999997
-0.01069,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01068,-3.84,-3.7600000000000002,-0.07999999999999963
-0.01067,-3.84,-3.68,-0.1599999999999997
-0.010660000000000001,-3.92,-3.7600000000000002,-0.1599999999999997
-0.01065,-3.92,-3.68,-0.23999999999999977
