Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.05,4.08,4.16,-0.08000000000000007
-0.049960000000000004,4.0,4.08,-0.08000000000000007
-0.049920000000000006,-3.68,3.52,-7.2
-0.04988,-3.7600000000000002,2.96,-6.720000000000001
-0.04984,-3.7600000000000002,2.4,-6.16
-0.049800000000000004,-3.68,2.0,-5.68
-0.049760000000000006,-3.7600000000000002,1.52,-5.28
-0.04972,-3.7600000000000002,1.12,-4.880000000000001
-0.04968,-3.7600000000000002,0.72,-4.48
-0.049640000000000004,-3.7600000000000002,0.4,-4.16
-0.049600000000000005,-3.7600000000000002,0.08,-3.8400000000000003
-0.04956,-3.7600000000000002,-0.16,-3.6
-0.04952,-3.7600000000000002,-0.48,-3.2800000000000002
-0.04948,-3.84,-0.72,-3.12
-0.049440000000000005,-3.7600000000000002,-0.96,-2.8000000000000003
-0.0494,-3.84,-1.12,-2.7199999999999998
-0.04936,-3.84,-1.36,-2.4799999999999995
-0.04932,-3.84,-1.52,-2.32
-0.049280000000000004,-3.84,-1.68,-2.16
-0.049240000000000006,-3.84,-1.84,-1.9999999999999998
-0.0492,-3.84,-2.0,-1.8399999999999999
-0.04916,-3.84,-2.08,-1.7599999999999998
-0.049120000000000004,-3.7600000000000002,-2.24,-1.52
-0.049080000000000006,-3.84,-2.4,-1.44
-0.04904,-3.84,-2.48,-1.3599999999999999
-0.049,-3.84,-2.56,-1.2799999999999998
-0.048960000000000004,-3.84,-2.64,-1.1999999999999997
-0.048920000000000005,-3.84,-2.72,-1.1199999999999997
-0.04888,-3.84,-2.8000000000000003,-1.0399999999999996
-0.04884,-3.84,-2.88,-0.96
-0.0488,-3.92,-2.96,-0.96
-0.048760000000000005,-3.92,-3.04,-0.8799999999999999
-0.04872,-3.84,-3.04,-0.7999999999999998
-0.04868,-3.84,-3.12,-0.7199999999999998
-0.04864,-3.84,-3.2,-0.6399999999999997
-0.048600000000000004,-3.92,-3.2,-0.7199999999999998
-0.048560000000000006,-3.92,-3.2,-0.7199999999999998
-0.04852,-3.84,-3.2800000000000002,-0.5599999999999996
-0.04848,-3.84,-3.2800000000000002,-0.5599999999999996
