Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00125,-0.32,3.18,-3.5
-0.0012490000000000001,-0.32,3.18,-3.5
-0.001248,-0.32,3.16,-3.48
-0.001247,-0.32,3.16,-3.48
-0.001246,-0.32,3.16,-3.48
-0.001245,-0.32,3.14,-3.46
-0.001244,-0.32,3.14,-3.46
-0.001243,-0.32,3.14,-3.46
-0.001242,-0.28,3.12,-3.4000000000000004
-0.0012410000000000001,-0.32,3.12,-3.44
-0.00124,-0.28,3.12,-3.4000000000000004
-0.001239,-0.28,3.1,-3.38
-0.001238,-0.28,3.1,-3.38
-0.001237,-0.28,3.08,-3.3600000000000003
-0.0012360000000000001,-0.28,3.08,-3.3600000000000003
-0.001235,-0.28,3.08,-3.3600000000000003
-0.001234,-0.32,3.06,-3.38
-0.001233,-0.28,3.06,-3.34
-0.001232,-0.28,3.04,-3.3200000000000003
-0.001231,-0.28,3.06,-3.34
-0.00123,-0.28,3.04,-3.3200000000000003
-0.001229,-0.28,3.02,-3.3
-0.001228,-0.28,3.02,-3.3
-0.001227,-0.28,3.02,-3.3
-0.001226,-0.24,3.02,-3.26
-0.001225,-0.24,3.0,-3.24
-0.001224,-0.24,3.0,-3.24
-0.0012230000000000001,-0.24,3.0,-3.24
-0.001222,-0.24,3.0,-3.24
-0.001221,-0.24,2.98,-3.2199999999999998
-0.00122,-0.2,2.96,-3.16
-0.001219,-0.2,2.98,-3.18
-0.0012180000000000001,-0.2,2.96,-3.16
-0.001217,-0.24,2.94,-3.1799999999999997
-0.001216,-0.2,2.96,-3.16
-0.001215,-0.16,2.92,-3.08
-0.001214,-0.16,2.94,-3.1
-0.001213,-0.16,2.92,-3.08
-0.001212,-0.16,2.92,-3.08
-0.001211,-0.16,2.9,-3.06
-0.0012100000000000001,-0.16,2.92,-3.08
-0.001209,-0.12,2.9,-3.02
-0.001208,-0.12,2.9,-3.02
-0.001207,-0.12,2.9,-3.02
-0.001206,-0.12,2.86,-2.98
-0.0012050000000000001,-0.08,2.88,-2.96
-0.001204,-0.12,2.88,-3.0
-0.001203,-0.08,2.86,-2.94
-0.001202,-0.08,2.86,-2.94
-0.001201,-0.08,2.86,-2.94
-0.0012000000000000001,-0.04,2.84,-2.88
-0.001199,-0.04,2.84,-2.88
-0.001198,-0.04,2.84,-2.88
-0.001197,-0.04,2.82,-2.86
-0.001196,0.0,2.84,-2.84
-0.001195,0.0,2.82,-2.82
-0.001194,0.0,2.82,-2.82
-0.001193,0.0,2.82,-2.82
-0.001192,0.0,2.8000000000000003,-2.8000000000000003
-0.001191,0.0,2.8000000000000003,-2.8000000000000003
-0.00119,0.0,2.8000000000000003,-2.8000000000000003
-0.001189,0.04,2.7800000000000002,-2.74
-0.001188,0.04,2.7800000000000002,-2.74
-0.0011870000000000001,0.04,2.8000000000000003,-2.7600000000000002
-0.001186,0.08,2.7800000000000002,-2.7
-0.001185,0.08,2.7800000000000002,-2.7
-0.001184,0.08,2.7800000000000002,-2.7
-0.001183,0.08,2.7600000000000002,-2.68
-0.001182,0.12,2.7600000000000002,-2.64
-0.001181,0.12,2.74,-2.62
-0.00118,0.12,2.74,-2.62
-0.001179,0.16,2.74,-2.58
-0.001178,0.16,2.74,-2.58
-0.001177,0.16,2.72,-2.56
-0.001176,0.16,2.72,-2.56
-0.001175,0.16,2.72,-2.56
-0.0011740000000000001,0.2,2.7,-2.5
-0.001173,0.2,2.7,-2.5
-0.001172,0.2,2.7,-2.5
-0.001171,0.24,2.7,-2.46
-0.00117,0.24,2.7,-2.46
-0.0011690000000000001,0.28,2.7,-2.42
-0.001168,0.28,2.66,-2.38
-0.001167,0.28,2.66,-2.38
-0.001166,0.32,2.66,-2.3400000000000003
-0.001165,0.32,2.68,-2.3600000000000003
-0.001164,0.32,2.66,-2.3400000000000003
-0.001163,0.36,2.64,-2.2800000000000002
-0.001162,0.36,2.64,-2.2800000000000002
-0.0011610000000000001,0.36,2.64,-2.2800000000000002
-0.00116,0.4,2.64,-2.24
-0.001159,0.4,2.64,-2.24
-0.001158,0.4,2.64,-2.24
-0.001157,0.44,2.62,-2.18
-0.0011560000000000001,0.44,2.64,-2.2
-0.001155,0.44,2.62,-2.18
-0.001154,0.44,2.62,-2.18
-0.001153,0.48,2.62,-2.14
-0.001152,0.48,2.62,-2.14
-0.0011510000000000001,0.52,2.6,-2.08
-0.00115,0.52,2.6,-2.08
-0.001149,0.52,2.6,-2.08
-0.001148,0.56,2.58,-2.02
-0.001147,0.56,2.6,-2.04
-0.001146,0.56,2.58,-2.02
-0.001145,0.6,2.58,-1.98
-0.001144,0.6,2.58,-1.98
-0.001143,0.64,2.56,-1.92
-0.001142,0.64,2.56,-1.92
-0.001141,0.68,2.58,-1.9
-0.00114,0.68,2.58,-1.9
-0.001139,0.68,2.56,-1.88
-0.0011380000000000001,0.72,2.56,-1.84
-0.001137,0.76,2.54,-1.78
-0.001136,0.72,2.54,-1.82
-0.001135,0.76,2.54,-1.78
-0.001134,0.8,2.54,-1.74
-0.0011330000000000001,0.8,2.56,-1.76
-0.001132,0.84,2.54,-1.7000000000000002
-0.001131,0.84,2.54,-1.7000000000000002
-0.00113,0.84,2.52,-1.6800000000000002
-0.001129,0.88,2.52,-1.6400000000000001
-0.001128,0.88,2.5,-1.62
-0.001127,0.92,2.5,-1.58
-0.001126,0.92,2.52,-1.6
-0.0011250000000000001,0.96,2.5,-1.54
-0.001124,0.96,2.5,-1.54
-0.001123,1.0,2.52,-1.52
-0.001122,1.04,2.5,-1.46
-0.001121,1.04,2.5,-1.46
-0.0011200000000000001,1.04,2.5,-1.46
-0.001119,1.08,2.5,-1.42
-0.001118,1.04,2.48,-1.44
-0.001117,1.08,2.48,-1.4
-0.001116,1.12,2.48,-1.3599999999999999
-0.001115,1.12,2.46,-1.3399999999999999
-0.001114,1.16,2.48,-1.32
-0.001113,1.16,2.48,-1.32
-0.0011120000000000001,1.2,2.5,-1.3
-0.001111,1.2,2.46,-1.26
-0.00111,1.2,2.48,-1.28
-0.001109,1.24,2.46,-1.22
-0.001108,1.24,2.48,-1.24
-0.001107,1.28,2.46,-1.18
-0.001106,1.32,2.46,-1.14
-0.001105,1.32,2.46,-1.14
-0.001104,1.36,2.46,-1.0999999999999999
-0.001103,1.36,2.46,-1.0999999999999999
-0.0011020000000000001,1.36,2.46,-1.0999999999999999
-0.001101,1.4000000000000001,2.46,-1.0599999999999998
-0.0011,1.4000000000000001,2.46,-1.0599999999999998
-0.0010990000000000002,1.44,2.44,-1.0
-0.001098,1.48,2.46,-0.98
-0.001097,1.48,2.44,-0.96
-0.001096,1.48,2.44,-0.96
-0.001095,1.56,2.46,-0.8999999999999999
-0.001094,1.56,2.46,-0.8999999999999999
-0.001093,1.56,2.42,-0.8599999999999999
-0.001092,1.6,2.42,-0.8199999999999998
-0.001091,1.6,2.44,-0.8399999999999999
-0.00109,1.6400000000000001,2.44,-0.7999999999999998
-0.0010890000000000001,1.6400000000000001,2.42,-0.7799999999999998
-0.001088,1.68,2.44,-0.76
-0.001087,1.68,2.42,-0.74
-0.001086,1.72,2.42,-0.7
-0.001085,1.72,2.42,-0.7
-0.0010840000000000001,1.76,2.42,-0.6599999999999999
-0.001083,1.76,2.42,-0.6599999999999999
-0.001082,1.8,2.44,-0.6399999999999999
-0.001081,1.8,2.42,-0.6199999999999999
-0.00108,1.84,2.42,-0.5799999999999998
-0.001079,1.8800000000000001,2.42,-0.5399999999999998
-0.001078,1.8800000000000001,2.42,-0.5399999999999998
-0.001077,1.92,2.42,-0.5
-0.0010760000000000001,1.92,2.42,-0.5
-0.001075,1.96,2.42,-0.45999999999999996
-0.001074,1.96,2.42,-0.45999999999999996
-0.001073,1.96,2.42,-0.45999999999999996
-0.001072,2.04,2.42,-0.3799999999999999
-0.0010710000000000001,2.04,2.42,-0.3799999999999999
-0.00107,2.04,2.4,-0.3599999999999999
-0.001069,2.08,2.42,-0.33999999999999986
-0.001068,2.12,2.4,-0.2799999999999998
-0.001067,2.16,2.42,-0.2599999999999998
-0.001066,2.16,2.42,-0.2599999999999998
-0.001065,2.2,2.4,-0.19999999999999973
-0.001064,2.24,2.4,-0.1599999999999997
-0.0010630000000000001,2.24,2.4,-0.1599999999999997
-0.001062,2.24,2.4,-0.1599999999999997
-0.001061,2.2800000000000002,2.4,-0.11999999999999966
-0.00106,2.2800000000000002,2.42,-0.13999999999999968
-0.001059,2.32,2.4,-0.08000000000000007
-0.001058,2.36,2.42,-0.06000000000000005
-0.001057,2.4,2.4,0.0
-0.001056,2.4,2.4,0.0
-0.001055,2.4,2.4,0.0
-0.001054,2.44,2.42,0.020000000000000018
-0.0010530000000000001,2.48,2.4,0.08000000000000007
-0.001052,2.48,2.42,0.06000000000000005
-0.001051,2.52,2.42,0.10000000000000009
-0.0010500000000000002,2.52,2.42,0.10000000000000009
-0.001049,2.56,2.4,0.16000000000000014
-0.001048,2.56,2.42,0.14000000000000012
-0.001047,2.64,2.42,0.2200000000000002
-0.001046,2.6,2.4,0.20000000000000018
