Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-1.25e-05,-3.6,-1.24,-2.3600000000000003
-1.249e-05,-3.6,-1.24,-2.3600000000000003
-1.248e-05,-3.8000000000000003,-1.22,-2.58
-1.2470000000000001e-05,-4.0,-1.2,-2.8
-1.2460000000000001e-05,-4.0,-1.2,-2.8
-1.2450000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.2440000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.2430000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.2420000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.241e-05,-4.0,-1.22,-2.7800000000000002
-1.24e-05,-3.8000000000000003,-1.22,-2.58
-1.239e-05,-3.8000000000000003,-1.22,-2.58
-1.238e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.237e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.236e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.235e-05,-3.8000000000000003,-1.22,-2.58
-1.234e-05,-4.2,-1.2,-3.0
-1.233e-05,-4.0,-1.2,-2.8
-1.232e-05,-4.0,-1.24,-2.76
-1.231e-05,-4.0,-1.22,-2.7800000000000002
-1.23e-05,-4.0,-1.24,-2.76
-1.2290000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.2280000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.2270000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.2260000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.2250000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.2240000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.223e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.222e-05,-4.0,-1.2,-2.8
-1.221e-05,-4.0,-1.2,-2.8
-1.22e-05,-4.2,-1.2,-3.0
-1.219e-05,-3.8000000000000003,-1.22,-2.58
-1.218e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.217e-05,-3.8000000000000003,-1.22,-2.58
-1.216e-05,-4.0,-1.22,-2.7800000000000002
-1.215e-05,-3.8000000000000003,-1.22,-2.58
-1.214e-05,-3.8000000000000003,-1.22,-2.58
-1.213e-05,-4.0,-1.18,-2.8200000000000003
-1.2120000000000001e-05,-3.6,-1.22,-2.38
-1.2110000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.2100000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.2090000000000001e-05,-4.0,-1.2,-2.8
-1.2080000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.2070000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.206e-05,-4.0,-1.24,-2.76
-1.205e-05,-4.0,-1.22,-2.7800000000000002
-1.204e-05,-4.0,-1.22,-2.7800000000000002
-1.203e-05,-4.0,-1.2,-2.8
-1.202e-05,-3.6,-1.2,-2.4000000000000004
-1.201e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.2e-05,-4.0,-1.2,-2.8
-1.199e-05,-4.2,-1.22,-2.9800000000000004
-1.198e-05,-3.6,-1.2,-2.4000000000000004
-1.197e-05,-4.0,-1.2,-2.8
-1.196e-05,-4.0,-1.24,-2.76
-1.195e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1940000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1930000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1920000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1910000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1900000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1890000000000001e-05,-4.0,-1.2,-2.8
-1.1880000000000001e-05,-4.0,-1.2,-2.8
-1.187e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.186e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.185e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.184e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.183e-05,-4.0,-1.2,-2.8
-1.182e-05,-3.6,-1.18,-2.42
-1.181e-05,-4.0,-1.22,-2.7800000000000002
-1.18e-05,-3.8000000000000003,-1.22,-2.58
-1.179e-05,-3.6,-1.2,-2.4000000000000004
-1.178e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.177e-05,-3.6,-1.22,-2.38
-1.1760000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.1750000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1740000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.1730000000000001e-05,-4.0,-1.2,-2.8
-1.1720000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1710000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.17e-05,-3.6,-1.24,-2.3600000000000003
-1.169e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.168e-05,-4.2,-1.2,-3.0
-1.167e-05,-3.6,-1.22,-2.38
-1.166e-05,-4.0,-1.2,-2.8
-1.165e-05,-3.6,-1.2,-2.4000000000000004
-1.164e-05,-3.8000000000000003,-1.22,-2.58
-1.163e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.162e-05,-3.8000000000000003,-1.18,-2.62
-1.161e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.16e-05,-3.6,-1.2,-2.4000000000000004
-1.159e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1580000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1570000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1560000000000001e-05,-3.6,-1.2,-2.4000000000000004
-1.1550000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1540000000000001e-05,-3.6,-1.2,-2.4000000000000004
-1.153e-05,-4.0,-1.2,-2.8
-1.1520000000000002e-05,-4.0,-1.22,-2.7800000000000002
-1.151e-05,-3.6,-1.2,-2.4000000000000004
-1.15e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.149e-05,-3.6,-1.22,-2.38
-1.148e-05,-4.0,-1.18,-2.8200000000000003
-1.147e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.146e-05,-3.8000000000000003,-1.22,-2.58
-1.145e-05,-3.6,-1.18,-2.42
-1.144e-05,-4.0,-1.2,-2.8
-1.143e-05,-4.0,-1.22,-2.7800000000000002
-1.142e-05,-4.2,-1.2,-3.0
-1.1410000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1400000000000001e-05,-4.0,-1.24,-2.76
-1.1390000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1380000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1370000000000001e-05,-3.6,-1.22,-2.38
-1.136e-05,-4.0,-1.22,-2.7800000000000002
-1.1350000000000001e-05,-4.0,-1.2,-2.8
-1.134e-05,-4.0,-1.22,-2.7800000000000002
-1.133e-05,-4.0,-1.22,-2.7800000000000002
-1.132e-05,-3.8000000000000003,-1.22,-2.58
-1.131e-05,-3.8000000000000003,-1.22,-2.58
-1.13e-05,-3.8000000000000003,-1.22,-2.58
-1.129e-05,-4.0,-1.2,-2.8
-1.128e-05,-4.0,-1.2,-2.8
-1.127e-05,-4.0,-1.22,-2.7800000000000002
-1.126e-05,-3.8000000000000003,-1.22,-2.58
-1.125e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.124e-05,-3.6,-1.22,-2.38
-1.1230000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.1220000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.1210000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1200000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1190000000000001e-05,-4.0,-1.2,-2.8
-1.1180000000000001e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.117e-05,-4.2,-1.22,-2.9800000000000004
-1.116e-05,-4.0,-1.2,-2.8
-1.115e-05,-4.0,-1.24,-2.76
-1.114e-05,-4.0,-1.18,-2.8200000000000003
-1.113e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.112e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.111e-05,-3.8000000000000003,-1.22,-2.58
-1.11e-05,-4.0,-1.2,-2.8
-1.109e-05,-4.0,-1.2,-2.8
-1.108e-05,-3.6,-1.2,-2.4000000000000004
-1.107e-05,-4.0,-1.24,-2.76
-1.106e-05,-4.0,-1.24,-2.76
-1.1050000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1040000000000001e-05,-4.0,-1.22,-2.7800000000000002
-1.1030000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1020000000000001e-05,-3.6,-1.24,-2.3600000000000003
-1.1010000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.1e-05,-3.8000000000000003,-1.22,-2.58
-1.0990000000000002e-05,-3.6,-1.2,-2.4000000000000004
-1.098e-05,-3.8000000000000003,-1.24,-2.5600000000000005
-1.097e-05,-4.2,-1.22,-2.9800000000000004
-1.096e-05,-4.0,-1.24,-2.76
-1.095e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.094e-05,-3.6,-1.2,-2.4000000000000004
-1.093e-05,-3.8000000000000003,-1.22,-2.58
-1.092e-05,-4.0,-1.22,-2.7800000000000002
-1.091e-05,-3.8000000000000003,-1.22,-2.58
-1.09e-05,-3.8000000000000003,-1.2,-2.6000000000000005
-1.089e-05,-4.0,-1.2,-2.8
-1.0880000000000001e-05,-3.8000000000000003,-1.18,-2.62
-1.0870000000000001e-05,-3.6,-1.22,-2.38
-1.0860000000000001e-05,-3.8000000000000003,-1.22,-2.58
-1.0850000000000001e-05,-3.8000000000000003,-1.22,-2.58
