Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0125,-3.8000000000000003,-1.18,-2.62
-0.012490000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.012480000000000002,-3.8000000000000003,-1.18,-2.62
-0.01247,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01246,-3.8000000000000003,-1.18,-2.62
-0.012450000000000001,-3.8000000000000003,-1.18,-2.62
-0.012440000000000001,-3.8000000000000003,-1.18,-2.62
-0.01243,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01242,-3.8000000000000003,-1.18,-2.62
-0.012410000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.012400000000000001,-3.8000000000000003,-1.18,-2.62
-0.01239,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01238,-3.8000000000000003,-1.18,-2.62
-0.01237,-3.8000000000000003,-1.18,-2.62
-0.012360000000000001,-3.8000000000000003,-1.18,-2.62
-0.01235,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01234,-3.8000000000000003,-1.18,-2.62
-0.01233,-3.8000000000000003,-1.18,-2.62
-0.012320000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.012310000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.0123,-3.8000000000000003,-1.18,-2.62
-0.01229,-3.8000000000000003,-1.16,-2.6400000000000006
-0.012280000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.012270000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01226,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01225,-3.8000000000000003,-1.18,-2.62
-0.012240000000000001,-3.8000000000000003,-1.18,-2.62
-0.012230000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01222,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01221,-3.8000000000000003,-1.18,-2.62
-0.0122,-3.8000000000000003,-1.18,-2.62
-0.012190000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01218,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01217,-3.8000000000000003,-1.18,-2.62
-0.01216,-3.6,-1.16,-2.4400000000000004
-0.012150000000000001,-3.8000000000000003,-1.18,-2.62
-0.012140000000000001,-3.8000000000000003,-1.18,-2.62
-0.01213,-3.8000000000000003,-1.18,-2.62
-0.01212,-3.8000000000000003,-1.18,-2.62
-0.012110000000000001,-3.8000000000000003,-1.18,-2.62
-0.012100000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01209,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01208,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01207,-3.8000000000000003,-1.18,-2.62
-0.012060000000000001,-3.8000000000000003,-1.18,-2.62
-0.01205,-3.8000000000000003,-1.18,-2.62
-0.01204,-3.8000000000000003,-1.18,-2.62
-0.01203,-3.6,-1.18,-2.42
-0.012020000000000001,-3.8000000000000003,-1.18,-2.62
-0.01201,-3.8000000000000003,-1.18,-2.62
-0.012,-3.8000000000000003,-1.18,-2.62
-0.01199,-3.8000000000000003,-1.18,-2.62
-0.011980000000000001,-3.8000000000000003,-1.18,-2.62
-0.011970000000000001,-3.8000000000000003,-1.18,-2.62
-0.01196,-3.8000000000000003,-1.18,-2.62
-0.01195,-3.8000000000000003,-1.16,-2.6400000000000006
-0.011940000000000001,-3.8000000000000003,-1.18,-2.62
-0.011930000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01192,-3.8000000000000003,-1.18,-2.62
-0.01191,-3.8000000000000003,-1.18,-2.62
-0.0119,-3.8000000000000003,-1.18,-2.62
-0.011890000000000001,-3.8000000000000003,-1.18,-2.62
-0.01188,-3.8000000000000003,-1.18,-2.62
-0.01187,-3.8000000000000003,-1.18,-2.62
-0.01186,-3.8000000000000003,-1.18,-2.62
-0.011850000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01184,-3.8000000000000003,-1.18,-2.62
-0.01183,-3.8000000000000003,-1.18,-2.62
-0.01182,-3.8000000000000003,-1.16,-2.6400000000000006
-0.011810000000000001,-3.8000000000000003,-1.18,-2.62
-0.011800000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01179,-3.8000000000000003,-1.18,-2.62
-0.01178,-3.8000000000000003,-1.18,-2.62
-0.011770000000000001,-3.8000000000000003,-1.18,-2.62
-0.011760000000000001,-3.8000000000000003,-1.18,-2.62
-0.01175,-3.8000000000000003,-1.18,-2.62
-0.01174,-3.8000000000000003,-1.18,-2.62
-0.01173,-3.8000000000000003,-1.18,-2.62
-0.011720000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01171,-3.8000000000000003,-1.16,-2.6400000000000006
-0.0117,-3.8000000000000003,-1.18,-2.62
-0.01169,-3.8000000000000003,-1.18,-2.62
-0.011680000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01167,-3.8000000000000003,-1.18,-2.62
-0.01166,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01165,-3.8000000000000003,-1.18,-2.62
-0.011640000000000001,-3.8000000000000003,-1.18,-2.62
-0.011630000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01162,-3.8000000000000003,-1.18,-2.62
-0.01161,-3.8000000000000003,-1.16,-2.6400000000000006
-0.011600000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.011590000000000001,-3.8000000000000003,-1.16,-2.6400000000000006
-0.01158,-3.8000000000000003,-1.18,-2.62
-0.01157,-3.8000000000000003,-1.18,-2.62
-0.01156,-3.8000000000000003,-1.18,-2.62
