Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-2.5e-06,4.0,1.24,2.76
-2.498e-06,4.0,1.24,2.76
-2.4960000000000003e-06,4.0,1.28,2.7199999999999998
-2.494e-06,4.0,1.24,2.76
-2.492e-06,3.92,1.24,2.6799999999999997
-2.4900000000000003e-06,3.92,1.28,2.6399999999999997
-2.488e-06,3.68,1.2,2.4800000000000004
-2.486e-06,2.96,1.16,1.8
-2.4840000000000003e-06,1.36,1.12,0.24
-2.482e-06,-0.16,1.12,-1.28
-2.4800000000000004e-06,-1.76,1.04,-2.8
-2.4780000000000002e-06,-3.04,0.92,-3.96
-2.476e-06,-4.08,0.88,-4.96
-2.4740000000000004e-06,-4.8,0.76,-5.56
-2.4720000000000002e-06,-5.28,0.72,-6.0
-2.47e-06,-5.36,0.6,-5.96
-2.4680000000000003e-06,-5.44,0.6,-6.04
-2.466e-06,-5.28,0.48,-5.76
-2.464e-06,-5.04,0.4,-5.44
-2.4620000000000003e-06,-4.72,0.36,-5.08
-2.46e-06,-4.4,0.28,-4.680000000000001
-2.458e-06,-4.16,0.28,-4.44
-2.4560000000000003e-06,-3.84,0.24,-4.08
-2.454e-06,-3.7600000000000002,0.12,-3.8800000000000003
-2.4520000000000004e-06,-3.6,0.08,-3.68
-2.4500000000000003e-06,-3.52,0.04,-3.56
-2.448e-06,-3.44,0.04,-3.48
-2.4460000000000004e-06,-3.6,-0.04,-3.56
-2.4440000000000002e-06,-3.6,-0.04,-3.56
-2.442e-06,-3.7600000000000002,-0.12,-3.64
-2.4400000000000004e-06,-3.84,-0.12,-3.7199999999999998
-2.438e-06,-3.7600000000000002,-0.16,-3.6
-2.436e-06,-3.92,-0.16,-3.76
-2.4340000000000003e-06,-3.84,-0.24,-3.5999999999999996
-2.432e-06,-3.92,-0.28,-3.6399999999999997
-2.43e-06,-3.92,-0.28,-3.6399999999999997
-2.4280000000000003e-06,-3.92,-0.36,-3.56
-2.426e-06,-3.92,-0.36,-3.56
-2.424e-06,-3.84,-0.44,-3.4
-2.4220000000000003e-06,-3.92,-0.4,-3.52
-2.42e-06,-3.92,-0.44,-3.48
-2.4180000000000004e-06,-3.92,-0.48,-3.44
-2.4160000000000002e-06,-3.84,-0.48,-3.36
-2.414e-06,-3.84,-0.52,-3.32
-2.4120000000000004e-06,-4.0,-0.52,-3.48
-2.4100000000000002e-06,-3.92,-0.56,-3.36
-2.408e-06,-3.84,-0.64,-3.1999999999999997
-2.4060000000000003e-06,-3.84,-0.64,-3.1999999999999997
-2.404e-06,-3.84,-0.64,-3.1999999999999997
-2.402e-06,-3.92,-0.64,-3.28
-2.4000000000000003e-06,-3.84,-0.68,-3.1599999999999997
-2.398e-06,-4.0,-0.68,-3.32
-2.396e-06,-3.92,-0.68,-3.2399999999999998
-2.3940000000000003e-06,-3.84,-0.72,-3.12
-2.392e-06,-3.92,-0.76,-3.16
-2.39e-06,-3.92,-0.76,-3.16
-2.3880000000000003e-06,-3.84,-0.8,-3.04
-2.386e-06,-3.92,-0.76,-3.16
-2.3840000000000004e-06,-3.92,-0.8,-3.12
-2.3820000000000002e-06,-3.92,-0.84,-3.08
-2.38e-06,-3.92,-0.84,-3.08
-2.3780000000000004e-06,-3.92,-0.88,-3.04
-2.376e-06,-3.92,-0.84,-3.08
-2.374e-06,-3.92,-0.88,-3.04
-2.3720000000000003e-06,-3.84,-0.88,-2.96
-2.37e-06,-3.84,-0.92,-2.92
-2.368e-06,-3.84,-0.92,-2.92
