frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.6682584286,6.5378437042,-27.3600025177,3.176502633849164,5.0194921977380975
22.758459260747887,6.8116641045,1.8708289862,-0.98450315,0.07543306118001425,-11.22438267643828
51.794746792312125,7.846016407,7.7365951538,-3.7305698395,0.9723023128616267,-0.12198681170016719
117.87686347935866,7.8695645332,7.7127876282,-9.7641515732,0.9605530254770936,-0.17478655751310296
268.2695795279727,7.8453497887,7.3568153381,-20.8360137939,0.8793364725550084,-0.5584491307995578
610.5402296585327,7.7246513367,5.8491234779,-40.879119873,0.5733552680460539,-2.415761927961687
1389.4954943731375,7.0353755951,1.8887122869,-63.5883140564,0.07207041707963596,-11.422429646221135
3162.2776601683795,3.3582584858,0.1732857674,-76.4885482788,0.002662548615473589,-25.74702453698123
7196.856730011521,4.8305797577,0.0778451189,-85.072052002,0.0002596954007999823,-35.85535741648617
16378.937069540647,2.7177805901,0.1092820019,-85.3106765747,0.0016168454129843262,-27.91331501118483
37275.93720314938,2.7871742249,0.0563426428,-89.1940307617,0.0004086450042514725,-33.88653806030096
84834.28982440726,1.4302896261,0.0295309201,-90.1904373169,0.0004262908193281602,-33.70294020292238
193069.77288832495,5.1487503052,0.0180648006,108.5314712524,1.2310131237048265e-05,-49.09737317075014
439397.0560760795,4.1951603889,0.0048800004,-82.7112731934,1.3531395142118296e-06,-58.68657423558559
1000000.0,3.1645600796,0.00208,,4.3201614719505525e-07,-63.64500020530792
