frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,6.517665863,6.2168593407,-18.3600006104,0.9098250683131512,-0.41042101271631615
22.758459260747887,7.5340371132,6.0843577385,-34.7540969849,0.6521897540368118,-1.8562602828416694
51.794746792312125,7.694879055,4.0186433792,-57.8238334656,0.27274408418823864,-5.642446604729541
117.87686347935866,7.7185525894,2.0155017376,-75.0530014038,0.06818590652432167,-11.66305381226599
268.2695795279727,7.7425956726,0.9074066281,-83.1364135742,0.013735065456665557,-18.6216926653822
610.5402296585327,7.7664160728,0.4014567435,-86.5934066772,0.0026719984873321695,-25.73163792058572
1389.4954943731375,7.7422261238,0.1778792441,-89.0,0.0005278601145248102,-32.774811523506216
3162.2776601683795,7.8107357025,0.0799562335,-88.7484283447,0.00010479022435517732,-39.79679229820082
7196.856730011521,7.8840451241,0.035883639,-89.2365112305,2.0715468284870825e-05,-46.837052447824554
16378.937069540647,7.8588738441,0.0159692019,-88.230682373,4.129008614995471e-06,-53.84154210987954
37275.93720314938,7.7863335609,0.00752,-82.3546981812,9.327594805552232e-07,-60.30230328101237
84834.28982440726,7.7617797852,0.00376,-74.4406814575,2.3466755909980434e-07,-66.29546943966541
193069.77288832495,7.8334269524,0.0018399999,-29.1441707611,5.517368650986678e-08,-72.58267997057234
439397.0560760795,7.8575296402,0.0012000001,,2.3323327393972988e-08,-76.32209491401994
1000000.0,7.8333506584,0.0021599999,83.6291122437,7.603478564310497e-08,-71.18987674080066
