Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0005,-1.1400000000000001,0.0228,-1.1628
-0.0004996,-1.16,0.0228,-1.1827999999999999
-0.0004992,-1.18,0.0216,-1.2016
-0.0004988,-1.18,0.022000000000000002,-1.202
-0.0004984,-1.2,0.0332,-1.2331999999999999
-0.000498,-1.22,0.0224,-1.2424
-0.0004976000000000001,-1.28,0.0216,-1.3016
-0.0004972,-1.26,0.023200000000000002,-1.2832000000000001
-0.0004968,-1.32,0.024800000000000003,-1.3448
-0.0004964,-1.32,0.023200000000000002,-1.3432000000000002
-0.000496,-1.32,0.0184,-1.3384
-0.0004956,-1.32,0.0224,-1.3424
-0.0004952,-1.3800000000000001,0.0224,-1.4024
-0.0004948,-1.36,0.0224,-1.3824
-0.0004944,-1.4000000000000001,0.0184,-1.4184
-0.000494,-1.42,0.0204,-1.4404
-0.0004936,-1.46,0.0204,-1.4804
-0.0004932000000000001,-1.44,0.0188,-1.4587999999999999
-0.0004928,-1.46,0.0188,-1.4788
-0.0004924,-1.46,0.02,-1.48
-0.000492,-1.54,0.0176,-1.5576
-0.0004916,-1.52,0.0172,-1.5372000000000001
-0.0004912,-1.52,0.0172,-1.5372000000000001
-0.0004908,-1.56,0.016800000000000002,-1.5768
-0.0004904,-1.58,0.0172,-1.5972000000000002
-0.00049,-1.6,0.016800000000000002,-1.6168
-0.0004896,-1.62,0.0152,-1.6352000000000002
-0.0004892,-1.6,0.0184,-1.6184
-0.0004888000000000001,-1.62,0.0176,-1.6376000000000002
-0.0004884,-1.6600000000000001,0.010400000000000001,-1.6704
-0.000488,-1.6400000000000001,0.0184,-1.6584
-0.00048760000000000003,-1.6400000000000001,0.0172,-1.6572000000000002
-0.0004872,-1.6600000000000001,0.0176,-1.6776000000000002
-0.0004868,-1.7,0.0176,-1.7176
-0.0004864,-1.7,0.016,-1.716
-0.000486,-1.7,0.0152,-1.7152
-0.0004856,-1.74,0.0176,-1.7576
-0.00048520000000000003,-1.76,0.014400000000000001,-1.7744
-0.0004848,-1.74,0.014400000000000001,-1.7544
-0.0004844,-1.74,0.0132,-1.7532
-0.000484,-1.78,0.018000000000000002,-1.798
-0.0004836,-1.78,0.0132,-1.7932000000000001
-0.00048320000000000004,-1.76,0.0108,-1.7708
-0.0004828,-1.82,0.0128,-1.8328
-0.0004824,-1.82,0.01,-1.83
-0.000482,-1.84,0.012,-1.852
-0.0004816,-1.84,0.011600000000000001,-1.8516000000000001
-0.0004812,-1.86,0.0188,-1.8788
-0.00048080000000000003,-1.82,0.0092,-1.8292000000000002
-0.0004804,-1.86,0.011600000000000001,-1.8716000000000002
-0.00048,-1.84,0.011600000000000001,-1.8516000000000001
-0.0004796,-1.92,0.01,-1.93
-0.0004792,-1.8800000000000001,0.0088,-1.8888
-0.00047880000000000004,-1.8800000000000001,0.0092,-1.8892000000000002
-0.00047840000000000003,-1.9000000000000001,0.008,-1.9080000000000001
-0.000478,-1.9000000000000001,0.009600000000000001,-1.9096000000000002
-0.0004776,-1.9000000000000001,0.005200000000000001,-1.9052000000000002
-0.0004772,-1.92,0.0028,-1.9227999999999998
-0.0004768,-1.92,0.0088,-1.9287999999999998
-0.00047640000000000003,-1.92,0.0028,-1.9227999999999998
-0.000476,-1.96,0.0064,-1.9664
-0.0004756,-1.94,0.006,-1.946
-0.0004752,-1.96,0.0044,-1.9644
-0.0004748,-1.92,0.005200000000000001,-1.9252
-0.00047440000000000004,-1.98,0.0048000000000000004,-1.9848
-0.00047400000000000003,-1.96,0.0032,-1.9632
-0.0004736,-2.0,0.0032,-2.0032
-0.0004732,-1.94,0.0068000000000000005,-1.9467999999999999
-0.0004728,-1.96,0.0044,-1.9644
-0.0004724,-1.96,0.004,-1.964
-0.00047200000000000003,-1.98,0.0064,-1.9864
-0.0004716,-1.96,0.0036000000000000003,-1.9636
-0.0004712,-1.98,0.007200000000000001,-1.9872
-0.0004708,-2.0,0.0048000000000000004,-2.0048
-0.0004704,-1.98,0.0004,-1.9804
-0.00047000000000000004,-1.96,-0.0004,-1.9596
-0.00046960000000000003,-2.0,0.0012000000000000001,-2.0012
-0.0004692,-2.0,0.002,-2.002
-0.0004688,-1.96,-0.0004,-1.9596
-0.0004684,-1.98,0.0004,-1.9804
-0.000468,-2.0,-0.002,-1.998
-0.0004676,-1.96,-0.0024000000000000002,-1.9576
-0.0004672,-2.0,0.002,-2.002
-0.0004668,-1.98,0.0024000000000000002,-1.9824
-0.0004664,-2.0,-0.0024000000000000002,-1.9976
-0.000466,-1.98,-0.002,-1.978
-0.00046560000000000004,-1.98,-0.0028,-1.9772
-0.00046520000000000003,-1.98,-0.0044,-1.9756
-0.0004648,-2.0,0.0,-2.0
-0.0004644,-2.0,-0.0004,-1.9996
-0.000464,-1.98,-0.005200000000000001,-1.9747999999999999
-0.0004636,-1.96,-0.0004,-1.9596
-0.0004632,-1.98,-0.0056,-1.9744
-0.00046280000000000003,-1.96,-0.008400000000000001,-1.9516
-0.0004624,-1.96,-0.007200000000000001,-1.9527999999999999
-0.000462,-1.98,-0.0044,-1.9756
-0.0004616,-1.96,-0.0068000000000000005,-1.9532
-0.0004612,-1.96,-0.0056,-1.9544
-0.00046080000000000003,-1.94,-0.006,-1.934
-0.0004604,-1.94,-0.009600000000000001,-1.9304
-0.00046,-1.94,-0.0064,-1.9336
-0.0004596,-1.92,-0.010400000000000001,-1.9096
-0.0004592,-1.92,-0.0076,-1.9123999999999999
-0.0004588,-1.92,-0.007200000000000001,-1.9127999999999998
-0.00045840000000000003,-1.8800000000000001,-0.008,-1.872
-0.000458,-1.9000000000000001,-0.0092,-1.8908
-0.0004576,-1.86,-0.0076,-1.8524
-0.0004572,-1.9000000000000001,-0.0132,-1.8868
-0.0004568,-1.86,-0.012400000000000001,-1.8476000000000001
-0.00045640000000000003,-1.9000000000000001,-0.012,-1.8880000000000001
-0.000456,-1.86,-0.0088,-1.8512000000000002
-0.0004556,-1.86,-0.009600000000000001,-1.8504
-0.0004552,-1.82,-0.0112,-1.8088
-0.0004548,-1.84,-0.01,-1.83
-0.0004544,-1.82,-0.009600000000000001,-1.8104
-0.00045400000000000003,-1.82,-0.013600000000000001,-1.8064
-0.0004536,-1.78,-0.012400000000000001,-1.7676
-0.0004532,-1.82,-0.0108,-1.8092000000000001
-0.0004528,-1.74,-0.012400000000000001,-1.7276
-0.0004524,-1.8,-0.014,-1.786
-0.00045200000000000004,-1.74,-0.008400000000000001,-1.7316
-0.0004516,-1.74,-0.0148,-1.7252
-0.0004512,-1.74,-0.011600000000000001,-1.7284
-0.0004508,-1.7,-0.0224,-1.6776
-0.0004504,-1.7,-0.0152,-1.6847999999999999
-0.00045,-1.68,-0.0132,-1.6667999999999998
-0.00044960000000000003,-1.68,-0.014,-1.666
-0.0004492,-1.68,-0.016,-1.664
-0.0004488,-1.6600000000000001,-0.015600000000000001,-1.6444
-0.0004484,-1.6400000000000001,-0.015600000000000001,-1.6244
-0.000448,-1.6,-0.0176,-1.5824
