Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0125,-1.96,-1.78,-0.17999999999999994
-0.012490000000000001,-1.96,-1.82,-0.1399999999999999
-0.012480000000000002,-1.96,-1.8,-0.15999999999999992
-0.01247,-1.96,-1.8,-0.15999999999999992
-0.01246,-1.96,-1.82,-0.1399999999999999
-0.012450000000000001,-1.96,-1.82,-0.1399999999999999
-0.012440000000000001,-1.96,-1.82,-0.1399999999999999
-0.01243,-1.96,-1.82,-0.1399999999999999
-0.01242,-1.96,-1.82,-0.1399999999999999
-0.012410000000000001,-1.96,-1.84,-0.11999999999999988
-0.012400000000000001,-1.96,-1.84,-0.11999999999999988
-0.01239,-1.96,-1.82,-0.1399999999999999
-0.01238,-1.96,-1.84,-0.11999999999999988
-0.01237,-1.96,-1.82,-0.1399999999999999
-0.012360000000000001,-1.96,-1.84,-0.11999999999999988
-0.01235,-1.96,-1.84,-0.11999999999999988
-0.01234,-1.96,-1.84,-0.11999999999999988
-0.01233,-1.96,-1.84,-0.11999999999999988
-0.012320000000000001,-1.94,-1.82,-0.11999999999999988
-0.012310000000000001,-1.96,-1.84,-0.11999999999999988
-0.0123,-1.94,-1.84,-0.09999999999999987
-0.01229,-1.94,-1.84,-0.09999999999999987
-0.012280000000000001,-1.92,-1.84,-0.07999999999999985
-0.012270000000000001,-1.94,-1.86,-0.07999999999999985
-0.01226,-1.94,-1.86,-0.07999999999999985
-0.01225,-1.94,-1.84,-0.09999999999999987
-0.012240000000000001,-1.92,-1.86,-0.05999999999999983
-0.012230000000000001,-1.94,-1.86,-0.07999999999999985
-0.01222,-1.92,-1.86,-0.05999999999999983
-0.01221,-1.92,-1.86,-0.05999999999999983
-0.0122,-1.9000000000000001,-1.86,-0.040000000000000036
-0.012190000000000001,-1.92,-1.86,-0.05999999999999983
-0.01218,-1.92,-1.86,-0.05999999999999983
-0.01217,-1.92,-1.86,-0.05999999999999983
-0.01216,-1.9000000000000001,-1.86,-0.040000000000000036
-0.012150000000000001,-1.92,-1.86,-0.05999999999999983
-0.012140000000000001,-1.9000000000000001,-1.8800000000000001,-0.020000000000000018
-0.01213,-1.9000000000000001,-1.86,-0.040000000000000036
-0.01212,-1.9000000000000001,-1.86,-0.040000000000000036
-0.012110000000000001,-1.9000000000000001,-1.86,-0.040000000000000036
-0.012100000000000001,-1.8800000000000001,-1.86,-0.020000000000000018
-0.01209,-1.9000000000000001,-1.86,-0.040000000000000036
-0.01208,-1.8800000000000001,-1.86,-0.020000000000000018
-0.01207,-1.8800000000000001,-1.86,-0.020000000000000018
-0.012060000000000001,-1.8800000000000001,-1.86,-0.020000000000000018
-0.01205,-1.8800000000000001,-1.86,-0.020000000000000018
-0.01204,-1.86,-1.86,0.0
-0.01203,-1.8800000000000001,-1.86,-0.020000000000000018
-0.012020000000000001,-1.86,-1.86,0.0
-0.01201,-1.86,-1.86,0.0
-0.012,-1.84,-1.86,0.020000000000000018
-0.01199,-1.84,-1.86,0.020000000000000018
-0.011980000000000001,-1.84,-1.86,0.020000000000000018
-0.011970000000000001,-1.84,-1.86,0.020000000000000018
-0.01196,-1.84,-1.86,0.020000000000000018
-0.01195,-1.84,-1.86,0.020000000000000018
-0.011940000000000001,-1.82,-1.86,0.040000000000000036
-0.011930000000000001,-1.82,-1.84,0.020000000000000018
-0.01192,-1.82,-1.86,0.040000000000000036
-0.01191,-1.8,-1.84,0.040000000000000036
-0.0119,-1.8,-1.86,0.06000000000000005
-0.011890000000000001,-1.8,-1.84,0.040000000000000036
-0.01188,-1.8,-1.84,0.040000000000000036
-0.01187,-1.78,-1.86,0.08000000000000007
-0.01186,-1.78,-1.84,0.06000000000000005
-0.011850000000000001,-1.78,-1.84,0.06000000000000005
-0.01184,-1.78,-1.84,0.06000000000000005
-0.01183,-1.78,-1.84,0.06000000000000005
-0.01182,-1.76,-1.82,0.06000000000000005
-0.011810000000000001,-1.76,-1.82,0.06000000000000005
-0.011800000000000001,-1.76,-1.82,0.06000000000000005
-0.01179,-1.76,-1.82,0.06000000000000005
-0.01178,-1.74,-1.84,0.10000000000000009
-0.011770000000000001,-1.72,-1.84,0.1200000000000001
-0.011760000000000001,-1.74,-1.82,0.08000000000000007
-0.01175,-1.7,-1.82,0.1200000000000001
-0.01174,-1.72,-1.82,0.10000000000000009
-0.01173,-1.7,-1.82,0.1200000000000001
-0.011720000000000001,-1.7,-1.82,0.1200000000000001
-0.01171,-1.68,-1.82,0.14000000000000012
-0.0117,-1.7,-1.8,0.10000000000000009
-0.01169,-1.68,-1.8,0.1200000000000001
-0.011680000000000001,-1.68,-1.78,0.10000000000000009
-0.01167,-1.6600000000000001,-1.8,0.1399999999999999
-0.01166,-1.6600000000000001,-1.78,0.11999999999999988
-0.01165,-1.6600000000000001,-1.8,0.1399999999999999
-0.011640000000000001,-1.6400000000000001,-1.78,0.1399999999999999
-0.011630000000000001,-1.6400000000000001,-1.78,0.1399999999999999
-0.01162,-1.62,-1.76,0.1399999999999999
-0.01161,-1.6400000000000001,-1.78,0.1399999999999999
-0.011600000000000001,-1.62,-1.76,0.1399999999999999
-0.011590000000000001,-1.62,-1.76,0.1399999999999999
-0.01158,-1.6,-1.74,0.1399999999999999
-0.01157,-1.6,-1.76,0.15999999999999992
-0.01156,-1.6,-1.76,0.15999999999999992
-0.011550000000000001,-1.58,-1.76,0.17999999999999994
