Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.05,-1.34,-1.06,-0.28
-0.049960000000000004,-1.36,-1.06,-0.30000000000000004
-0.049920000000000006,-1.34,-1.06,-0.28
-0.04988,-1.32,-1.06,-0.26
-0.04984,-1.34,-1.06,-0.28
-0.049800000000000004,-1.32,-1.06,-0.26
-0.049760000000000006,-1.3,-1.06,-0.24
-0.04972,-1.3,-1.06,-0.24
-0.04968,-1.3,-1.04,-0.26
-0.049640000000000004,-1.28,-1.06,-0.21999999999999997
-0.049600000000000005,-1.28,-1.06,-0.21999999999999997
-0.04956,-1.26,-1.08,-0.17999999999999994
-0.04952,-1.26,-1.08,-0.17999999999999994
-0.04948,-1.24,-1.06,-0.17999999999999994
-0.049440000000000005,-1.24,-1.06,-0.17999999999999994
-0.0494,-1.22,-1.08,-0.1399999999999999
-0.04936,-1.22,-1.06,-0.15999999999999992
-0.04932,-1.2,-1.06,-0.1399999999999999
-0.049280000000000004,-1.2,-1.06,-0.1399999999999999
-0.049240000000000006,-1.2,-1.08,-0.11999999999999988
-0.0492,-1.18,-1.06,-0.11999999999999988
-0.04916,-1.18,-1.08,-0.09999999999999987
-0.049120000000000004,-1.1400000000000001,-1.08,-0.06000000000000005
-0.049080000000000006,-1.16,-1.06,-0.09999999999999987
-0.04904,-1.16,-1.08,-0.07999999999999985
-0.049,-1.1400000000000001,-1.08,-0.06000000000000005
-0.048960000000000004,-1.1400000000000001,-1.06,-0.08000000000000007
-0.048920000000000005,-1.12,-1.08,-0.040000000000000036
-0.04888,-1.12,-1.06,-0.06000000000000005
-0.04884,-1.12,-1.08,-0.040000000000000036
-0.0488,-1.1,-1.06,-0.040000000000000036
-0.048760000000000005,-1.1,-1.08,-0.020000000000000018
-0.04872,-1.08,-1.06,-0.020000000000000018
-0.04868,-1.06,-1.08,0.020000000000000018
-0.04864,-1.06,-1.06,0.0
-0.048600000000000004,-1.04,-1.06,0.020000000000000018
-0.048560000000000006,-1.06,-1.06,0.0
-0.04852,-1.02,-1.06,0.040000000000000036
-0.04848,-1.02,-1.06,0.040000000000000036
-0.048440000000000004,-1.02,-1.08,0.06000000000000005
-0.048400000000000006,-1.0,-1.06,0.06000000000000005
-0.04836,-1.0,-1.08,0.08000000000000007
-0.04832,-0.96,-1.06,0.10000000000000009
-0.04828,-0.96,-1.06,0.10000000000000009
-0.048240000000000005,-0.96,-1.06,0.10000000000000009
-0.0482,-0.96,-1.06,0.10000000000000009
-0.04816,-0.9400000000000001,-1.06,0.12
-0.04812,-0.9400000000000001,-1.06,0.12
-0.048080000000000005,-0.92,-1.06,0.14
