frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3302140236,0.0546475202,-92.5165328979,0.00026927536791980755,-35.69803372046243
19.306977288832496,1.8942142725,0.0432704389,106.1111068726,0.0005218244108922862,-32.82475608509379
37.2759372031494,1.3534730673,0.0952287614,88.9917831421,0.004950362874233269,-23.053629650056312
71.96856730011521,3.9985573292,0.4289590716,83.9136581421,0.011508667931770685,-19.389749407802835
138.94954943731375,4.0108580589,0.8168720603,78.1084823608,0.04147949861618773,-13.821665017897226
268.26957952797244,3.9985187054,1.5175681114,66.2801971436,0.14404497756557624,-8.41501879720131
517.9474679231213,3.9366972446,2.5414407253,47.378238678,0.4167695081960249,-3.8010406251712285
1000.0,3.8761351109,3.4367520809,19.6199989319,0.7861376475306654,-1.04501405195699
1930.6977288832495,3.9107391834,3.5644936562,-12.78764534,0.8307646082664499,-0.8052201329483708
3727.593720314938,3.9939148426,2.7682673931,-43.4575233459,0.4804171175306444,-3.183815268381127
7196.856730011514,4.0561347008,1.7035496235,-64.3503265381,0.17639441869542405,-7.5351516052010945
13894.95494373136,4.0940437317,0.9017055631,-78.0,0.048509248135113786,-13.141754566314447
26826.957952797275,4.0805063248,0.4300991893,-87.0096511841,0.011109874093938802,-19.542908628068783
51794.74679231202,4.0673179626,0.1363406032,-90.5590057373,0.0011236580636604053,-29.493658272527842
100000.0,4.0548048019,0.091720961,67.6123886108,0.0005116786408530222,-32.91002711527544
