frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,2.2055361271,1.1106456518,-1.8018016815,0.25358449122742094,-5.958773106495703
19.306977288832496,2.4873349667,1.2721341848,-4.1698842049,0.26157563960509794,-5.824027040698771
37.2759372031494,2.6174404621,1.3556889296,-6.4381518364,0.26826652018967184,-5.71433524138158
71.96856730011521,2.6733212471,1.3424688578,-12.6997833252,0.25217738650360105,-5.982938604949944
138.94954943731375,2.7809698582,1.3133479357,-23.4999980927,0.22303192258337304,-6.516329718863867
268.26957952797244,3.0274245739,1.1818020344,-40.1716766357,0.15238520473805794,-8.170571971206929
517.9474679231213,3.4705569744,0.9189301133,-59.2546577454,0.07010784379552047,-11.542333896433144
1000.0,3.8207247257,0.5844607949,-72.6473464966,0.023400183924824305,-16.30780729033346
1930.6977288832495,4.0384283066,0.3323990703,-81.0973739624,0.006774774530555976,-21.691051538505732
3727.593720314938,4.0757040977,0.1751850098,-85.5100479126,0.0018475176305896477,-27.334114085048483
7196.856730011514,4.0882463455,0.0917414054,-87.2178344727,0.0005035663058764422,-32.97943336668788
13894.95494373136,4.1008262634,0.0466727577,-86.3201599121,0.0001295341215109183,-38.87615815891814
26826.957952797275,4.0875740051,0.0222118404,-88.4549407959,2.9528258306271045e-05,-45.29762168689618
51794.74679231202,4.0754752159,0.0078400001,-87.5776367188,3.7006296455688013e-06,-54.31724376383955
100000.0,4.0880174637,0.0051199999,73.0069961548,1.568607980390141e-06,-58.04485579820263
