Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.25,-1.76,-0.246,-1.514
-0.2498,-1.84,-0.246,-1.594
-0.2496,-1.8800000000000001,-0.246,-1.6340000000000001
-0.2494,-1.8800000000000001,-0.222,-1.6580000000000001
-0.2492,-1.8800000000000001,-0.1,-1.78
-0.249,-1.8800000000000001,-0.042,-1.838
-0.2488,-1.8800000000000001,-0.02,-1.86
-0.2486,-1.8800000000000001,-0.006,-1.874
-0.2484,-1.8800000000000001,-0.002,-1.8780000000000001
-0.2482,-1.8800000000000001,0.002,-1.8820000000000001
-0.248,-1.8800000000000001,0.002,-1.8820000000000001
-0.2478,-1.92,0.002,-1.922
-0.2476,-1.92,0.002,-1.922
-0.2474,-1.92,0.0,-1.92
-0.2472,-1.8800000000000001,0.002,-1.8820000000000001
-0.247,-1.92,0.002,-1.922
-0.2468,-1.8800000000000001,-0.002,-1.8780000000000001
-0.24659999999999999,-1.8800000000000001,0.0,-1.8800000000000001
-0.2464,-1.8800000000000001,0.002,-1.8820000000000001
-0.2462,-1.8800000000000001,-0.002,-1.8780000000000001
-0.246,-1.8800000000000001,0.002,-1.8820000000000001
-0.2458,-1.8800000000000001,0.0,-1.8800000000000001
-0.2456,-1.8800000000000001,0.004,-1.8840000000000001
-0.2454,-1.8800000000000001,0.002,-1.8820000000000001
-0.2452,-1.8800000000000001,0.0,-1.8800000000000001
-0.245,-1.8800000000000001,0.004,-1.8840000000000001
-0.2448,-1.8800000000000001,0.0,-1.8800000000000001
-0.2446,-1.92,0.0,-1.92
-0.2444,-1.92,0.002,-1.922
-0.2442,-1.8800000000000001,0.004,-1.8840000000000001
-0.244,-1.92,0.0,-1.92
-0.2438,-1.8800000000000001,0.002,-1.8820000000000001
-0.2436,-1.8800000000000001,0.002,-1.8820000000000001
-0.2434,-1.92,0.0,-1.92
-0.2432,-1.8800000000000001,0.0,-1.8800000000000001
-0.243,-1.8800000000000001,0.0,-1.8800000000000001
-0.2428,-1.92,0.004,-1.924
-0.2426,-1.92,0.0,-1.92
-0.2424,-1.92,0.0,-1.92
-0.2422,-1.8800000000000001,0.002,-1.8820000000000001
-0.242,-1.8800000000000001,-0.004,-1.8760000000000001
-0.2418,-1.92,0.004,-1.924
-0.2416,-1.92,0.002,-1.922
-0.2414,-1.92,0.002,-1.922
-0.2412,-1.92,0.002,-1.922
-0.241,-1.8800000000000001,0.002,-1.8820000000000001
-0.24080000000000001,-1.8800000000000001,0.002,-1.8820000000000001
-0.2406,-1.8800000000000001,0.002,-1.8820000000000001
-0.2404,-1.8800000000000001,0.0,-1.8800000000000001
-0.2402,-1.92,0.002,-1.922
-0.24,-1.8800000000000001,0.002,-1.8820000000000001
-0.2398,-1.92,0.002,-1.922
-0.2396,-1.92,0.002,-1.922
-0.2394,-1.8800000000000001,0.0,-1.8800000000000001
-0.2392,-1.8800000000000001,0.004,-1.8840000000000001
-0.239,-1.92,0.002,-1.922
-0.2388,-1.92,0.002,-1.922
-0.2386,-1.92,-0.002,-1.918
-0.2384,-1.92,0.004,-1.924
-0.2382,-1.92,0.0,-1.92
-0.238,-1.8800000000000001,0.0,-1.8800000000000001
-0.2378,-1.8800000000000001,0.002,-1.8820000000000001
-0.2376,-1.92,0.002,-1.922
-0.2374,-1.92,0.002,-1.922
-0.2372,-1.8800000000000001,0.004,-1.8840000000000001
-0.237,-1.8800000000000001,-0.004,-1.8760000000000001
-0.2368,-1.8800000000000001,0.002,-1.8820000000000001
-0.2366,-1.8800000000000001,0.0,-1.8800000000000001
-0.2364,-1.8800000000000001,0.002,-1.8820000000000001
-0.2362,-1.92,0.002,-1.922
-0.236,-1.92,0.006,-1.926
-0.2358,-1.8800000000000001,0.004,-1.8840000000000001
-0.2356,-1.8800000000000001,0.0,-1.8800000000000001
-0.2354,-1.8800000000000001,0.002,-1.8820000000000001
-0.2352,-1.8800000000000001,0.002,-1.8820000000000001
-0.235,-1.8800000000000001,0.002,-1.8820000000000001
-0.2348,-1.8800000000000001,-0.002,-1.8780000000000001
-0.2346,-1.92,0.004,-1.924
-0.2344,-1.8800000000000001,0.0,-1.8800000000000001
-0.2342,-1.92,0.002,-1.922
-0.23399999999999999,-1.8800000000000001,0.0,-1.8800000000000001
-0.2338,-1.8800000000000001,0.004,-1.8840000000000001
-0.2336,-1.92,0.0,-1.92
-0.2334,-1.8800000000000001,0.002,-1.8820000000000001
-0.2332,-1.8800000000000001,0.002,-1.8820000000000001
-0.23299999999999998,-1.8800000000000001,0.0,-1.8800000000000001
-0.2328,-1.8800000000000001,0.002,-1.8820000000000001
-0.2326,-1.92,0.0,-1.92
-0.2324,-1.92,0.002,-1.922
-0.2322,-1.8800000000000001,0.0,-1.8800000000000001
-0.23199999999999998,-1.92,0.002,-1.922
-0.2318,-1.8800000000000001,0.002,-1.8820000000000001
-0.2316,-1.92,0.002,-1.922
-0.2314,-1.92,0.0,-1.92
-0.2312,-1.8800000000000001,0.004,-1.8840000000000001
-0.231,-1.8800000000000001,-0.004,-1.8760000000000001
-0.2308,-1.8800000000000001,0.004,-1.8840000000000001
-0.2306,-1.8800000000000001,0.002,-1.8820000000000001
-0.2304,-1.8800000000000001,0.0,-1.8800000000000001
-0.2302,-1.8800000000000001,0.0,-1.8800000000000001
-0.23,-1.8800000000000001,0.002,-1.8820000000000001
