Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.25,0.32,-0.0268,0.3468
-0.2498,0.32,-0.024800000000000003,0.3448
-0.2496,0.28,-0.024800000000000003,0.3048
-0.2494,0.24,-0.024800000000000003,0.2648
-0.2492,0.2,-0.0244,0.22440000000000002
-0.249,0.2,-0.024,0.224
-0.2488,0.16,-0.0236,0.1836
-0.2486,0.12,-0.0244,0.1444
-0.2484,0.12,-0.023200000000000002,0.1432
-0.2482,0.08,-0.024800000000000003,0.1048
-0.248,0.04,-0.0228,0.0628
-0.2478,0.04,-0.022000000000000002,0.062
-0.2476,0.04,-0.0236,0.0636
-0.2474,0.0,-0.024,0.024
-0.2472,-0.04,-0.0228,-0.0172
-0.247,-0.04,-0.022000000000000002,-0.018
-0.2468,-0.08,-0.0204,-0.0596
-0.24659999999999999,-0.12,-0.0224,-0.09759999999999999
-0.2464,-0.12,-0.0212,-0.0988
-0.2462,-0.16,-0.020800000000000003,-0.1392
-0.246,-0.16,-0.0228,-0.1372
-0.2458,-0.2,-0.02,-0.18000000000000002
-0.2456,-0.24,-0.0204,-0.2196
-0.2454,-0.24,-0.0196,-0.22039999999999998
-0.2452,-0.28,-0.02,-0.26
-0.245,-0.32,-0.0184,-0.3016
-0.2448,-0.32,-0.0204,-0.2996
-0.2446,-0.36,-0.0212,-0.3388
-0.2444,-0.4,-0.018000000000000002,-0.382
-0.2442,-0.4,-0.0184,-0.38160000000000005
-0.244,-0.44,-0.0196,-0.4204
-0.2438,-0.44,-0.0172,-0.4228
-0.2436,-0.48,-0.0184,-0.4616
-0.2434,-0.48,-0.0172,-0.4628
-0.2432,-0.52,-0.0176,-0.5024000000000001
-0.243,-0.56,-0.016,-0.544
-0.2428,-0.56,-0.0176,-0.5424000000000001
-0.2426,-0.6,-0.016,-0.584
-0.2424,-0.6,-0.016800000000000002,-0.5831999999999999
-0.2422,-0.64,-0.016,-0.624
-0.242,-0.64,-0.016800000000000002,-0.6232
-0.2418,-0.68,-0.016,-0.664
-0.2416,-0.72,-0.0176,-0.7024
-0.2414,-0.76,-0.014400000000000001,-0.7456
-0.2412,-0.76,-0.015600000000000001,-0.7444000000000001
-0.241,-0.76,-0.0148,-0.7452
-0.24080000000000001,-0.8,-0.0148,-0.7852
-0.2406,-0.84,-0.012400000000000001,-0.8276
-0.2404,-0.84,-0.0128,-0.8271999999999999
-0.2402,-0.88,-0.0108,-0.8692
-0.24,-0.92,-0.011600000000000001,-0.9084
-0.2398,-0.92,-0.012,-0.908
-0.2396,-0.92,-0.012,-0.908
-0.2394,-0.96,-0.0112,-0.9488
-0.2392,-0.96,-0.01,-0.95
-0.239,-1.0,-0.0092,-0.9908
-0.2388,-1.0,-0.0088,-0.9912
-0.2386,-1.04,-0.0112,-1.0288
-0.2384,-1.04,-0.0108,-1.0292000000000001
-0.2382,-1.08,-0.01,-1.07
-0.238,-1.08,-0.0088,-1.0712000000000002
-0.2378,-1.08,-0.009600000000000001,-1.0704
-0.2376,-1.12,-0.01,-1.11
-0.2374,-1.12,-0.008,-1.112
-0.2372,-1.16,-0.0108,-1.1492
-0.237,-1.2,-0.0056,-1.1944
-0.2368,-1.2,-0.006,-1.194
-0.2366,-1.24,-0.0056,-1.2344
-0.2364,-1.24,-0.005200000000000001,-1.2348
-0.2362,-1.28,-0.0044,-1.2756
-0.236,-1.32,-0.007200000000000001,-1.3128
-0.2358,-1.28,-0.0028,-1.2772000000000001
-0.2356,-1.32,-0.0032,-1.3168
-0.2354,-1.36,-0.0036000000000000003,-1.3564
-0.2352,-1.36,-0.0064,-1.3536000000000001
-0.235,-1.36,-0.0068000000000000005,-1.3532000000000002
-0.2348,-1.4000000000000001,-0.006,-1.3940000000000001
-0.2346,-1.4000000000000001,-0.0032,-1.3968
-0.2344,-1.44,-0.0028,-1.4372
-0.2342,-1.44,-0.0008,-1.4392
-0.23399999999999999,-1.44,-0.002,-1.438
-0.2338,-1.48,-0.002,-1.478
-0.2336,-1.48,0.0012000000000000001,-1.4812
-0.2334,-1.52,0.0012000000000000001,-1.5212
-0.2332,-1.52,0.0,-1.52
-0.23299999999999998,-1.56,0.0008,-1.5608
-0.2328,-1.56,-0.0012000000000000001,-1.5588
-0.2326,-1.6,0.0032,-1.6032000000000002
-0.2324,-1.6,0.0016,-1.6016000000000001
-0.2322,-1.6,0.0016,-1.6016000000000001
-0.23199999999999998,-1.6,0.0028,-1.6028
-0.2318,-1.6400000000000001,0.0012000000000000001,-1.6412000000000002
-0.2316,-1.6400000000000001,0.0008,-1.6408
-0.2314,-1.6400000000000001,0.0024000000000000002,-1.6424
-0.2312,-1.6400000000000001,0.004,-1.6440000000000001
-0.231,-1.68,0.0036000000000000003,-1.6836
-0.2308,-1.68,0.006,-1.686
-0.2306,-1.68,0.0032,-1.6832
-0.2304,-1.68,0.0064,-1.6864
-0.2302,-1.68,0.0044,-1.6844
-0.23,-1.72,0.0032,-1.7232
-0.2298,-1.72,0.0056,-1.7256
-0.2296,-1.72,0.0068000000000000005,-1.7268
-0.2294,-1.72,0.0044,-1.7244
-0.2292,-1.76,0.008,-1.768
-0.229,-1.76,0.006,-1.766
-0.2288,-1.76,0.006,-1.766
-0.2286,-1.76,0.0076,-1.7676
-0.2284,-1.76,0.0068000000000000005,-1.7668
-0.22820000000000001,-1.8,0.01,-1.81
-0.228,-1.76,0.008400000000000001,-1.7684
-0.2278,-1.8,0.0092,-1.8092000000000001
-0.2276,-1.8,0.0092,-1.8092000000000001
-0.2274,-1.8,0.009600000000000001,-1.8096
-0.2272,-1.84,0.011600000000000001,-1.8516000000000001
-0.227,-1.84,0.013600000000000001,-1.8536000000000001
-0.2268,-1.84,0.0108,-1.8508
-0.2266,-1.84,0.010400000000000001,-1.8504
-0.2264,-1.84,0.012,-1.852
-0.2262,-1.84,0.012,-1.852
-0.226,-1.8800000000000001,0.013600000000000001,-1.8936000000000002
-0.2258,-1.84,0.0092,-1.8492000000000002
-0.2256,-1.84,0.0132,-1.8532000000000002
-0.2254,-1.8800000000000001,0.0132,-1.8932000000000002
-0.2252,-1.8800000000000001,0.011600000000000001,-1.8916000000000002
-0.225,-1.8800000000000001,0.0132,-1.8932000000000002
-0.2248,-1.8800000000000001,0.016,-1.8960000000000001
-0.2246,-1.8800000000000001,0.018000000000000002,-1.8980000000000001
-0.2244,-1.8800000000000001,0.0128,-1.8928
-0.2242,-1.8800000000000001,0.0148,-1.8948
-0.224,-1.8800000000000001,0.014400000000000001,-1.8944
-0.2238,-1.8800000000000001,0.0172,-1.8972000000000002
-0.2236,-1.8800000000000001,0.015600000000000001,-1.8956000000000002
-0.2234,-1.8800000000000001,0.0152,-1.8952000000000002
-0.2232,-1.8800000000000001,0.016,-1.8960000000000001
-0.223,-1.8800000000000001,0.0152,-1.8952000000000002
-0.2228,-1.8800000000000001,0.0172,-1.8972000000000002
-0.2226,-1.8800000000000001,0.018000000000000002,-1.8980000000000001
-0.2224,-1.8800000000000001,0.016,-1.8960000000000001
-0.2222,-1.8800000000000001,0.0172,-1.8972000000000002
-0.222,-1.84,0.0188,-1.8588
-0.2218,-1.8800000000000001,0.019200000000000002,-1.8992000000000002
-0.2216,-1.8800000000000001,0.0176,-1.8976000000000002
-0.22139999999999999,-1.84,0.018000000000000002,-1.858
-0.2212,-1.84,0.0196,-1.8596000000000001
-0.221,-1.84,0.0212,-1.8612000000000002
-0.2208,-1.84,0.0196,-1.8596000000000001
-0.2206,-1.84,0.0204,-1.8604
-0.22039999999999998,-1.84,0.0184,-1.8584
-0.2202,-1.84,0.0224,-1.8624
-0.22,-1.84,0.0204,-1.8604
-0.2198,-1.8,0.0204,-1.8204
-0.2196,-1.84,0.0228,-1.8628
-0.21939999999999998,-1.8,0.0216,-1.8216
-0.2192,-1.84,0.0212,-1.8612000000000002
-0.219,-1.8,0.023200000000000002,-1.8232000000000002
-0.2188,-1.8,0.0228,-1.8228
-0.2186,-1.8,0.0244,-1.8244
-0.21839999999999998,-1.76,0.0228,-1.7828
-0.2182,-1.76,0.0216,-1.7816
-0.218,-1.76,0.0216,-1.7816
-0.2178,-1.76,0.0236,-1.7836
-0.21760000000000002,-1.76,0.0236,-1.7836
-0.21739999999999998,-1.72,0.0228,-1.7428
-0.2172,-1.76,0.0252,-1.7852000000000001
-0.217,-1.72,0.0264,-1.7464
-0.2168,-1.72,0.0268,-1.7468
-0.21660000000000001,-1.68,0.024800000000000003,-1.7047999999999999
-0.21639999999999998,-1.68,0.0264,-1.7064
-0.2162,-1.68,0.027600000000000003,-1.7076
-0.216,-1.68,0.0264,-1.7064
-0.2158,-1.6400000000000001,0.0256,-1.6656000000000002
-0.2156,-1.6400000000000001,0.028,-1.6680000000000001
-0.2154,-1.6400000000000001,0.027600000000000003,-1.6676000000000002
-0.2152,-1.6400000000000001,0.0252,-1.6652
-0.215,-1.6,0.024,-1.624
-0.2148,-1.6,0.0264,-1.6264
-0.2146,-1.6,0.0252,-1.6252
-0.2144,-1.56,0.0268,-1.5868
-0.2142,-1.56,0.027600000000000003,-1.5876000000000001
-0.214,-1.52,0.0268,-1.5468
-0.2138,-1.52,0.0256,-1.5456
-0.2136,-1.52,0.0256,-1.5456
-0.2134,-1.52,0.028800000000000003,-1.5488
-0.2132,-1.48,0.028,-1.508
-0.213,-1.44,0.030000000000000002,-1.47
-0.2128,-1.48,0.0256,-1.5056
-0.2126,-1.44,0.028800000000000003,-1.4687999999999999
-0.2124,-1.44,0.0292,-1.4691999999999998
-0.2122,-1.4000000000000001,0.0296,-1.4296000000000002
-0.212,-1.4000000000000001,0.031200000000000002,-1.4312
-0.2118,-1.36,0.027600000000000003,-1.3876000000000002
-0.2116,-1.36,0.0292,-1.3892
-0.2114,-1.36,0.031200000000000002,-1.3912
-0.2112,-1.32,0.027200000000000002,-1.3472
-0.211,-1.32,0.031200000000000002,-1.3512
-0.2108,-1.28,0.030000000000000002,-1.31
-0.2106,-1.28,0.028800000000000003,-1.3088
-0.2104,-1.24,0.028,-1.268
-0.2102,-1.24,0.028800000000000003,-1.2688
-0.21,-1.2,0.0332,-1.2331999999999999
-0.2098,-1.2,0.0296,-1.2296
-0.2096,-1.16,0.028,-1.188
-0.2094,-1.16,0.0304,-1.1904
-0.2092,-1.12,0.031200000000000002,-1.1512
-0.209,-1.12,0.0296,-1.1496000000000002
-0.20879999999999999,-1.08,0.028,-1.108
-0.2086,-1.08,0.0296,-1.1096000000000001
-0.2084,-1.04,0.0292,-1.0692
-0.2082,-1.04,0.032,-1.072
-0.208,-1.0,0.0292,-1.0292
-0.20779999999999998,-1.0,0.0304,-1.0304
-0.2076,-1.0,0.0316,-1.0316
-0.2074,-0.96,0.0292,-0.9892
-0.2072,-0.92,0.028800000000000003,-0.9488000000000001
-0.207,-0.92,0.027200000000000002,-0.9472
-0.20679999999999998,-0.88,0.0304,-0.9104
-0.2066,-0.84,0.0296,-0.8695999999999999
-0.2064,-0.84,0.028,-0.868
-0.2062,-0.84,0.028800000000000003,-0.8688
-0.206,-0.8,0.0308,-0.8308000000000001
-0.20579999999999998,-0.76,0.0316,-0.7916
-0.2056,-0.72,0.030000000000000002,-0.75
-0.2054,-0.72,0.028800000000000003,-0.7488
-0.2052,-0.68,0.0292,-0.7092
-0.205,-0.68,0.0292,-0.7092
-0.20479999999999998,-0.64,0.0308,-0.6708000000000001
-0.2046,-0.64,0.031200000000000002,-0.6712
-0.2044,-0.6,0.0308,-0.6308
-0.2042,-0.6,0.028800000000000003,-0.6288
-0.20400000000000001,-0.56,0.031200000000000002,-0.5912000000000001
-0.20379999999999998,-0.56,0.0296,-0.5896
-0.2036,-0.52,0.0296,-0.5496
-0.2034,-0.48,0.032,-0.512
-0.2032,-0.48,0.027200000000000002,-0.5072
-0.203,-0.48,0.030000000000000002,-0.51
-0.2028,-0.44,0.030000000000000002,-0.47000000000000003
-0.2026,-0.4,0.028800000000000003,-0.4288
-0.2024,-0.4,0.0284,-0.4284
-0.2022,-0.32,0.030000000000000002,-0.35000000000000003
-0.202,-0.32,0.0304,-0.3504
-0.2018,-0.32,0.0284,-0.3484
-0.2016,-0.28,0.027200000000000002,-0.30720000000000003
-0.2014,-0.28,0.027600000000000003,-0.30760000000000004
-0.2012,-0.24,0.028800000000000003,-0.2688
-0.201,-0.24,0.0268,-0.2668
-0.2008,-0.16,0.0284,-0.1884
-0.2006,-0.16,0.028,-0.188
-0.2004,-0.16,0.0252,-0.1852
-0.2002,-0.12,0.0284,-0.1484
-0.2,-0.08,0.027600000000000003,-0.1076
-0.1998,-0.04,0.027200000000000002,-0.06720000000000001
-0.1996,0.0,0.0264,-0.0264
-0.1994,-0.04,0.027200000000000002,-0.06720000000000001
-0.1992,0.04,0.027600000000000003,0.012399999999999998
-0.199,0.04,0.027600000000000003,0.012399999999999998
-0.1988,0.08,0.0264,0.0536
-0.1986,0.12,0.027600000000000003,0.0924
-0.1984,0.12,0.0252,0.0948
-0.1982,0.16,0.0252,0.1348
-0.198,0.16,0.0244,0.1356
-0.1978,0.2,0.027200000000000002,0.1728
-0.1976,0.24,0.0256,0.21439999999999998
-0.1974,0.28,0.0252,0.2548
-0.1972,0.28,0.0244,0.25560000000000005
-0.197,0.32,0.026000000000000002,0.294
-0.1968,0.32,0.0264,0.2936
-0.1966,0.36,0.024,0.33599999999999997
-0.1964,0.36,0.0224,0.3376
-0.19619999999999999,0.4,0.0224,0.37760000000000005
-0.196,0.44,0.0252,0.4148
-0.1958,0.44,0.023200000000000002,0.4168
-0.1956,0.48,0.0224,0.4576
-0.1954,0.48,0.022000000000000002,0.45799999999999996
-0.19519999999999998,0.52,0.0212,0.4988
-0.195,0.56,0.0216,0.5384000000000001
-0.1948,0.6,0.024800000000000003,0.5751999999999999
-0.1946,0.6,0.022000000000000002,0.578
-0.1944,0.64,0.02,0.62
-0.19419999999999998,0.64,0.020800000000000003,0.6192
-0.194,0.68,0.0228,0.6572
-0.1938,0.68,0.020800000000000003,0.6592
-0.1936,0.72,0.0196,0.7004
-0.1934,0.76,0.020800000000000003,0.7392
-0.19319999999999998,0.76,0.018000000000000002,0.742
-0.193,0.8,0.02,0.78
-0.1928,0.8,0.0188,0.7812
-0.1926,0.84,0.0184,0.8216
-0.1924,0.84,0.02,0.82
-0.19219999999999998,0.88,0.0172,0.8628
-0.192,0.88,0.02,0.86
-0.1918,0.92,0.018000000000000002,0.902
-0.1916,0.96,0.0176,0.9424
-0.1914,0.96,0.015600000000000001,0.9444
-0.19119999999999998,1.0,0.016800000000000002,0.9832
-0.191,1.04,0.0164,1.0236
-0.1908,1.04,0.0164,1.0236
-0.1906,1.04,0.0128,1.0272000000000001
-0.1904,1.08,0.016,1.064
-0.19019999999999998,1.12,0.014400000000000001,1.1056000000000001
-0.19,1.12,0.016,1.104
-0.1898,1.16,0.014400000000000001,1.1456
-0.1896,1.2,0.014400000000000001,1.1856
-0.1894,1.2,0.014400000000000001,1.1856
-0.1892,1.24,0.0152,1.2247999999999999
-0.189,1.24,0.0152,1.2247999999999999
-0.1888,1.24,0.014400000000000001,1.2256
-0.1886,1.32,0.011600000000000001,1.3084
-0.1884,1.32,0.011600000000000001,1.3084
-0.1882,1.32,0.0112,1.3088
-0.188,1.32,0.012400000000000001,1.3076
