Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.125,-1.56,0.0196,-1.5796000000000001
-0.1249,-1.6,0.0184,-1.6184
-0.1248,-1.56,0.0176,-1.5776000000000001
-0.1247,-1.56,0.0204,-1.5804
-0.1246,-1.56,0.0188,-1.5788
-0.1245,-1.52,0.02,-1.54
-0.1244,-1.52,0.019200000000000002,-1.5392000000000001
-0.1243,-1.52,0.019200000000000002,-1.5392000000000001
-0.1242,-1.52,0.0196,-1.5396
-0.1241,-1.48,0.019200000000000002,-1.4992
-0.124,-1.52,0.02,-1.54
-0.1239,-1.52,0.019200000000000002,-1.5392000000000001
-0.1238,-1.48,0.0204,-1.5004
-0.1237,-1.52,0.02,-1.54
-0.1236,-1.48,0.0196,-1.4996
-0.1235,-1.44,0.018000000000000002,-1.458
-0.1234,-1.44,0.0204,-1.4604
-0.12329999999999999,-1.44,0.022000000000000002,-1.462
-0.1232,-1.44,0.018000000000000002,-1.458
-0.1231,-1.44,0.0176,-1.4576
-0.123,-1.44,0.020800000000000003,-1.4607999999999999
-0.1229,-1.44,0.0212,-1.4612
-0.1228,-1.4000000000000001,0.020800000000000003,-1.4208
-0.1227,-1.4000000000000001,0.019200000000000002,-1.4192000000000002
-0.1226,-1.4000000000000001,0.0188,-1.4188
-0.1225,-1.4000000000000001,0.019200000000000002,-1.4192000000000002
-0.1224,-1.4000000000000001,0.0188,-1.4188
-0.1223,-1.36,0.0188,-1.3788
-0.1222,-1.36,0.019200000000000002,-1.3792000000000002
-0.1221,-1.32,0.020800000000000003,-1.3408
-0.122,-1.36,0.02,-1.3800000000000001
-0.1219,-1.32,0.0188,-1.3388
-0.1218,-1.32,0.0196,-1.3396000000000001
-0.1217,-1.32,0.0184,-1.3384
-0.1216,-1.32,0.0196,-1.3396000000000001
-0.1215,-1.32,0.0216,-1.3416000000000001
-0.1214,-1.28,0.018000000000000002,-1.298
-0.1213,-1.28,0.018000000000000002,-1.298
-0.1212,-1.28,0.0184,-1.2984
-0.1211,-1.28,0.0188,-1.2988
-0.121,-1.24,0.0216,-1.2616
-0.1209,-1.24,0.0196,-1.2596
-0.1208,-1.24,0.019200000000000002,-1.2592
-0.1207,-1.24,0.0196,-1.2596
-0.1206,-1.24,0.0184,-1.2584
-0.1205,-1.2,0.0188,-1.2187999999999999
-0.12040000000000001,-1.2,0.0196,-1.2196
-0.1203,-1.2,0.0212,-1.2212
-0.1202,-1.16,0.023200000000000002,-1.1832
-0.1201,-1.16,0.0212,-1.1812
-0.12,-1.16,0.0204,-1.1804
-0.1199,-1.16,0.019200000000000002,-1.1792
-0.1198,-1.16,0.018000000000000002,-1.178
