Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,0.08,-0.1,0.18
-0.0002498,0.04,-0.1,0.14
-0.0002496,0.06,-0.16,0.22
-0.0002494,0.04,-0.16,0.2
-0.0002492,0.02,-0.16,0.18
-0.000249,0.02,-0.18,0.19999999999999998
-0.00024880000000000003,0.02,-0.18,0.19999999999999998
-0.0002486,-0.02,-0.2,0.18000000000000002
-0.0002484,-0.02,-0.22,0.2
-0.0002482,-0.04,-0.22,0.18
-0.000248,-0.06,-0.26,0.2
-0.0002478,-0.04,-0.28,0.24000000000000002
-0.0002476,-0.1,-0.28,0.18000000000000002
-0.0002474,-0.1,-0.28,0.18000000000000002
-0.0002472,-0.14,-0.32,0.18
-0.000247,-0.16,-0.32,0.16
-0.0002468,-0.16,-0.34,0.18000000000000002
-0.00024660000000000003,-0.14,-0.36,0.21999999999999997
-0.0002464,-0.2,-0.38,0.18
-0.0002462,-0.18,-0.38,0.2
-0.000246,-0.2,-0.4,0.2
-0.0002458,-0.2,-0.4,0.2
-0.0002456,-0.22,-0.44,0.22
-0.0002454,-0.26,-0.44,0.18
-0.0002452,-0.24,-0.46,0.22000000000000003
-0.000245,-0.28,-0.46,0.18
-0.0002448,-0.3,-0.48,0.18
-0.0002446,-0.3,-0.5,0.2
-0.00024440000000000003,-0.32,-0.52,0.2
-0.0002442,-0.34,-0.54,0.2
-0.000244,-0.36,-0.54,0.18000000000000005
-0.00024380000000000002,-0.38,-0.58,0.19999999999999996
-0.0002436,-0.38,-0.58,0.19999999999999996
-0.0002434,-0.42,-0.58,0.15999999999999998
-0.0002432,-0.42,-0.58,0.15999999999999998
-0.000243,-0.44,-0.6,0.15999999999999998
-0.0002428,-0.46,-0.64,0.18
-0.00024260000000000002,-0.46,-0.64,0.18
-0.0002424,-0.48,-0.66,0.18000000000000005
-0.0002422,-0.52,-0.68,0.16000000000000003
-0.000242,-0.54,-0.7000000000000001,0.16000000000000003
-0.0002418,-0.52,-0.7000000000000001,0.18000000000000005
-0.00024160000000000002,-0.56,-0.72,0.15999999999999992
-0.0002414,-0.58,-0.7000000000000001,0.1200000000000001
-0.0002412,-0.58,-0.74,0.16000000000000003
-0.000241,-0.6,-0.78,0.18000000000000005
-0.0002408,-0.6,-0.78,0.18000000000000005
-0.0002406,-0.64,-0.8,0.16000000000000003
-0.00024040000000000002,-0.64,-0.8200000000000001,0.18000000000000005
-0.0002402,-0.64,-0.84,0.19999999999999996
-0.00024,-0.68,-0.8200000000000001,0.14
-0.0002398,-0.66,-0.84,0.17999999999999994
-0.0002396,-0.72,-0.86,0.14
-0.00023940000000000002,-0.74,-0.88,0.14
-0.00023920000000000001,-0.72,-0.9,0.18000000000000005
-0.000239,-0.74,-0.9,0.16000000000000003
-0.0002388,-0.76,-0.9,0.14
-0.0002386,-0.76,-0.9400000000000001,0.18000000000000005
-0.0002384,-0.8,-0.9400000000000001,0.14
-0.00023820000000000002,-0.8,-0.9400000000000001,0.14
-0.000238,-0.8200000000000001,-0.96,0.1399999999999999
-0.0002378,-0.86,-0.98,0.12
-0.0002376,-0.84,-1.0,0.16000000000000003
-0.0002374,-0.88,-1.02,0.14
-0.00023720000000000002,-0.88,-1.04,0.16000000000000003
-0.00023700000000000001,-0.9,-1.02,0.12
-0.0002368,-0.88,-1.06,0.18000000000000005
-0.0002366,-0.92,-1.06,0.14
-0.0002364,-0.96,-1.08,0.1200000000000001
-0.0002362,-0.96,-1.08,0.1200000000000001
-0.00023600000000000002,-0.96,-1.1400000000000001,0.18000000000000016
-0.0002358,-0.9400000000000001,-1.1400000000000001,0.20000000000000007
-0.0002356,-1.0,-1.1400000000000001,0.14000000000000012
-0.0002354,-1.02,-1.18,0.15999999999999992
-0.0002352,-1.04,-1.18,0.1399999999999999
-0.00023500000000000002,-1.02,-1.18,0.15999999999999992
-0.00023480000000000002,-1.08,-1.22,0.1399999999999999
-0.0002346,-1.1,-1.24,0.1399999999999999
-0.0002344,-1.1,-1.24,0.1399999999999999
-0.0002342,-1.08,-1.24,0.15999999999999992
-0.000234,-1.12,-1.24,0.11999999999999988
-0.0002338,-1.12,-1.3,0.17999999999999994
-0.0002336,-1.16,-1.3,0.14000000000000012
-0.0002334,-1.1400000000000001,-1.34,0.19999999999999996
-0.0002332,-1.16,-1.32,0.16000000000000014
-0.000233,-1.18,-1.34,0.16000000000000014
-0.00023280000000000002,-1.22,-1.34,0.1200000000000001
-0.00023260000000000002,-1.2,-1.3800000000000001,0.18000000000000016
-0.0002324,-1.24,-1.3800000000000001,0.14000000000000012
-0.0002322,-1.26,-1.4000000000000001,0.14000000000000012
-0.000232,-1.28,-1.4000000000000001,0.1200000000000001
-0.0002318,-1.26,-1.4000000000000001,0.14000000000000012
-0.0002316,-1.32,-1.4000000000000001,0.08000000000000007
-0.00023140000000000001,-1.34,-1.44,0.09999999999999987
-0.0002312,-1.32,-1.46,0.1399999999999999
-0.000231,-1.36,-1.5,0.1399999999999999
-0.0002308,-1.34,-1.48,0.1399999999999999
-0.0002306,-1.4000000000000001,-1.5,0.09999999999999987
-0.00023040000000000002,-1.4000000000000001,-1.52,0.11999999999999988
-0.0002302,-1.42,-1.54,0.1200000000000001
-0.00023,-1.4000000000000001,-1.54,0.1399999999999999
-0.0002298,-1.44,-1.54,0.10000000000000009
-0.0002296,-1.48,-1.58,0.10000000000000009
-0.0002294,-1.5,-1.56,0.06000000000000005
-0.00022920000000000001,-1.46,-1.58,0.1200000000000001
-0.000229,-1.5,-1.6,0.10000000000000009
-0.0002288,-1.54,-1.62,0.08000000000000007
-0.0002286,-1.54,-1.6400000000000001,0.10000000000000009
-0.0002284,-1.54,-1.6600000000000001,0.1200000000000001
-0.00022820000000000002,-1.54,-1.7,0.15999999999999992
-0.000228,-1.56,-1.68,0.11999999999999988
-0.0002278,-1.58,-1.68,0.09999999999999987
-0.0002276,-1.6,-1.7,0.09999999999999987
-0.0002274,-1.6,-1.7,0.09999999999999987
-0.0002272,-1.6600000000000001,-1.74,0.07999999999999985
-0.00022700000000000002,-1.6600000000000001,-1.74,0.07999999999999985
-0.0002268,-1.6600000000000001,-1.76,0.09999999999999987
