Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.05,0.02,-0.14200000000000002,0.162
-0.049960000000000004,-0.02,-0.14400000000000002,0.12400000000000001
-0.049920000000000006,-0.04,-0.14400000000000002,0.10400000000000001
-0.04988,-0.06,-0.14200000000000002,0.08200000000000002
-0.04984,-0.08,-0.14,0.06000000000000001
-0.049800000000000004,-0.1,-0.14,0.04000000000000001
-0.049760000000000006,-0.14,-0.14,0.0
-0.04972,-0.18,-0.14400000000000002,-0.035999999999999976
-0.04968,-0.18,-0.14,-0.03999999999999998
-0.049640000000000004,-0.22,-0.14200000000000002,-0.07799999999999999
-0.049600000000000005,-0.24,-0.14400000000000002,-0.09599999999999997
-0.04956,-0.28,-0.14200000000000002,-0.138
-0.04952,-0.28,-0.14400000000000002,-0.136
-0.04948,-0.32,-0.14,-0.18
-0.049440000000000005,-0.32,-0.14200000000000002,-0.178
-0.0494,-0.36,-0.14200000000000002,-0.21799999999999997
-0.04936,-0.38,-0.14200000000000002,-0.238
-0.04932,-0.42,-0.14200000000000002,-0.27799999999999997
-0.049280000000000004,-0.44,-0.14,-0.3
-0.049240000000000006,-0.44,-0.14,-0.3
-0.0492,-0.48,-0.14,-0.33999999999999997
-0.04916,-0.52,-0.14,-0.38
-0.049120000000000004,-0.5,-0.14,-0.36
-0.049080000000000006,-0.54,-0.138,-0.402
-0.04904,-0.58,-0.138,-0.44199999999999995
-0.049,-0.6,-0.14,-0.45999999999999996
-0.048960000000000004,-0.62,-0.138,-0.482
-0.048920000000000005,-0.64,-0.138,-0.502
-0.04888,-0.66,-0.136,-0.524
-0.04884,-0.7000000000000001,-0.136,-0.5640000000000001
-0.0488,-0.72,-0.136,-0.584
-0.048760000000000005,-0.74,-0.134,-0.606
-0.04872,-0.76,-0.134,-0.626
-0.04868,-0.8,-0.136,-0.664
-0.04864,-0.8200000000000001,-0.132,-0.6880000000000001
-0.048600000000000004,-0.84,-0.132,-0.708
-0.048560000000000006,-0.86,-0.132,-0.728
-0.04852,-0.88,-0.128,-0.752
-0.04848,-0.9,-0.13,-0.77
-0.048440000000000004,-0.92,-0.126,-0.794
-0.048400000000000006,-0.9400000000000001,-0.128,-0.812
-0.04836,-0.98,-0.126,-0.854
-0.04832,-0.98,-0.122,-0.858
-0.04828,-1.0,-0.126,-0.874
-0.048240000000000005,-1.02,-0.126,-0.894
-0.0482,-1.06,-0.128,-0.932
-0.04816,-1.06,-0.124,-0.936
-0.04812,-1.08,-0.122,-0.9580000000000001
-0.048080000000000005,-1.1,-0.122,-0.9780000000000001
-0.04804,-1.1400000000000001,-0.122,-1.0180000000000002
-0.048,-1.1400000000000001,-0.122,-1.0180000000000002
-0.04796,-1.1400000000000001,-0.12,-1.02
-0.047920000000000004,-1.2,-0.11800000000000001,-1.0819999999999999
-0.047880000000000006,-1.18,-0.116,-1.0639999999999998
-0.04784,-1.22,-0.116,-1.1039999999999999
-0.0478,-1.24,-0.114,-1.126
-0.047760000000000004,-1.26,-0.114,-1.146
-0.047720000000000005,-1.28,-0.114,-1.166
-0.04768,-1.28,-0.11,-1.17
-0.04764,-1.3,-0.108,-1.192
-0.0476,-1.34,-0.108,-1.232
-0.047560000000000005,-1.34,-0.106,-1.234
-0.04752,-1.3800000000000001,-0.10400000000000001,-1.276
-0.04748,-1.3800000000000001,-0.108,-1.272
-0.04744,-1.3800000000000001,-0.10400000000000001,-1.276
-0.047400000000000005,-1.4000000000000001,-0.10200000000000001,-1.298
-0.04736,-1.44,-0.098,-1.3419999999999999
-0.04732,-1.44,-0.1,-1.3399999999999999
-0.04728,-1.46,-0.098,-1.3619999999999999
-0.047240000000000004,-1.48,-0.096,-1.384
-0.047200000000000006,-1.48,-0.094,-1.386
-0.04716,-1.5,-0.092,-1.408
-0.04712,-1.52,-0.092,-1.428
-0.047080000000000004,-1.52,-0.09,-1.43
-0.047040000000000005,-1.54,-0.09,-1.45
-0.047,-1.56,-0.08600000000000001,-1.474
-0.04696,-1.58,-0.088,-1.492
-0.04692,-1.58,-0.08600000000000001,-1.494
-0.046880000000000005,-1.6,-0.08600000000000001,-1.514
-0.04684,-1.62,-0.082,-1.538
-0.0468,-1.62,-0.08,-1.54
-0.04676,-1.6400000000000001,-0.08,-1.56
-0.046720000000000005,-1.6600000000000001,-0.078,-1.582
-0.04668,-1.6600000000000001,-0.074,-1.586
-0.04664,-1.6600000000000001,-0.076,-1.584
-0.0466,-1.68,-0.07200000000000001,-1.6079999999999999
