Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-5e-05,0.16,0.04,0.12
-4.996e-05,0.1,0.02,0.08
-4.992e-05,0.1,-0.02,0.12000000000000001
-4.9880000000000004e-05,0.08,-0.04,0.12
-4.9840000000000004e-05,0.06,-0.06,0.12
-4.9800000000000004e-05,0.0,-0.1,0.1
-4.9760000000000005e-05,0.02,-0.12,0.13999999999999999
-4.9720000000000005e-05,-0.02,-0.16,0.14
-4.9680000000000005e-05,-0.04,-0.2,0.16
-4.964e-05,-0.06,-0.2,0.14
-4.96e-05,-0.06,-0.2,0.14
-4.956e-05,-0.12,-0.24,0.12
-4.952e-05,-0.16,-0.28,0.12000000000000002
-4.948e-05,-0.14,-0.3,0.15999999999999998
-4.944e-05,-0.18,-0.32,0.14
-4.94e-05,-0.2,-0.3,0.09999999999999998
-4.936e-05,-0.22,-0.36,0.13999999999999999
-4.932e-05,-0.24,-0.38,0.14
-4.928e-05,-0.3,-0.4,0.10000000000000003
-4.924e-05,-0.3,-0.4,0.10000000000000003
-4.92e-05,-0.36,-0.44,0.08000000000000002
-4.9160000000000004e-05,-0.34,-0.46,0.12
-4.9120000000000004e-05,-0.38,-0.5,0.12
-4.9080000000000004e-05,-0.4,-0.52,0.12
-4.9040000000000005e-05,-0.42,-0.52,0.10000000000000003
-4.9000000000000005e-05,-0.44,-0.54,0.10000000000000003
-4.8960000000000006e-05,-0.48,-0.56,0.08000000000000007
-4.892e-05,-0.48,-0.6,0.12
-4.888e-05,-0.5,-0.62,0.12
-4.884e-05,-0.5,-0.66,0.16000000000000003
-4.88e-05,-0.52,-0.7000000000000001,0.18000000000000005
-4.876e-05,-0.54,-0.7000000000000001,0.16000000000000003
-4.872e-05,-0.6,-0.7000000000000001,0.10000000000000009
-4.868e-05,-0.62,-0.74,0.12
-4.864e-05,-0.66,-0.76,0.09999999999999998
-4.86e-05,-0.64,-0.78,0.14
-4.856e-05,-0.68,-0.8,0.12
-4.852e-05,-0.7000000000000001,-0.8200000000000001,0.12
-4.8480000000000003e-05,-0.74,-0.84,0.09999999999999998
-4.8440000000000004e-05,-0.76,-0.86,0.09999999999999998
-4.8400000000000004e-05,-0.78,-0.88,0.09999999999999998
-4.8360000000000005e-05,-0.78,-0.9,0.12
-4.8320000000000005e-05,-0.8,-0.92,0.12
-4.8280000000000005e-05,-0.84,-0.9400000000000001,0.10000000000000009
-4.824e-05,-0.86,-0.96,0.09999999999999998
-4.82e-05,-0.88,-0.98,0.09999999999999998
-4.816e-05,-0.92,-1.02,0.09999999999999998
-4.812e-05,-0.9400000000000001,-1.02,0.07999999999999996
-4.808e-05,-0.92,-1.04,0.12
-4.804e-05,-0.9400000000000001,-1.06,0.12
-4.8e-05,-0.96,-1.1,0.14000000000000012
-4.796e-05,-1.0,-1.1,0.10000000000000009
-4.792e-05,-1.04,-1.1400000000000001,0.10000000000000009
-4.788e-05,-1.02,-1.1400000000000001,0.1200000000000001
-4.784e-05,-1.06,-1.18,0.11999999999999988
