Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.125,-1.04,-1.04,0.0
-0.1249,-1.0,-1.04,0.040000000000000036
-0.1248,-1.0,-1.04,0.040000000000000036
-0.1247,-1.0,-1.0,0.0
-0.1246,-1.0,-1.0,0.0
-0.1245,-1.0,-1.0,0.0
-0.1244,-1.0,-0.96,-0.040000000000000036
-0.1243,-1.0,-0.96,-0.040000000000000036
-0.1242,-0.96,-0.96,0.0
-0.1241,-0.96,-0.96,0.0
-0.124,-0.96,-0.96,0.0
-0.1239,-0.96,-0.92,-0.039999999999999925
-0.1238,-0.96,-0.96,0.0
-0.1237,-0.92,-0.92,0.0
-0.1236,-0.92,-0.92,0.0
-0.1235,-0.92,-0.92,0.0
-0.1234,-0.92,-0.88,-0.040000000000000036
-0.12329999999999999,-0.88,-0.88,0.0
-0.1232,-0.92,-0.88,-0.040000000000000036
-0.1231,-0.88,-0.88,0.0
-0.123,-0.88,-0.88,0.0
-0.1229,-0.84,-0.88,0.040000000000000036
-0.1228,-0.88,-0.88,0.0
-0.1227,-0.84,-0.84,0.0
-0.1226,-0.84,-0.84,0.0
-0.1225,-0.84,-0.8,-0.039999999999999925
-0.1224,-0.84,-0.84,0.0
-0.1223,-0.84,-0.8,-0.039999999999999925
-0.1222,-0.8,-0.84,0.039999999999999925
-0.1221,-0.84,-0.8,-0.039999999999999925
-0.122,-0.8,-0.8,0.0
-0.1219,-0.76,-0.8,0.040000000000000036
-0.1218,-0.76,-0.8,0.040000000000000036
-0.1217,-0.76,-0.76,0.0
-0.1216,-0.76,-0.76,0.0
-0.1215,-0.76,-0.76,0.0
-0.1214,-0.76,-0.76,0.0
-0.1213,-0.72,-0.72,0.0
-0.1212,-0.76,-0.72,-0.040000000000000036
-0.1211,-0.72,-0.72,0.0
-0.121,-0.72,-0.72,0.0
-0.1209,-0.72,-0.68,-0.039999999999999925
-0.1208,-0.72,-0.68,-0.039999999999999925
-0.1207,-0.68,-0.68,0.0
-0.1206,-0.68,-0.68,0.0
-0.1205,-0.64,-0.68,0.040000000000000036
-0.12040000000000001,-0.64,-0.68,0.040000000000000036
-0.1203,-0.64,-0.64,0.0
-0.1202,-0.64,-0.68,0.040000000000000036
-0.1201,-0.64,-0.64,0.0
-0.12,-0.64,-0.64,0.0
-0.1199,-0.64,-0.64,0.0
-0.1198,-0.64,-0.64,0.0
-0.1197,-0.6,-0.64,0.040000000000000036
-0.1196,-0.6,-0.6,0.0
-0.1195,-0.6,-0.6,0.0
-0.1194,-0.6,-0.6,0.0
-0.1193,-0.56,-0.6,0.039999999999999925
-0.1192,-0.56,-0.6,0.039999999999999925
-0.1191,-0.56,-0.56,0.0
-0.119,-0.56,-0.56,0.0
-0.1189,-0.52,-0.56,0.040000000000000036
-0.1188,-0.52,-0.56,0.040000000000000036
-0.1187,-0.56,-0.52,-0.040000000000000036
-0.1186,-0.52,-0.52,0.0
-0.1185,-0.52,-0.52,0.0
-0.1184,-0.52,-0.52,0.0
-0.1183,-0.48,-0.52,0.040000000000000036
-0.1182,-0.48,-0.52,0.040000000000000036
-0.1181,-0.48,-0.52,0.040000000000000036
-0.118,-0.48,-0.48,0.0
-0.1179,-0.48,-0.48,0.0
-0.1178,-0.44,-0.44,0.0
-0.1177,-0.44,-0.48,0.03999999999999998
-0.1176,-0.44,-0.44,0.0
-0.1175,-0.44,-0.44,0.0
-0.1174,-0.4,-0.4,0.0
-0.1173,-0.4,-0.44,0.03999999999999998
-0.1172,-0.4,-0.4,0.0
-0.1171,-0.44,-0.4,-0.03999999999999998
-0.11699999999999999,-0.4,-0.4,0.0
-0.1169,-0.4,-0.4,0.0
-0.1168,-0.4,-0.4,0.0
-0.1167,-0.36,-0.4,0.040000000000000036
-0.1166,-0.36,-0.4,0.040000000000000036
-0.11649999999999999,-0.4,-0.36,-0.040000000000000036
-0.1164,-0.32,-0.36,0.03999999999999998
-0.1163,-0.32,-0.36,0.03999999999999998
-0.1162,-0.32,-0.32,0.0
-0.1161,-0.32,-0.32,0.0
-0.11599999999999999,-0.32,-0.32,0.0
-0.1159,-0.32,-0.28,-0.03999999999999998
-0.1158,-0.32,-0.32,0.0
-0.1157,-0.32,-0.32,0.0
-0.1156,-0.28,-0.28,0.0
-0.1155,-0.28,-0.32,0.03999999999999998
-0.1154,-0.28,-0.28,0.0
-0.1153,-0.28,-0.24,-0.040000000000000036
-0.1152,-0.24,-0.28,0.040000000000000036
-0.1151,-0.24,-0.28,0.040000000000000036
-0.115,-0.24,-0.24,0.0
-0.1149,-0.24,-0.24,0.0
-0.1148,-0.24,-0.24,0.0
-0.1147,-0.2,-0.24,0.03999999999999998
-0.1146,-0.2,-0.24,0.03999999999999998
-0.1145,-0.2,-0.2,0.0
-0.1144,-0.2,-0.2,0.0
-0.1143,-0.16,-0.2,0.04000000000000001
-0.1142,-0.2,-0.16,-0.04000000000000001
-0.11410000000000001,-0.16,-0.16,0.0
-0.114,-0.16,-0.12,-0.04000000000000001
-0.1139,-0.16,-0.16,0.0
-0.1138,-0.12,-0.12,0.0
-0.1137,-0.12,-0.16,0.04000000000000001
-0.1136,-0.12,-0.12,0.0
-0.1135,-0.12,-0.12,0.0
-0.1134,-0.16,-0.12,-0.04000000000000001
-0.1133,-0.08,-0.08,0.0
-0.1132,-0.08,-0.08,0.0
-0.1131,-0.08,-0.08,0.0
-0.113,-0.08,-0.08,0.0
-0.1129,-0.08,-0.08,0.0
-0.1128,-0.04,-0.08,0.04
-0.1127,-0.04,-0.04,0.0
-0.1126,-0.04,-0.04,0.0
-0.1125,-0.04,-0.04,0.0
-0.1124,-0.04,-0.04,0.0
-0.1123,-0.04,-0.04,0.0
-0.1122,-0.04,-0.04,0.0
-0.1121,0.0,-0.04,0.04
-0.112,0.0,0.0,0.0
-0.1119,0.0,0.0,0.0
-0.1118,0.04,0.0,0.04
-0.1117,0.04,0.04,0.0
-0.1116,0.04,0.04,0.0
-0.1115,0.04,0.04,0.0
-0.1114,0.04,0.04,0.0
-0.1113,0.04,0.04,0.0
-0.1112,0.04,0.04,0.0
-0.1111,0.08,0.08,0.0
-0.111,0.08,0.08,0.0
-0.1109,0.08,0.08,0.0
-0.1108,0.08,0.08,0.0
-0.11069999999999999,0.12,0.12,0.0
-0.1106,0.12,0.12,0.0
-0.1105,0.12,0.12,0.0
-0.1104,0.16,0.16,0.0
-0.1103,0.12,0.12,0.0
-0.11019999999999999,0.16,0.12,0.04000000000000001
-0.1101,0.16,0.16,0.0
-0.11,0.16,0.16,0.0
-0.1099,0.16,0.16,0.0
-0.1098,0.2,0.16,0.04000000000000001
-0.10969999999999999,0.2,0.16,0.04000000000000001
-0.1096,0.2,0.2,0.0
-0.1095,0.2,0.2,0.0
-0.1094,0.2,0.24,-0.03999999999999998
-0.1093,0.24,0.24,0.0
-0.10919999999999999,0.24,0.24,0.0
-0.1091,0.24,0.24,0.0
-0.109,0.24,0.24,0.0
-0.1089,0.28,0.24,0.040000000000000036
-0.10880000000000001,0.28,0.28,0.0
-0.10869999999999999,0.28,0.24,0.040000000000000036
-0.1086,0.28,0.28,0.0
-0.1085,0.28,0.28,0.0
-0.1084,0.28,0.32,-0.03999999999999998
-0.10830000000000001,0.28,0.28,0.0
-0.10819999999999999,0.32,0.28,0.03999999999999998
-0.1081,0.32,0.32,0.0
-0.108,0.32,0.32,0.0
-0.1079,0.32,0.32,0.0
-0.1078,0.36,0.32,0.03999999999999998
-0.1077,0.36,0.32,0.03999999999999998
-0.1076,0.36,0.36,0.0
-0.1075,0.36,0.36,0.0
