Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.125,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1249,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1248,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1247,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1246,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1245,-1.8800000000000001,-1.8800000000000001,0.0
-0.1244,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1243,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1242,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1241,-1.9000000000000001,-1.8800000000000001,-0.020000000000000018
-0.124,-1.86,-1.84,-0.020000000000000018
-0.1239,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1238,-1.8800000000000001,-1.8800000000000001,0.0
-0.1237,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1236,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1235,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1234,-1.8800000000000001,-1.8800000000000001,0.0
-0.12329999999999999,-1.86,-1.84,-0.020000000000000018
-0.1232,-1.8800000000000001,-1.8800000000000001,0.0
-0.1231,-1.8800000000000001,-1.84,-0.040000000000000036
-0.123,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1229,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1228,-1.86,-1.84,-0.020000000000000018
-0.1227,-1.8800000000000001,-1.8800000000000001,0.0
-0.1226,-1.8800000000000001,-1.8800000000000001,0.0
-0.1225,-1.8800000000000001,-1.8800000000000001,0.0
-0.1224,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1223,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1222,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1221,-1.8800000000000001,-1.84,-0.040000000000000036
-0.122,-1.9000000000000001,-1.8800000000000001,-0.020000000000000018
-0.1219,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1218,-1.8800000000000001,-1.8800000000000001,0.0
-0.1217,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1216,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1215,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1214,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1213,-1.86,-1.84,-0.020000000000000018
-0.1212,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1211,-1.8800000000000001,-1.84,-0.040000000000000036
-0.121,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1209,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1208,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1207,-1.8800000000000001,-1.8800000000000001,0.0
-0.1206,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1205,-1.8800000000000001,-1.84,-0.040000000000000036
-0.12040000000000001,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1203,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1202,-1.86,-1.8800000000000001,0.020000000000000018
-0.1201,-1.8800000000000001,-1.84,-0.040000000000000036
-0.12,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1199,-1.8800000000000001,-1.8800000000000001,0.0
-0.1198,-1.8800000000000001,-1.8800000000000001,0.0
-0.1197,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1196,-1.86,-1.84,-0.020000000000000018
-0.1195,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1194,-1.8800000000000001,-1.8800000000000001,0.0
-0.1193,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1192,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1191,-1.9000000000000001,-1.84,-0.06000000000000005
-0.119,-1.8800000000000001,-1.8800000000000001,0.0
-0.1189,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1188,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1187,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1186,-1.86,-1.8800000000000001,0.020000000000000018
-0.1185,-1.86,-1.84,-0.020000000000000018
-0.1184,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1183,-1.86,-1.84,-0.020000000000000018
-0.1182,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1181,-1.8800000000000001,-1.84,-0.040000000000000036
-0.118,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1179,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1178,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1177,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1176,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1175,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1174,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1173,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1172,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1171,-1.8800000000000001,-1.8800000000000001,0.0
-0.11699999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1169,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1168,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1167,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1166,-1.8800000000000001,-1.84,-0.040000000000000036
-0.11649999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1164,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1163,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1162,-1.8800000000000001,-1.8800000000000001,0.0
-0.1161,-1.8800000000000001,-1.84,-0.040000000000000036
-0.11599999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1159,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1158,-1.8800000000000001,-1.8800000000000001,0.0
-0.1157,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1156,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1155,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1154,-1.8800000000000001,-1.8800000000000001,0.0
-0.1153,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1152,-1.8800000000000001,-1.8800000000000001,0.0
-0.1151,-1.8800000000000001,-1.84,-0.040000000000000036
-0.115,-1.9000000000000001,-1.8800000000000001,-0.020000000000000018
-0.1149,-1.8800000000000001,-1.8800000000000001,0.0
-0.1148,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1147,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1146,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1145,-1.86,-1.84,-0.020000000000000018
-0.1144,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1143,-1.86,-1.84,-0.020000000000000018
-0.1142,-1.8800000000000001,-1.8800000000000001,0.0
-0.11410000000000001,-1.8800000000000001,-1.84,-0.040000000000000036
-0.114,-1.86,-1.8800000000000001,0.020000000000000018
-0.1139,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1138,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1137,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1136,-1.8800000000000001,-1.8800000000000001,0.0
-0.1135,-1.8800000000000001,-1.8800000000000001,0.0
-0.1134,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1133,-1.8800000000000001,-1.8800000000000001,0.0
-0.1132,-1.86,-1.84,-0.020000000000000018
-0.1131,-1.8800000000000001,-1.84,-0.040000000000000036
-0.113,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1129,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1128,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1127,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1126,-1.86,-1.84,-0.020000000000000018
-0.1125,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1124,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1123,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1122,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1121,-1.8800000000000001,-1.84,-0.040000000000000036
-0.112,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1119,-1.8800000000000001,-1.8800000000000001,0.0
-0.1118,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1117,-1.8800000000000001,-1.8800000000000001,0.0
-0.1116,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1115,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1114,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1113,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1112,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1111,-1.8800000000000001,-1.8800000000000001,0.0
-0.111,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1109,-1.86,-1.8800000000000001,0.020000000000000018
-0.1108,-1.8800000000000001,-1.8800000000000001,0.0
-0.11069999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1106,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1105,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1104,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1103,-1.86,-1.84,-0.020000000000000018
-0.11019999999999999,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1101,-1.9000000000000001,-1.84,-0.06000000000000005
-0.11,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1099,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1098,-1.8800000000000001,-1.84,-0.040000000000000036
-0.10969999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1096,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1095,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1094,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1093,-1.8800000000000001,-1.84,-0.040000000000000036
-0.10919999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1091,-1.9000000000000001,-1.84,-0.06000000000000005
-0.109,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1089,-1.8800000000000001,-1.84,-0.040000000000000036
-0.10880000000000001,-1.8800000000000001,-1.84,-0.040000000000000036
-0.10869999999999999,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1086,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1085,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1084,-1.8800000000000001,-1.8800000000000001,0.0
-0.10830000000000001,-1.8800000000000001,-1.84,-0.040000000000000036
-0.10819999999999999,-1.86,-1.84,-0.020000000000000018
-0.1081,-1.8800000000000001,-1.8800000000000001,0.0
-0.108,-1.9000000000000001,-1.84,-0.06000000000000005
-0.1079,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1078,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1077,-1.8800000000000001,-1.84,-0.040000000000000036
-0.1076,-1.86,-1.8800000000000001,0.020000000000000018
