Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,1.94,0.198,1.742
-0.0002498,1.94,0.2,1.74
-0.0002496,1.9000000000000001,0.198,1.7020000000000002
-0.0002494,1.92,0.202,1.718
-0.0002492,1.92,0.2,1.72
-0.000249,1.94,0.20400000000000001,1.736
-0.00024880000000000003,1.92,0.20600000000000002,1.714
-0.0002486,1.9000000000000001,0.20800000000000002,1.6920000000000002
-0.0002484,-1.92,0.186,-2.106
-0.0002482,-1.92,0.20600000000000002,-2.126
-0.000248,-1.94,0.202,-2.142
-0.0002478,-1.92,0.2,-2.12
-0.0002476,-1.9000000000000001,0.198,-2.0980000000000003
-0.0002474,-1.9000000000000001,0.194,-2.0940000000000003
-0.0002472,-1.9000000000000001,0.192,-2.092
-0.000247,-1.86,0.188,-2.048
-0.0002468,-1.8800000000000001,0.188,-2.068
-0.00024660000000000003,-1.92,0.188,-2.108
-0.0002464,-1.9000000000000001,0.188,-2.088
-0.0002462,-1.9000000000000001,0.182,-2.0820000000000003
-0.000246,-1.9000000000000001,0.182,-2.0820000000000003
-0.0002458,-1.8800000000000001,0.18,-2.06
-0.0002456,-1.9000000000000001,0.178,-2.0780000000000003
-0.0002454,-1.8800000000000001,0.176,-2.056
-0.0002452,-1.86,0.17200000000000001,-2.032
-0.000245,-1.8800000000000001,0.17200000000000001,-2.052
-0.0002448,-1.92,0.17200000000000001,-2.092
-0.0002446,-1.9000000000000001,0.17,-2.0700000000000003
-0.00024440000000000003,-1.86,0.168,-2.028
-0.0002442,-1.92,0.166,-2.086
-0.000244,-1.9000000000000001,0.166,-2.0660000000000003
-0.00024380000000000002,-1.86,0.164,-2.024
-0.0002436,-1.9000000000000001,0.162,-2.0620000000000003
-0.0002434,-1.8800000000000001,0.16,-2.04
-0.0002432,-1.94,0.158,-2.098
-0.000243,-1.92,0.158,-2.078
-0.0002428,-1.8800000000000001,0.156,-2.036
-0.00024260000000000002,-1.8800000000000001,0.15,-2.0300000000000002
-0.0002424,-1.9000000000000001,0.15,-2.0500000000000003
-0.0002422,-1.9000000000000001,0.148,-2.048
-0.000242,-1.8800000000000001,0.14400000000000002,-2.024
-0.0002418,-1.9000000000000001,0.14400000000000002,-2.044
-0.00024160000000000002,-1.92,0.146,-2.066
-0.0002414,-1.92,0.14200000000000002,-2.062
-0.0002412,-1.8800000000000001,0.14,-2.02
