Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,-0.04,0.196,-0.23600000000000002
-0.0002498,-0.08,0.2,-0.28
-0.0002496,-0.04,0.202,-0.24200000000000002
-0.0002494,-0.04,0.2,-0.24000000000000002
-0.0002492,-0.08,0.198,-0.278
-0.000249,-0.08,0.198,-0.278
-0.00024880000000000003,-0.08,0.198,-0.278
-0.0002486,-0.16,0.198,-0.358
-0.0002484,-0.16,0.198,-0.358
-0.0002482,-0.16,0.2,-0.36
-0.000248,-0.16,0.198,-0.358
-0.0002478,-0.2,0.198,-0.398
-0.0002476,-0.2,0.198,-0.398
-0.0002474,-0.24,0.194,-0.434
-0.0002472,-0.24,0.196,-0.436
-0.000247,-0.2,0.196,-0.396
-0.0002468,-0.28,0.194,-0.47400000000000003
-0.00024660000000000003,-0.28,0.194,-0.47400000000000003
-0.0002464,-0.32,0.192,-0.512
-0.0002462,-0.32,0.194,-0.514
-0.000246,-0.36,0.196,-0.556
-0.0002458,-0.36,0.194,-0.554
-0.0002456,-0.36,0.19,-0.55
-0.0002454,-0.36,0.194,-0.554
-0.0002452,-0.36,0.19,-0.55
-0.000245,-0.4,0.19,-0.5900000000000001
-0.0002448,-0.4,0.188,-0.5880000000000001
-0.0002446,-0.44,0.19,-0.63
-0.00024440000000000003,-0.48,0.188,-0.6679999999999999
-0.0002442,-0.44,0.186,-0.626
-0.000244,-0.48,0.186,-0.6659999999999999
-0.00024380000000000002,-0.48,0.186,-0.6659999999999999
-0.0002436,-0.52,0.188,-0.708
-0.0002434,-0.52,0.186,-0.706
-0.0002432,-0.52,0.188,-0.708
-0.000243,-0.56,0.186,-0.746
-0.0002428,-0.6,0.182,-0.782
-0.00024260000000000002,-0.64,0.184,-0.8240000000000001
-0.0002424,-0.64,0.182,-0.8220000000000001
-0.0002422,-0.6,0.182,-0.782
-0.000242,-0.64,0.182,-0.8220000000000001
-0.0002418,-0.64,0.182,-0.8220000000000001
-0.00024160000000000002,-0.64,0.178,-0.8180000000000001
-0.0002414,-0.72,0.18,-0.8999999999999999
-0.0002412,-0.68,0.178,-0.8580000000000001
-0.000241,-0.72,0.182,-0.9019999999999999
-0.0002408,-0.72,0.176,-0.8959999999999999
-0.0002406,-0.72,0.17400000000000002,-0.894
-0.00024040000000000002,-0.72,0.17200000000000001,-0.892
-0.0002402,-0.8,0.17400000000000002,-0.9740000000000001
-0.00024,-0.76,0.17200000000000001,-0.932
-0.0002398,-0.84,0.17,-1.01
-0.0002396,-0.8,0.17400000000000002,-0.9740000000000001
-0.00023940000000000002,-0.8,0.17,-0.9700000000000001
-0.00023920000000000001,-0.88,0.17,-1.05
-0.000239,-0.88,0.168,-1.048
-0.0002388,-0.92,0.168,-1.088
-0.0002386,-0.96,0.168,-1.128
-0.0002384,-0.88,0.164,-1.044
-0.00023820000000000002,-0.88,0.162,-1.042
-0.000238,-0.96,0.164,-1.1239999999999999
-0.0002378,-1.0,0.164,-1.164
-0.0002376,-1.0,0.162,-1.162
-0.0002374,-0.96,0.164,-1.1239999999999999
-0.00023720000000000002,-1.04,0.158,-1.198
-0.00023700000000000001,-1.0,0.158,-1.158
-0.0002368,-1.08,0.154,-1.234
-0.0002366,-0.96,0.158,-1.1179999999999999
-0.0002364,-1.0,0.154,-1.154
-0.0002362,-1.08,0.152,-1.232
-0.00023600000000000002,-1.12,0.154,-1.274
-0.0002358,-1.12,0.152,-1.272
-0.0002356,-1.08,0.15,-1.23
-0.0002354,-1.16,0.15,-1.3099999999999998
-0.0002352,-1.2,0.15,-1.3499999999999999
-0.00023500000000000002,-1.16,0.15,-1.3099999999999998
-0.00023480000000000002,-1.2,0.148,-1.3479999999999999
-0.0002346,-1.2,0.14200000000000002,-1.342
-0.0002344,-1.24,0.14200000000000002,-1.3820000000000001
-0.0002342,-1.24,0.14400000000000002,-1.384
-0.000234,-1.2,0.14200000000000002,-1.342
-0.0002338,-1.24,0.14,-1.38
-0.0002336,-1.28,0.14,-1.42
-0.0002334,-1.32,0.138,-1.4580000000000002
-0.0002332,-1.28,0.136,-1.416
-0.000233,-1.28,0.136,-1.416
-0.00023280000000000002,-1.4000000000000001,0.134,-1.5340000000000003
-0.00023260000000000002,-1.4000000000000001,0.134,-1.5340000000000003
-0.0002324,-1.36,0.132,-1.492
-0.0002322,-1.36,0.132,-1.492
-0.000232,-1.4000000000000001,0.13,-1.5300000000000002
-0.0002318,-1.44,0.128,-1.568
-0.0002316,-1.4000000000000001,0.126,-1.5260000000000002
-0.00023140000000000001,-1.44,0.122,-1.5619999999999998
-0.0002312,-1.48,0.124,-1.604
-0.000231,-1.44,0.124,-1.564
-0.0002308,-1.48,0.12,-1.6
-0.0002306,-1.52,0.12,-1.6400000000000001
-0.00023040000000000002,-1.52,0.114,-1.6340000000000001
-0.0002302,-1.48,0.112,-1.592
-0.00023,-1.6400000000000001,0.114,-1.7540000000000002
-0.0002298,-1.56,0.114,-1.6740000000000002
-0.0002296,-1.52,0.11,-1.6300000000000001
-0.0002294,-1.6,0.108,-1.7080000000000002
-0.00022920000000000001,-1.6,0.108,-1.7080000000000002
-0.000229,-1.6,0.108,-1.7080000000000002
-0.0002288,-1.6,0.10400000000000001,-1.7040000000000002
-0.0002286,-1.68,0.10200000000000001,-1.782
-0.0002284,-1.6400000000000001,0.1,-1.7400000000000002
-0.00022820000000000002,-1.6,0.1,-1.7000000000000002
-0.000228,-1.68,0.098,-1.778
-0.0002278,-1.76,0.098,-1.858
-0.0002276,-1.72,0.096,-1.816
-0.0002274,-1.72,0.094,-1.814
-0.0002272,-1.72,0.092,-1.812
-0.00022700000000000002,-1.76,0.092,-1.852
-0.0002268,-1.8,0.09,-1.8900000000000001
-0.0002266,-1.84,0.088,-1.9280000000000002
-0.0002264,-1.76,0.08600000000000001,-1.846
-0.0002262,-1.76,0.084,-1.844
-0.00022600000000000002,-1.76,0.084,-1.844
-0.0002258,-1.72,0.084,-1.804
-0.0002256,-1.68,0.08,-1.76
-0.0002254,-1.68,0.08,-1.76
-0.0002252,-1.6400000000000001,0.076,-1.7160000000000002
-0.000225,-1.68,0.076,-1.756
-0.00022480000000000002,-1.6,0.07,-1.6700000000000002
-0.0002246,-1.6400000000000001,0.07,-1.7100000000000002
-0.0002244,-1.6,0.07,-1.6700000000000002
-0.0002242,-1.6,0.07,-1.6700000000000002
-0.000224,-1.6,0.066,-1.6660000000000001
-0.00022380000000000002,-1.56,0.068,-1.6280000000000001
-0.00022360000000000001,-1.56,0.062,-1.622
-0.0002234,-1.56,0.066,-1.6260000000000001
-0.0002232,-1.48,0.062,-1.542
-0.000223,-1.56,0.06,-1.62
-0.0002228,-1.48,0.062,-1.542
-0.00022260000000000002,-1.48,0.06,-1.54
-0.0002224,-1.48,0.056,-1.536
-0.0002222,-1.44,0.058,-1.498
-0.000222,-1.44,0.054,-1.494
-0.0002218,-1.36,0.052000000000000005,-1.4120000000000001
-0.00022160000000000002,-1.4000000000000001,0.052000000000000005,-1.4520000000000002
-0.00022140000000000001,-1.36,0.052000000000000005,-1.4120000000000001
-0.0002212,-1.32,0.052000000000000005,-1.372
-0.000221,-1.36,0.046,-1.4060000000000001
-0.0002208,-1.32,0.048,-1.368
-0.0002206,-1.32,0.044,-1.364
-0.00022040000000000002,-1.32,0.044,-1.364
-0.0002202,-1.24,0.044,-1.284
-0.00022,-1.28,0.042,-1.322
-0.0002198,-1.28,0.042,-1.322
-0.0002196,-1.24,0.04,-1.28
-0.00021940000000000002,-1.24,0.04,-1.28
-0.00021920000000000002,-1.2,0.038,-1.238
-0.000219,-1.2,0.038,-1.238
-0.0002188,-1.16,0.036000000000000004,-1.196
-0.0002186,-1.16,0.036000000000000004,-1.196
-0.0002184,-1.12,0.032,-1.1520000000000001
-0.0002182,-1.08,0.032,-1.112
-0.000218,-1.16,0.034,-1.194
-0.0002178,-1.12,0.032,-1.1520000000000001
-0.0002176,-1.12,0.032,-1.1520000000000001
-0.0002174,-1.08,0.03,-1.11
-0.00021720000000000002,-1.04,0.028,-1.068
-0.00021700000000000002,-1.08,0.024,-1.104
-0.0002168,-0.96,0.026000000000000002,-0.986
-0.0002166,-1.04,0.026000000000000002,-1.066
-0.0002164,-1.0,0.024,-1.024
-0.0002162,-0.96,0.026000000000000002,-0.986
-0.000216,-0.96,0.026000000000000002,-0.986
-0.00021580000000000001,-0.92,0.02,-0.9400000000000001
-0.0002156,-0.96,0.02,-0.98
-0.0002154,-0.92,0.022,-0.9420000000000001
-0.0002152,-0.88,0.02,-0.9
-0.00021500000000000002,-0.92,0.018000000000000002,-0.9380000000000001
-0.00021480000000000002,-0.88,0.02,-0.9
-0.0002146,-0.88,0.014,-0.894
-0.0002144,-0.92,0.016,-0.936
-0.0002142,-0.84,0.018000000000000002,-0.858
-0.000214,-0.84,0.012,-0.852
-0.0002138,-0.84,0.016,-0.856
-0.00021360000000000001,-0.8,0.014,-0.8140000000000001
-0.0002134,-0.76,0.014,-0.774
-0.0002132,-0.76,0.012,-0.772
-0.000213,-0.8,0.014,-0.8140000000000001
-0.00021280000000000002,-0.76,0.01,-0.77
-0.00021260000000000002,-0.68,0.01,-0.6900000000000001
-0.0002124,-0.68,0.01,-0.6900000000000001
-0.0002122,-0.6,0.01,-0.61
-0.000212,-0.68,0.006,-0.686
-0.0002118,-0.68,0.006,-0.686
-0.0002116,-0.6,0.01,-0.61
-0.00021140000000000002,-0.64,0.008,-0.648
-0.0002112,-0.64,0.008,-0.648
-0.000211,-0.64,0.004,-0.644
-0.0002108,-0.56,0.004,-0.5640000000000001
-0.00021060000000000002,-0.52,0.008,-0.528
-0.00021040000000000002,-0.56,0.004,-0.5640000000000001
-0.00021020000000000001,-0.52,0.004,-0.524
-0.00021,-0.56,0.002,-0.562
-0.0002098,-0.48,0.002,-0.482
-0.0002096,-0.56,0.0,-0.56
-0.0002094,-0.52,0.004,-0.524
-0.00020920000000000002,-0.4,0.004,-0.404
-0.000209,-0.4,0.002,-0.402
-0.0002088,-0.48,0.002,-0.482
-0.0002086,-0.4,0.002,-0.402
-0.00020840000000000002,-0.36,0.0,-0.36
-0.00020820000000000002,-0.36,0.002,-0.362
-0.00020800000000000001,-0.32,0.0,-0.32
-0.0002078,-0.36,0.0,-0.36
-0.0002076,-0.32,0.0,-0.32
-0.0002074,-0.32,-0.002,-0.318
-0.0002072,-0.28,-0.002,-0.278
-0.00020700000000000002,-0.28,-0.002,-0.278
-0.0002068,-0.28,-0.002,-0.278
-0.0002066,-0.28,-0.004,-0.276
-0.0002064,-0.24,-0.002,-0.238
-0.0002062,-0.24,-0.002,-0.238
-0.00020600000000000002,-0.24,-0.002,-0.238
-0.00020580000000000002,-0.2,-0.002,-0.198
-0.0002056,-0.16,-0.002,-0.158
-0.0002054,-0.2,-0.006,-0.194
-0.0002052,-0.2,-0.002,-0.198
-0.000205,-0.12,-0.002,-0.118
-0.0002048,-0.16,-0.002,-0.158
-0.0002046,-0.12,-0.006,-0.11399999999999999
-0.0002044,-0.12,-0.002,-0.118
-0.0002042,-0.08,-0.004,-0.076
-0.000204,-0.04,-0.002,-0.038
-0.00020380000000000002,-0.04,-0.004,-0.036000000000000004
-0.00020360000000000002,-0.04,-0.004,-0.036000000000000004
