Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,0.02,0.13,-0.11
-0.0002498,0.02,0.13,-0.11
-0.0002496,0.0,0.132,-0.132
-0.0002494,-0.02,0.132,-0.152
-0.0002492,-0.08,0.134,-0.21400000000000002
-0.000249,-0.08,0.132,-0.21200000000000002
-0.00024880000000000003,-0.1,0.13,-0.23
-0.0002486,-0.1,0.128,-0.228
-0.0002484,-0.14,0.13,-0.27
-0.0002482,-0.2,0.128,-0.328
-0.000248,-0.2,0.128,-0.328
-0.0002478,-0.2,0.13,-0.33
-0.0002476,-0.24,0.126,-0.366
-0.0002474,-0.3,0.126,-0.426
-0.0002472,-0.3,0.128,-0.428
-0.000247,-0.3,0.124,-0.424
-0.0002468,-0.38,0.126,-0.506
-0.00024660000000000003,-0.36,0.126,-0.486
-0.0002464,-0.38,0.126,-0.506
-0.0002462,-0.4,0.128,-0.528
-0.000246,-0.42,0.124,-0.544
-0.0002458,-0.48,0.124,-0.604
-0.0002456,-0.48,0.122,-0.602
-0.0002454,-0.5,0.122,-0.622
-0.0002452,-0.54,0.122,-0.662
-0.000245,-0.56,0.12,-0.68
-0.0002448,-0.58,0.122,-0.702
-0.0002446,-0.6,0.122,-0.722
-0.00024440000000000003,-0.62,0.12,-0.74
-0.0002442,-0.66,0.11800000000000001,-0.778
-0.000244,-0.68,0.11800000000000001,-0.798
-0.00024380000000000002,-0.68,0.11800000000000001,-0.798
-0.0002436,-0.7000000000000001,0.114,-0.8140000000000001
-0.0002434,-0.74,0.114,-0.854
-0.0002432,-0.78,0.116,-0.896
-0.000243,-0.78,0.112,-0.892
-0.0002428,-0.8200000000000001,0.112,-0.932
-0.00024260000000000002,-0.8200000000000001,0.112,-0.932
-0.0002424,-0.84,0.112,-0.952
-0.0002422,-0.86,0.112,-0.972
-0.000242,-0.88,0.11,-0.99
-0.0002418,-0.9,0.108,-1.008
-0.00024160000000000002,-0.9400000000000001,0.106,-1.046
-0.0002414,-0.9400000000000001,0.106,-1.046
-0.0002412,-0.98,0.106,-1.086
-0.000241,-0.98,0.106,-1.086
-0.0002408,-1.0,0.106,-1.106
-0.0002406,-1.0,0.10400000000000001,-1.104
-0.00024040000000000002,-1.02,0.1,-1.12
-0.0002402,-1.1,0.10200000000000001,-1.2020000000000002
-0.00024,-1.06,0.10200000000000001,-1.1620000000000001
-0.0002398,-1.1,0.10200000000000001,-1.2020000000000002
-0.0002396,-1.1400000000000001,0.096,-1.2360000000000002
-0.00023940000000000002,-1.1400000000000001,0.096,-1.2360000000000002
-0.00023920000000000001,-1.18,0.096,-1.276
-0.000239,-1.16,0.096,-1.256
-0.0002388,-1.18,0.092,-1.272
-0.0002386,-1.22,0.09,-1.31
-0.0002384,-1.24,0.09,-1.33
-0.00023820000000000002,-1.28,0.092,-1.372
-0.000238,-1.28,0.088,-1.368
-0.0002378,-1.3,0.088,-1.3880000000000001
-0.0002376,-1.34,0.088,-1.4280000000000002
-0.0002374,-1.3,0.082,-1.3820000000000001
-0.00023720000000000002,-1.32,0.084,-1.4040000000000001
-0.00023700000000000001,-1.36,0.082,-1.4420000000000002
-0.0002368,-1.34,0.08,-1.4200000000000002
-0.0002366,-1.3800000000000001,0.082,-1.4620000000000002
-0.0002364,-1.42,0.076,-1.496
-0.0002362,-1.44,0.078,-1.518
-0.00023600000000000002,-1.46,0.076,-1.536
-0.0002358,-1.48,0.07200000000000001,-1.552
-0.0002356,-1.48,0.074,-1.554
-0.0002354,-1.5,0.07,-1.57
-0.0002352,-1.52,0.07,-1.59
-0.00023500000000000002,-1.52,0.068,-1.588
-0.00023480000000000002,-1.5,0.066,-1.566
-0.0002346,-1.56,0.066,-1.6260000000000001
