Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-5e-05,1.92,0.041600000000000005,1.8783999999999998
-4.996e-05,1.9000000000000001,0.0408,1.8592000000000002
-4.992e-05,1.92,0.041600000000000005,1.8783999999999998
-4.9880000000000004e-05,1.92,0.0424,1.8776
-4.9840000000000004e-05,1.92,0.0424,1.8776
-4.9800000000000004e-05,1.94,0.0424,1.8976
-4.9760000000000005e-05,1.94,0.0432,1.8968
-4.9720000000000005e-05,-2.02,0.0944,-2.1144
-4.9680000000000005e-05,-1.9000000000000001,0.024800000000000003,-1.9248
-4.964e-05,-1.8800000000000001,-0.0488,-1.8312000000000002
-4.96e-05,-1.92,0.0536,-1.9736
-4.956e-05,-1.9000000000000001,0.08800000000000001,-1.9880000000000002
-4.952e-05,-1.92,0.033600000000000005,-1.9536
-4.948e-05,-1.92,0.0176,-1.9376
-4.944e-05,-1.9000000000000001,0.0448,-1.9448
-4.94e-05,-1.8800000000000001,0.0512,-1.9312
-4.936e-05,-1.92,0.036000000000000004,-1.956
-4.932e-05,-1.92,0.0328,-1.9527999999999999
-4.928e-05,-1.8800000000000001,0.0432,-1.9232
-4.924e-05,-1.9000000000000001,0.041600000000000005,-1.9416000000000002
-4.92e-05,-1.8800000000000001,0.0368,-1.9168
-4.9160000000000004e-05,-1.9000000000000001,0.0392,-1.9392
-4.9120000000000004e-05,-1.86,0.04,-1.9000000000000001
-4.9080000000000004e-05,-1.9000000000000001,0.0376,-1.9376000000000002
-4.9040000000000005e-05,-1.92,0.036000000000000004,-1.956
-4.9000000000000005e-05,-1.9000000000000001,0.0368,-1.9368
-4.8960000000000006e-05,-1.92,0.0368,-1.9567999999999999
-4.892e-05,-1.8800000000000001,0.0352,-1.9152
-4.888e-05,-1.92,0.036000000000000004,-1.956
-4.884e-05,-1.9000000000000001,0.0352,-1.9352
-4.88e-05,-1.86,0.0344,-1.8944
-4.876e-05,-1.92,0.0344,-1.9544
-4.872e-05,-1.8800000000000001,0.0328,-1.9128
-4.868e-05,-1.8800000000000001,0.036000000000000004,-1.9160000000000001
-4.864e-05,-1.9000000000000001,0.0328,-1.9328
-4.86e-05,-1.8800000000000001,0.032,-1.9120000000000001
-4.856e-05,-1.8800000000000001,0.032,-1.9120000000000001
-4.852e-05,-1.86,0.033600000000000005,-1.8936000000000002
-4.8480000000000003e-05,-1.92,0.0328,-1.9527999999999999
-4.8440000000000004e-05,-1.9000000000000001,0.032,-1.9320000000000002
-4.8400000000000004e-05,-1.9000000000000001,0.032,-1.9320000000000002
-4.8360000000000005e-05,-1.8800000000000001,0.028800000000000003,-1.9088
-4.8320000000000005e-05,-1.9000000000000001,0.0304,-1.9304000000000001
-4.8280000000000005e-05,-1.92,0.031200000000000002,-1.9511999999999998
-4.824e-05,-1.92,0.032,-1.952
-4.82e-05,-1.92,0.028,-1.948
-4.816e-05,-1.9000000000000001,0.0304,-1.9304000000000001
