Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-2.5e-05,-1.6,0.0964,-1.6964000000000001
-2.498e-05,-1.6400000000000001,0.0956,-1.7356
-2.496e-05,-1.6,0.0956,-1.6956
-2.4940000000000002e-05,-1.52,0.0964,-1.6164
-2.4920000000000002e-05,-1.52,0.0944,-1.6144
-2.4900000000000002e-05,-1.52,0.0952,-1.6152
-2.4880000000000002e-05,-1.52,0.0956,-1.6156
-2.4860000000000003e-05,-1.56,0.094,-1.6540000000000001
-2.4840000000000003e-05,-1.48,0.0944,-1.5744
-2.482e-05,-1.52,0.0944,-1.6144
-2.48e-05,-1.52,0.09480000000000001,-1.6148
-2.478e-05,-1.52,0.0932,-1.6132
-2.476e-05,-1.48,0.09240000000000001,-1.5724
-2.474e-05,-1.48,0.0936,-1.5735999999999999
-2.472e-05,-1.48,0.0952,-1.5752
-2.47e-05,-1.4000000000000001,0.0952,-1.4952
-2.468e-05,-1.48,0.0916,-1.5715999999999999
-2.466e-05,-1.4000000000000001,0.0936,-1.4936
-2.464e-05,-1.4000000000000001,0.0936,-1.4936
-2.462e-05,-1.48,0.0916,-1.5715999999999999
-2.46e-05,-1.44,0.09240000000000001,-1.5324
-2.4580000000000002e-05,-1.4000000000000001,0.09240000000000001,-1.4924000000000002
-2.4560000000000002e-05,-1.4000000000000001,0.0932,-1.4932
-2.4540000000000002e-05,-1.4000000000000001,0.092,-1.4920000000000002
-2.4520000000000002e-05,-1.4000000000000001,0.0912,-1.4912
-2.4500000000000003e-05,-1.36,0.0932,-1.4532
-2.4480000000000003e-05,-1.44,0.092,-1.532
-2.446e-05,-1.36,0.09240000000000001,-1.4524000000000001
-2.444e-05,-1.4000000000000001,0.09240000000000001,-1.4924000000000002
-2.442e-05,-1.32,0.0916,-1.4116
-2.44e-05,-1.4000000000000001,0.0916,-1.4916
-2.438e-05,-1.4000000000000001,0.0916,-1.4916
-2.436e-05,-1.32,0.0916,-1.4116
-2.434e-05,-1.36,0.092,-1.4520000000000002
-2.432e-05,-1.32,0.0916,-1.4116
-2.43e-05,-1.32,0.0908,-1.4108
-2.428e-05,-1.32,0.0892,-1.4092
-2.426e-05,-1.28,0.0912,-1.3712
-2.4240000000000002e-05,-1.28,0.09040000000000001,-1.3704
-2.4220000000000002e-05,-1.28,0.0908,-1.3708
-2.4200000000000002e-05,-1.28,0.0916,-1.3716
-2.4180000000000002e-05,-1.28,0.0896,-1.3696
-2.4160000000000002e-05,-1.28,0.0908,-1.3708
-2.4140000000000003e-05,-1.24,0.0896,-1.3296
-2.412e-05,-1.28,0.0892,-1.3692
-2.41e-05,-1.28,0.0896,-1.3696
-2.408e-05,-1.2,0.092,-1.292
-2.406e-05,-1.24,0.0908,-1.3308
-2.404e-05,-1.16,0.0884,-1.2484
-2.402e-05,-1.2,0.0912,-1.2912
-2.4e-05,-1.24,0.0892,-1.3292
-2.398e-05,-1.16,0.0872,-1.2471999999999999
-2.396e-05,-1.16,0.0884,-1.2484
-2.394e-05,-1.16,0.0896,-1.2495999999999998
-2.392e-05,-1.2,0.0888,-1.2888
-2.39e-05,-1.12,0.0896,-1.2096
-2.3880000000000002e-05,-1.16,0.08800000000000001,-1.248
-2.3860000000000002e-05,-1.2,0.0884,-1.2884
-2.3840000000000002e-05,-1.16,0.0896,-1.2495999999999998
-2.3820000000000002e-05,-1.12,0.0876,-1.2076
-2.3800000000000003e-05,-1.12,0.08800000000000001,-1.2080000000000002
-2.3780000000000003e-05,-1.12,0.0884,-1.2084000000000001
-2.3760000000000003e-05,-1.16,0.0884,-1.2484
-2.374e-05,-1.12,0.0888,-1.2088
-2.372e-05,-1.12,0.0884,-1.2084000000000001
-2.37e-05,-1.12,0.0888,-1.2088
-2.368e-05,-1.08,0.0848,-1.1648
-2.366e-05,-1.0,0.0872,-1.0872
-2.364e-05,-1.04,0.0896,-1.1296
-2.362e-05,-1.04,0.0864,-1.1264
-2.36e-05,-1.04,0.0872,-1.1272
-2.358e-05,-1.04,0.08800000000000001,-1.1280000000000001
-2.356e-05,-1.0,0.0868,-1.0868
-2.354e-05,-1.04,0.0864,-1.1264
-2.3520000000000002e-05,-1.04,0.0864,-1.1264
-2.3500000000000002e-05,-1.0,0.0876,-1.0876
-2.3480000000000002e-05,-0.96,0.0864,-1.0464
-2.3460000000000002e-05,-1.0,0.08560000000000001,-1.0856
-2.3440000000000003e-05,-1.04,0.0872,-1.1272
-2.3420000000000003e-05,-0.96,0.0852,-1.0452
-2.34e-05,-0.96,0.08560000000000001,-1.0455999999999999
-2.338e-05,-0.96,0.0872,-1.0472
-2.336e-05,-1.0,0.0864,-1.0864
-2.334e-05,-0.92,0.0848,-1.0048000000000001
-2.332e-05,-0.96,0.0868,-1.0468
-2.33e-05,-0.92,0.0844,-1.0044
-2.328e-05,-0.88,0.0864,-0.9664
-2.326e-05,-0.92,0.0852,-1.0052
-2.324e-05,-0.88,0.082,-0.962
-2.322e-05,-0.88,0.0864,-0.9664
-2.32e-05,-0.92,0.0852,-1.0052
-2.318e-05,-0.88,0.0844,-0.9644
-2.3160000000000002e-05,-0.88,0.0868,-0.9668
-2.3140000000000002e-05,-0.88,0.08320000000000001,-0.9632000000000001
-2.3120000000000002e-05,-0.84,0.084,-0.9239999999999999
-2.3100000000000002e-05,-0.88,0.0868,-0.9668
-2.3080000000000003e-05,-0.84,0.0828,-0.9228
-2.306e-05,-0.88,0.0848,-0.9648
-2.3040000000000003e-05,-0.84,0.08560000000000001,-0.9256
-2.302e-05,-0.84,0.08320000000000001,-0.9232
-2.3e-05,-0.84,0.08600000000000001,-0.9259999999999999
