Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-5e-05,0.04,0.025400000000000002,0.014599999999999998
-4.996e-05,-0.02,0.025400000000000002,-0.0454
-4.992e-05,-0.02,0.025400000000000002,-0.0454
-4.9880000000000004e-05,-0.06,0.025400000000000002,-0.0854
-4.9840000000000004e-05,-0.06,0.025400000000000002,-0.0854
-4.9800000000000004e-05,-0.12,0.025400000000000002,-0.1454
-4.9760000000000005e-05,-0.14,0.025400000000000002,-0.16540000000000002
-4.9720000000000005e-05,-0.16,0.025400000000000002,-0.1854
-4.9680000000000005e-05,-0.16,0.025400000000000002,-0.1854
-4.964e-05,-0.22,0.025400000000000002,-0.2454
-4.96e-05,-0.2,0.025400000000000002,-0.22540000000000002
-4.956e-05,-0.22,0.025400000000000002,-0.2454
-4.952e-05,-0.26,0.025400000000000002,-0.2854
-4.948e-05,-0.3,0.025400000000000002,-0.32539999999999997
-4.944e-05,-0.32,0.025400000000000002,-0.3454
-4.94e-05,-0.34,0.025400000000000002,-0.3654
-4.936e-05,-0.38,0.025400000000000002,-0.4054
-4.932e-05,-0.38,0.025400000000000002,-0.4054
-4.928e-05,-0.4,0.025400000000000002,-0.4254
-4.924e-05,-0.42,0.025400000000000002,-0.44539999999999996
-4.92e-05,-0.46,0.025400000000000002,-0.4854
-4.9160000000000004e-05,-0.48,0.0246,-0.5045999999999999
-4.9120000000000004e-05,-0.48,0.025400000000000002,-0.5054
-4.9080000000000004e-05,-0.52,0.025400000000000002,-0.5454
-4.9040000000000005e-05,-0.54,0.025400000000000002,-0.5654
-4.9000000000000005e-05,-0.6,0.025400000000000002,-0.6254
-4.8960000000000006e-05,-0.62,0.0246,-0.6446
-4.892e-05,-0.62,0.024800000000000003,-0.6448
-4.888e-05,-0.64,0.025,-0.665
-4.884e-05,-0.64,0.025400000000000002,-0.6654
-4.88e-05,-0.64,0.025,-0.665
-4.876e-05,-0.7000000000000001,0.024800000000000003,-0.7248000000000001
-4.872e-05,-0.76,0.0236,-0.7836
-4.868e-05,-0.74,0.0238,-0.7638
-4.864e-05,-0.78,0.025400000000000002,-0.8054
-4.86e-05,-0.78,0.025400000000000002,-0.8054
-4.856e-05,-0.8200000000000001,0.0244,-0.8444
-4.852e-05,-0.8200000000000001,0.023200000000000002,-0.8432000000000001
-4.8480000000000003e-05,-0.84,0.0236,-0.8635999999999999
-4.8440000000000004e-05,-0.9,0.0244,-0.9244
-4.8400000000000004e-05,-0.9,0.0244,-0.9244
-4.8360000000000005e-05,-0.92,0.022600000000000002,-0.9426
-4.8320000000000005e-05,-0.9400000000000001,0.0234,-0.9634
-4.8280000000000005e-05,-0.92,0.0238,-0.9438000000000001
-4.824e-05,-0.96,0.0224,-0.9823999999999999
-4.82e-05,-1.0,0.020800000000000003,-1.0208
-4.816e-05,-1.04,0.023,-1.063
-4.812e-05,-1.06,0.022600000000000002,-1.0826
-4.808e-05,-1.06,0.0212,-1.0812000000000002
-4.804e-05,-1.06,0.0218,-1.0818
-4.8e-05,-1.1,0.021,-1.121
-4.796e-05,-1.1400000000000001,0.0212,-1.1612000000000002
-4.792e-05,-1.1400000000000001,0.023,-1.163
-4.788e-05,-1.2,0.02,-1.22
-4.784e-05,-1.18,0.0222,-1.2022
-4.78e-05,-1.2,0.0216,-1.2216
-4.7760000000000004e-05,-1.2,0.0204,-1.2204
-4.7720000000000004e-05,-1.22,0.0188,-1.2388
-4.7680000000000004e-05,-1.28,0.0212,-1.3012000000000001
-4.7640000000000005e-05,-1.28,0.02,-1.3
-4.7600000000000005e-05,-1.28,0.0194,-1.2994
-4.7560000000000005e-05,-1.3,0.019,-1.319
-4.7520000000000006e-05,-1.34,0.0188,-1.3588
-4.748e-05,-1.36,0.02,-1.3800000000000001
-4.744e-05,-1.34,0.018600000000000002,-1.3586
-4.74e-05,-1.3800000000000001,0.018000000000000002,-1.3980000000000001
-4.736e-05,-1.36,0.0178,-1.3778000000000001
-4.732e-05,-1.42,0.0182,-1.4382
-4.728e-05,-1.42,0.017,-1.4369999999999998
-4.724e-05,-1.44,0.0162,-1.4562
-4.72e-05,-1.46,0.016800000000000002,-1.4768
-4.716e-05,-1.48,0.016800000000000002,-1.4968
-4.712e-05,-1.5,0.0172,-1.5172
-4.708e-05,-1.5,0.016800000000000002,-1.5168
-4.7040000000000004e-05,-1.52,0.0166,-1.5366
-4.7000000000000004e-05,-1.5,0.0148,-1.5148
-4.6960000000000004e-05,-1.54,0.0152,-1.5552000000000001
-4.6920000000000005e-05,-1.54,0.0146,-1.5546
-4.6880000000000005e-05,-1.56,0.0122,-1.5722
-4.6840000000000006e-05,-1.6,0.014400000000000001,-1.6144
-4.68e-05,-1.62,0.015000000000000001,-1.635
-4.676e-05,-1.62,0.013600000000000001,-1.6336000000000002
-4.672e-05,-1.58,0.0146,-1.5946
-4.668e-05,-1.6,0.0128,-1.6128
-4.664e-05,-1.62,0.0126,-1.6326
-4.66e-05,-1.6600000000000001,0.0126,-1.6726
-4.656e-05,-1.6600000000000001,0.0122,-1.6722000000000001
-4.652e-05,-1.6600000000000001,0.0122,-1.6722000000000001
-4.648e-05,-1.68,0.0108,-1.6907999999999999
-4.644e-05,-1.68,0.0112,-1.6912
-4.64e-05,-1.68,0.010400000000000001,-1.6904
-4.636e-05,-1.7,0.0114,-1.7114
-4.6320000000000004e-05,-1.72,0.010400000000000001,-1.7304
-4.6280000000000004e-05,-1.76,0.008400000000000001,-1.7684
-4.6240000000000005e-05,-1.72,0.010400000000000001,-1.7304
-4.6200000000000005e-05,-1.74,0.0102,-1.7502
