frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3060834408,0.0462552384,88.1999816895,0.00019574659966809278,-37.08305773373264
19.306977288832496,3.7841956615,0.1085267216,89.5135116577,0.0008224816188578628,-30.848737990531276
37.2759372031494,3.9600057602,0.2152846903,86.3785400391,0.0029555251405529283,-25.29365342064723
71.96856730011521,3.9961102009,0.4149053991,84.172668457,0.010780111677691597,-19.673767400069806
138.94954943731375,4.0084042549,0.7852283716,78.4999923706,0.03837504847281326,-14.159510629424567
268.26957952797244,3.9960715771,1.4582749605,67.9828338623,0.13317181543258824,-8.755876798000543
517.9474679231213,3.9591832161,2.3489282131,53.6645927429,0.3519883495902963,-4.534717109320411
1000.0,3.8982737064,3.1974523067,34.9199981689,0.6727651605661016,-1.721365067548226
1930.6977288832495,3.9098238945,3.6434152126,18.9034748077,0.8683662620429585,-0.6129705819459307
3727.593720314938,3.8973443508,3.7904191017,10.7222633362,0.9458818772676721,-0.24163095367664297
7196.856730011514,3.9093329906,3.8478572369,5.1798563004,0.9687965241135864,-0.1376742804109538
13894.95494373136,3.8732464314,3.8601408005,3.0,0.9932441899414166,-0.02943966704275685
26826.957952797275,3.8857607841,3.8482625484,1.5450644493,0.9807927941640425,-0.08422733553932793
51794.74679231202,3.8720238209,3.8601024151,-0.0,0.9938517663105568,-0.026783860997304787
100000.0,3.883030653,3.8713829517,1.0821642876,0.9940097141263594,-0.026093713664091092
