frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.30919981,0.049780082,90.7492446899,0.00022628993301860255,-36.4533476611473
14.677992676220699,3.6430883408,0.0791476443,89.4186782837,0.0004719941127031967,-33.26063418392312
21.544346900318832,3.8336522579,0.1226459965,87.7519454956,0.0010234846169196224,-29.899186804437118
31.622776601683793,3.9398143291,0.1806778312,89.3164596558,0.0021030917841374295,-26.77141773212597
46.41588833612777,3.9757339954,0.2672469616,86.2395401001,0.004518464909904754,-23.450090860720078
68.12920690579611,3.9879698753,0.3918988705,85.5275726318,0.009657045675219512,-20.151557144941876
100.0,4.0002384186,0.5701137781,82.4400100708,0.020311936054874746,-16.922486793585737
146.7799267622069,4.0374708176,0.8341682553,77.7921295166,0.042686301192590356,-13.697114755835543
215.44346900318823,4.0001993179,1.1997778416,72.6206893921,0.08995771400996165,-10.45961589313257
316.22776601683796,4.0125055313,1.6639970541,64.7088623047,0.17197836587176826,-7.645261820078505
464.15888336127773,3.9510753155,2.209302187,55.8217430115,0.3126652589606041,-5.049203716508902
681.2920690579608,3.9386146069,2.7457900047,44.386920929,0.4860127527485238,-3.1335233490303747
1000.0,3.8780224323,3.1738512516,33.4799995422,0.6698113523498208,-1.740474960599574
1467.799267622069,3.9130725861,3.4961214066,25.3819026947,0.798246831159442,-0.9786279682572387
2154.4346900318824,3.9010331631,3.6737844944,18.0000038147,0.886886550732078,-0.5213193094865619
3162.2776601683795,3.8890318871,3.7546303272,12.2882432938,0.9320760728012705,-0.30548640597140014
4641.588833612777,3.9009952545,3.8129694462,8.6827459335,0.9553792542015943,-0.19824193535805107
6812.920690579608,3.8889939785,3.8481640816,5.6326532364,0.9791125602160842,-0.0916737819613163
10000.0,3.9009571075,3.835442543,3.9719157219,0.9666930852947965,-0.14711387881772142
14677.992676220676,3.8892543316,3.8714432716,3.7983586788,0.9908618593144113,-0.03986888319252352
21544.346900318822,3.8768398762,3.8596787453,1.5503875017,0.9911664402391414,-0.03853411096980303
31622.776601683792,3.8649084568,3.8234603405,1.8181817532,0.9786665751762534,-0.09365244075544503
46415.888336127726,3.8768014908,3.8596401215,1.3395348787,0.991166230525813,-0.038535029860387204
68129.20690579608,3.8891777992,3.8710720539,0.8588957191,0.9907108384684876,-0.04053085759535394
100000.0,3.8749673367,3.8829824924,0.3603603542,1.0041411678891974,0.017947726950102237
