frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3136892319,3.2999725342,-1.0800000429,0.9917383271230512,-0.036029025209465146
16.237767391887218,3.7138631344,3.6959717274,-1.6363636255,0.9903882772534343,-0.041945088270637844
26.366508987303583,3.9092552662,3.8665578365,-1.8987342119,0.9782750149705126,-0.09539038163024392
42.81332398719393,3.968218565,3.9498386383,-3.6986300945,0.9907578877095697,-0.04032461436260858
69.51927961775606,4.0048494339,3.9619951248,-6.7546906471,0.978713294319166,-0.09344512416568924
112.88378916846884,4.0171689987,3.9010431767,-9.3453722,0.9430208808583324,-0.2547869078212939
183.29807108324357,4.0295295715,3.864130497,-14.7800579071,0.9195913444618267,-0.36405125125852666
297.63514416313194,3.9918782711,3.6631762981,-23.5995235443,0.8420949487088697,-0.7463893774558249
483.2930238571752,3.9550294876,3.2060608864,-34.7826080322,0.6571190837332666,-1.8235592005693078
784.7599703514607,3.9183716774,2.56102705,-48.641002655,0.42718606156604766,-3.6938292611926404
1274.2749857031336,3.8821995258,1.8439394236,-60.9548034668,0.22559922060930326,-6.4666240506840955
2069.13808111479,3.9388072491,1.2204378843,-71.2251663208,0.09600677992054904,-10.176980963551056
3359.818286283781,3.9027569294,0.7779967785,-78.0504226685,0.039738602527818315,-14.007874096250099
5455.594781168515,3.8907492161,0.485293448,-82.2464523315,0.01555759202431553,-18.08057621451688
8858.667904100823,3.9031744003,0.2988648117,-85.380531311,0.00586291577308033,-22.31886344865039
14384.498882876629,3.9136853218,0.1874546409,-87.1535263062,0.002294143537625842,-26.39379413091826
23357.21469090121,3.9022529125,0.1165088415,-88.4033660889,0.0008914293745266469,-30.499130590712017
37926.90190732246,3.8897950649,0.0729170814,-87.1320037842,0.0003514027147517312,-34.54194887698031
61584.82110660255,3.9022145271,0.0456846431,-86.8965606689,0.00013706235517838654,-38.630818098585536
100000.0,3.9142210484,0.0308924802,-86.1876296997,6.228950189505029e-05,-42.055851419962394
