frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3168530464,3.3019683361,-1.26063025,0.9910449382122182,-0.039066523006909895
14.677992676220699,3.6332323551,3.6372435093,-1.6911333799,1.0022092550110322,0.009584089648917247
21.544346900318832,3.8468782902,3.8274962902,-1.8636755943,0.9899486431915793,-0.043873352580470815
31.622776601683793,3.9534087181,3.9099347591,-2.7376425266,0.9781277728976894,-0.09604409588835482
46.41588833612777,3.9896063805,3.946028471,-4.3413724899,0.9782735900850126,-0.09539670725801938
68.12920690579611,4.0018796921,3.9581718445,-5.3987731934,0.9782756273975048,-0.0953876628285167
100.0,4.0389704704,3.9458394051,-8.279999733,0.9544154371315604,-0.20262544812532243
146.7799267622069,4.0016875267,3.9092674255,-12.4794359207,0.9543428283948827,-0.2029558574208505
215.44346900318823,4.0140008926,3.8014547825,-17.9844970703,0.8969014550456943,-0.4725527142739915
316.22776601683796,3.9769511223,3.6034817696,-24.1518974304,0.8210018800855396,-0.8565584834969385
464.15888336127773,3.98919034,3.2780570984,-34.4289665222,0.675248317265687,-1.7053648941098498
681.2920690579608,3.9281177521,2.7866909504,-44.386920929,0.5032787788871651,-2.981913815569743
1000.0,3.9160325527,2.1950547695,-54.6653289795,0.31419417940846195,-5.02801864726348
1467.799267622069,3.949947834,1.6570408344,-64.6478881836,0.1759882616990255,-7.545162983753329
2154.4346900318824,3.9134860039,1.1804180145,-72.1858825684,0.09097961349047348,-10.410559125193757
3162.2776601683795,3.9008367062,0.8248256445,-77.5010604858,0.044710421993639324,-13.49591231079316
4641.588833612777,3.9137489796,0.5663983822,-81.2256240845,0.020943924982020815,-16.789419263678397
6812.920690579608,3.9008107185,0.3898063898,-83.4355697632,0.009985921627125388,-20.006118467568296
10000.0,3.8888094425,0.2672767937,-85.5944061279,0.004723774750034755,-23.25710819599859
14677.992676220676,3.9007725716,0.1820792109,-85.9307174683,0.00217881052609203,-26.617805352656937
21544.346900318822,3.8887710571,0.1261166334,-86.8217010498,0.0010517680805137842,-29.78080013468443
31622.776601683792,3.9011905193,0.0859908834,-87.838180542,0.00048585927846622507,-33.13489499122873
46415.888336127726,3.9125957489,0.0593833625,-87.6579971313,0.00023035604479624294,-36.376003868963984
68129.20690579608,3.9252378941,0.0410236828,-86.6712188721,0.00010922884094954865,-39.61662674713014
100000.0,3.9128575325,0.0281664021,-87.8399963379,5.181728795568215e-05,-42.855253211206346
