ponto,tempo,leitura,marcacao
0,0,78,0
1,59,78,0
2,88,80,0
3,172,80,0
4,203,80,0
5,265,80,0
6,288,91,0
7,328,91,0
8,376,91,0
9,447,95,0
10,477,95,0
11,502,95,0
12,556,91,0
13,675,91,0
14,692,71,0
15,730,71,0
16,795,30,0
17,885,30,0
18,909,43,0
19,938,43,0
20,1005,43,0
21,1067,83,0
22,1108,83,0
23,1129,95,0
24,1181,95,0
25,1240,95,0
26,1300,95,0
27,1328,95,0
28,1368,84,0
29,1502,84,0
30,1533,47,0
31,1568,47,0
32,1611,36,0
33,1669,36,0
34,1706,36,0
35,1728,73,0
36,1768,73,0
37,1834,73,0
38,1897,92,0
39,1940,92,0
40,1986,94,0
41,2084,94,0
42,2120,84,0
43,2155,84,0
44,2227,84,0
45,2326,57,0
46,2347,30,0
47,2377,30,0
48,2463,30,0
49,2532,66,0
50,2574,89,0
51,2618,89,0
52,2672,89,0
53,2714,95,0
54,2741,95,0
55,2780,95,0
56,2812,86,0
57,2940,86,0
58,2968,52,0
59,3008,52,0
60,3105,31,0
61,3148,31,0
62,3200,74,0
63,3225,74,0
64,3315,74,0
65,3372,93,0
66,3408,95,0
67,3493,95,0
68,3554,95,0
69,3606,90,0
70,3657,90,0
71,3712,67,0
72,3765,67,0
73,3788,29,0
74,3818,29,0
75,3890,29,0
76,3935,65,0
77,3966,65,0
78,4011,65,0
79,4071,89,0
80,4150,89,0
81,4185,94,0
82,4216,94,0
83,4288,91,0
84,4355,91,0
85,4375,72,0
86,4408,72,0
87,4450,72,0
88,4507,33,0
89,4585,33,33
90,4627,48,0
91,4657,48,0
92,4717,48,0
93,4756,82,0
94,4791,82,0
95,4810,82,0
96,4848,94,0
97,4903,94,0
98,4943,94,0
99,4993,93,0
100,5028,93,0
101,5058,93,0
102,5144,76,0
103,5199,76,0
104,5217,43,0
105,5257,43,0
106,5323,43,0
107,5357,34,0
108,5409,34,0
109,5448,74,0
110,5526,74,0
111,5562,74,0
112,5602,92,0
113,5624,92,0
114,5654,92,0
115,5708,95,0
116,5795,95,0
117,5820,87,0
118,5848,87,0
119,5888,87,0
120,5962,52,0
121,6022,52,0
122,6061,34,0
123,6103,34,0
124,6210,34,0
125,6255,73,0
126,6288,90,0
127,6391,90,0
128,6461,90,0
129,6494,95,0
130,6528,90,0
131,6660,90,0
132,6684,71,0
133,6712,71,0
134,6766,71,0
135,6821,33,0
136,6869,33,0
137,6904,37,0
138,6931,37,0
139,6994,37,0
140,7060,79,0
141,7095,79,0
142,7128,94,0
143,7174,94,0
144,7225,94,0
145,7279,93,0
146,7312,93,0
147,7342,93,0
148,7409,78,0
149,7479,78,0
150,7500,40,0
151,7531,40,0
152,7604,40,0
153,7678,36,0
154,7716,36,0
155,7744,77,0
156,7814,77,0
157,7869,94,0
158,7897,94,0
159,7931,94,0
160,8000,92,0
161,8087,92,0
162,8120,75,0
163,8150,75,0
164,8223,75,0
165,8259,32,0
166,8299,32,0
167,8333,51,0
168,8380,51,0
169,8451,51,0
170,8502,83,0
171,8532,83,0
172,8573,93,0
173,8651,93,0
174,8700,93,0
175,8750,91,0
176,8779,91,0
177,8845,74,0
178,8907,74,0
179,8929,42,0
180,8971,42,0
181,9014,42,0
182,9064,32,0
183,9115,32,0
184,9151,32,0
185,9187,73,0
186,9312,73,0
187,9332,92,0
188,9368,92,0
189,9451,95,0
190,9564,95,0
191,9593,85,0
192,9661,85,0
193,9727,55,0
194,9770,55,0
195,9851,30,0
196,9937,30,0
197,9969,62,0
198,10022,88,0
199,10087,88,0
200,10142,88,0
201,10178,95,0
202,10209,95,0
203,10271,90,0
204,10344,90,0
205,10369,63,0
206,10408,63,0
207,10471,63,0
208,10541,27,0
209,10568,27,0
210,10668,56,0
211,10776,56,0
212,10809,87,0
213,10872,95,0
214,10948,95,0
215,10999,95,0
216,11035,92,0
217,11084,92,0
218,11142,79,0
219,11179,79,0
220,11209,79,0
221,11285,37,0
222,11364,37,0
223,11393,56,0
224,11421,56,0
225,11492,56,0
226,11545,88,0
227,11567,88,0
228,11591,95,0
229,11612,95,0
230,11676,95,0
231,11728,95,0
232,11766,88,0
233,11800,88,0
234,11829,57,0
235,11914,57,0
236,11969,57,0
237,11990,28,0
238,12020,28,0
239,12051,67,0
240,12170,67,0
241,12206,67,0
242,12235,92,0
243,12313,92,0
244,12367,95,0
245,12397,95,0
246,12427,95,0
247,12460,86,0
248,12571,86,0
249,12588,58,0
250,12614,58,0
251,12653,58,0
252,12711,30,0
253,12779,30,0
254,12808,69,0
255,12847,69,0
256,12908,69,0
257,12974,91,0
258,12994,91,0
259,13019,95,0
260,13048,95,0
261,13119,95,0
262,13178,95,0
263,13214,83,0
264,13248,47,0
265,13319,47,0
266,13384,47,0
267,13420,47,0
268,13450,32,0
269,13523,73,0
270,13573,73,0
271,13609,73,0
272,13648,92,0
273,13716,92,0
274,13779,95,0
275,13828,95,0
276,13861,95,0
277,13917,88,0
278,14016,88,0
279,14052,66,0
280,14088,66,0
281,14151,29,0
282,14220,29,0
283,14240,46,0
284,14263,46,0
285,14296,46,0
286,14339,46,0
287,14399,80,0
288,14439,80,0
289,14486,93,0
290,14574,93,0
291,14628,94,0
292,14670,94,0
293,14701,78,0
294,14746,78,0
295,14805,78,0
296,14844,78,0
297,14867,37,0
298,14889,37,0
299,14970,40,0
300,15046,40,0
301,15084,40,0
302,15106,78,0
303,15173,78,0
304,15226,92,0
305,15271,92,0
306,15293,92,0
307,15329,95,0
308,15411,95,0
309,15462,85,0
310,15488,85,0
311,15528,85,0
312,15601,55,0
313,15669,55,0
314,15699,26,0
315,15737,26,0
316,15789,26,0
317,15864,53,0
318,15888,87,0
