ponto,tempo,leitura,marcacao
82,9851,93,93
83,9978,93,0
84,10080,89,0
85,10211,81,0
86,10320,76,0
87,10451,79,0
88,10572,84,0
89,10688,90,0
90,10803,93,0
91,10938,93,0
92,11050,91,0
93,11185,86,0
94,11281,80,0
95,11421,76,0
96,11525,79,0
97,11648,85,0
98,11770,90,0
99,11888,93,0
100,12002,93,0
101,12128,90,0
102,12255,84,0
103,12386,78,0
104,12480,76,0
105,12609,83,0
106,12720,89,0
107,12851,93,0
108,12982,94,0
109,13088,92,0
110,13200,87,0
111,13341,81,0
112,13454,76,0
113,13568,78,0
114,13680,85,0
115,13810,91,0
116,13920,93,0
117,14050,93,0
118,14178,91,0
119,14288,85,0
120,14400,80,0
121,14528,77,0
122,14657,76,0
123,14787,79,0
124,14880,86,0
125,15013,91,0
126,15120,93,0
127,15249,93,0
128,15381,88,0
129,15488,82,0
130,15607,77,0
131,15727,76,0
132,15851,81,0
133,15990,87,0
134,16080,92,0
135,16218,94,0
136,16319,92,0
137,16450,88,0
138,16582,82,0
139,16687,76,0
140,16804,76,0
141,16928,82,0
142,17054,88,0
143,17186,93,0
144,17280,94,0
145,17411,92,0
146,17519,85,0
147,17652,79,0
148,17773,76,0
149,17887,83,0
150,18004,91,0
151,18133,94,0
152,18245,94,0
153,18387,91,0
154,18479,84,0
155,18613,77,0
156,18719,76,0
157,18851,82,0
158,18975,88,0
159,19087,93,0
160,19204,94,0
161,19331,91,0
162,19451,83,0
163,19572,77,0
164,19679,75,0
165,19812,80,0
166,19920,88,0
167,20051,93,0
168,20171,94,0
169,20287,92,0
170,20405,86,0
171,20545,83,0
172,20649,77,0
173,20791,76,0
174,21119,93,0
175,21249,94,0
176,21381,92,0
177,21488,84,0
178,21622,79,0
179,21727,75,0
180,21855,76,0
181,21976,80,0
182,22095,86,0
183,22213,90,0
184,22365,92,0
185,22449,94,0
186,22575,93,0
187,22687,89,0
188,22838,82,0
189,22970,76,0
190,23055,75,0
191,23175,82,0
192,23295,88,0
193,23430,93,0
194,23544,93,0
195,23647,90,0
196,23778,81,0
197,23889,75,0
198,24019,77,0
199,24130,81,0
200,24255,89,0
201,24373,93,0
202,24495,94,0
203,24622,92,0
204,24764,88,0
205,24851,81,0
206,24977,75,0
207,25087,76,0
208,25223,84,0
209,25336,89,0
210,25455,93,0
211,25575,93,0
212,25695,90,0
213,25822,84,0
214,25957,77,0
215,26047,77,0
216,26181,83,0
217,26287,88,0
218,26415,92,0
219,26563,93,0
220,26656,91,0
221,26786,84,0
222,26895,78,0
223,27008,75,0
224,27163,78,0
225,27248,83,0
226,27380,89,0
227,27487,92,0
228,27640,94,0
229,27740,91,0
230,27855,86,0
231,27968,79,0
232,28095,75,0
233,28221,76,0
234,28354,81,0
235,28449,87,0
236,28583,93,0
237,28687,94,0
238,28831,91,0
239,28968,87,0
240,29055,80,0
241,29172,75,0
242,29295,79,0
243,29411,85,0
244,29545,91,0
245,29646,93,0
246,29778,92,0
247,29887,85,0
248,30019,80,0
249,30139,75,0
250,30255,78,0
251,30372,85,0
252,30495,90,0
253,30611,93,0
254,30746,93,0
255,30846,87,0
256,30979,76,0
257,31087,74,0
258,31237,75,0
259,31350,81,0
260,31454,88,0
261,31573,92,0
262,31694,93,0
263,31812,92,0
264,31956,87,0
265,32046,79,0
266,32187,74,0
267,32287,77,0
268,32428,83,0
269,32550,89,0
270,32654,92,0
271,32771,93,0
272,32895,91,0
273,33025,86,0
274,33156,79,0
275,33246,74,0
276,33375,76,0
277,33487,83,0
278,33618,92,0
279,33751,94,0
280,33854,90,0
