frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
100.0,4.0703997612,4.0191998482,-0.3599999845,0.9750010296375259,-0.10994925670017296
215.44346900318845,4.0581917763,4.0581917763,-1.860465169,1.0,0.0
464.15888336127773,4.0708332062,4.0207304955,-4.011141777,0.9755360227784063,-0.107566891551261
1000.0,4.0083589554,3.9588739872,-8.279999733,0.9754615233751708,-0.1078985647490034
2154.4346900318824,3.9221761227,3.7051899433,-16.6105976105,0.8924148126756959,-0.4943322972624637
4641.588833612777,3.4997889996,2.8634798527,-34.063079834,0.6694290273928908,-1.7429545994472497
10000.0,3.0009355545,1.7276910543,-54.3600006104,0.33145061647859964,-4.795811688835755
21544.346900318822,2.7866785526,0.8542564511,-71.5344772339,0.09397293347765803,-10.26997215910695
46415.888336127726,2.7265472412,0.4047201574,-80.2228469849,0.022033506445162516,-16.569163830759212
100000.0,2.7351453304,0.1926867962,-84.3243255615,0.004962986536191128,-23.042569029743127
