frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
100.0,4.0703997612,3.9921209812,-7.9199995995,0.9619073869537526,-0.16866740094352373
215.44346900318845,4.0328249931,3.8546864986,-17.3643417358,0.9136069053899533,-0.3924062652224384
464.15888336127773,4.020418644,3.2735211849,-34.7632293701,0.6629606553063101,-1.7851224488389623
1000.0,3.9341316223,2.182226181,-56.1599960327,0.30768176069162817,-5.118982478726566
2154.4346900318824,3.9457855225,1.153734684,-72.6206893921,0.08549583288503973,-10.680550525131867
4641.588833612777,3.93364501,0.5570151806,-81.2256240845,0.020051355342112866,-16.9785626654969
10000.0,3.9460520744,0.2605773509,-84.8751220703,0.004360614603750603,-23.604522950877893
21544.346900318822,3.909478426,0.1252684891,-86.6609115601,0.0010267058507046271,-29.88553963134743
46415.888336127726,3.9215102196,0.0613234006,-87.9108657837,0.00024453766319579724,-36.116542422319306
100000.0,3.9335741997,0.0285980403,-87.7522506714,5.2856433314722025e-05,-42.769021458580305
