Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
0.00168,0.08,-0.76,0.84
0.0016804,0.08,-0.76,0.84
0.0016808,0.08,-0.72,0.7999999999999999
0.0016812,0.16,-0.72,0.88
0.0016816000000000001,0.16,-0.68,0.8400000000000001
0.0016820000000000001,0.2,-0.64,0.8400000000000001
0.0016824000000000001,0.28,-0.64,0.92
0.0016828000000000001,0.28,-0.64,0.92
0.0016832000000000001,0.28,-0.64,0.92
0.0016836000000000002,0.28,-0.6,0.88
0.0016840000000000002,0.36,-0.6,0.96
0.0016844000000000002,0.36,-0.6,0.96
0.0016848,0.4,-0.56,0.9600000000000001
0.0016852,0.44,-0.56,1.0
0.0016856,0.44,-0.52,0.96
0.001686,0.48,-0.52,1.0
0.0016864,0.48,-0.48,0.96
0.0016868,0.48,-0.52,1.0
0.0016872,0.56,-0.44,1.0
0.0016876,0.6,-0.48,1.08
0.001688,0.56,-0.48,1.04
0.0016884,0.64,-0.4,1.04
0.0016888,0.64,-0.4,1.04
0.0016892,0.64,-0.36,1.0
0.0016896,0.68,-0.32,1.0
0.00169,0.72,-0.36,1.08
0.0016904,0.72,-0.32,1.04
0.0016908000000000001,0.76,-0.28,1.04
0.0016912000000000001,0.8,-0.28,1.08
0.0016916000000000001,0.8,-0.24,1.04
0.0016920000000000001,0.88,-0.24,1.12
0.0016924000000000002,0.84,-0.2,1.04
0.0016928000000000002,0.92,-0.2,1.12
0.0016932000000000002,0.92,-0.16,1.08
0.0016936,0.96,-0.12,1.08
0.001694,0.96,-0.12,1.08
0.0016944,1.0,-0.16,1.16
0.0016948,1.0,-0.16,1.16
0.0016952,1.04,-0.04,1.08
0.0016956,1.08,-0.08,1.1600000000000001
0.001696,1.08,-0.04,1.12
0.0016964,1.12,-0.08,1.2000000000000002
0.0016968,1.12,0.0,1.12
0.0016972,1.08,0.0,1.08
0.0016976,1.16,0.04,1.1199999999999999
0.001698,1.2,0.04,1.16
0.0016984,1.24,0.08,1.16
0.0016988,1.2,0.08,1.1199999999999999
0.0016992,1.24,0.08,1.16
0.0016996000000000001,1.24,0.12,1.12
0.0017000000000000001,1.24,0.16,1.08
0.0017004000000000001,1.28,0.2,1.08
0.0017008000000000001,1.24,0.16,1.08
0.0017012000000000002,1.24,0.2,1.04
0.0017016000000000002,1.32,0.24,1.08
0.0017020000000000002,1.32,0.28,1.04
0.0017024,1.32,0.28,1.04
0.0017028,1.32,0.28,1.04
0.0017032,1.36,0.24,1.12
0.0017036,1.4000000000000001,0.28,1.12
0.001704,1.36,0.36,1.0
0.0017044,1.4000000000000001,0.36,1.04
0.0017048,1.44,0.36,1.08
0.0017052,1.48,0.36,1.12
0.0017056,1.44,0.4,1.04
0.001706,1.48,0.4,1.08
0.0017064,1.44,0.44,1.0
0.0017068,1.48,0.52,0.96
0.0017072,1.48,0.44,1.04
0.0017076,1.52,0.52,1.0
0.001708,1.48,0.44,1.04
0.0017084000000000001,1.56,0.56,1.0
0.0017088000000000001,1.48,0.56,0.9199999999999999
0.0017092000000000001,1.52,0.6,0.92
0.0017096000000000001,1.52,0.6,0.92
0.0017100000000000001,1.52,0.6,0.92
0.0017104000000000002,1.52,0.64,0.88
0.0017108000000000002,1.48,0.6,0.88
0.0017112,1.56,0.64,0.92
0.0017116,1.52,0.68,0.84
0.001712,1.48,0.68,0.7999999999999999
0.0017124,1.52,0.68,0.84
0.0017128,1.56,0.72,0.8400000000000001
0.0017132,1.52,0.76,0.76
0.0017136,1.52,0.76,0.76
0.001714,1.56,0.72,0.8400000000000001
0.0017144,1.56,0.76,0.8
0.0017148,1.6,0.8,0.8
0.0017152,1.56,0.8,0.76
0.0017156,1.52,0.84,0.68
0.001716,1.56,0.8,0.76
0.0017164,1.56,0.84,0.7200000000000001
0.0017168,1.52,0.8,0.72
0.0017172,1.48,0.84,0.64
0.0017176000000000001,1.6,0.84,0.7600000000000001
0.0017180000000000001,1.56,0.84,0.7200000000000001
0.0017184000000000001,1.56,0.88,0.68
0.0017188000000000001,1.52,0.92,0.6
0.0017192000000000002,1.52,0.88,0.64
0.0017196000000000002,1.52,0.92,0.6
0.0017200000000000002,1.48,0.92,0.5599999999999999
0.0017204,1.48,0.92,0.5599999999999999
0.0017208,1.52,0.96,0.56
0.0017212,1.4000000000000001,0.96,0.44000000000000017
0.0017216,1.48,0.92,0.5599999999999999
0.001722,1.48,0.96,0.52
0.0017224,1.4000000000000001,0.96,0.44000000000000017
0.0017228,1.4000000000000001,0.96,0.44000000000000017
0.0017232,1.48,1.0,0.48
0.0017236,1.44,1.04,0.3999999999999999
0.001724,1.4000000000000001,1.0,0.40000000000000013
0.0017244,1.4000000000000001,1.0,0.40000000000000013
0.0017248,1.4000000000000001,1.0,0.40000000000000013
0.0017252,1.36,1.0,0.3600000000000001
0.0017256,1.32,1.04,0.28
0.001726,1.32,1.04,0.28
0.0017264000000000001,1.32,1.04,0.28
0.0017268000000000001,1.24,1.0,0.24
0.0017272000000000001,1.28,1.04,0.24
0.0017276000000000001,1.28,1.0,0.28
0.0017280000000000002,1.24,1.04,0.19999999999999996
0.0017284000000000002,1.24,1.0,0.24
0.0017288000000000002,1.24,1.04,0.19999999999999996
0.0017292,1.24,1.08,0.15999999999999992
0.0017296,1.16,1.08,0.07999999999999985
0.00173,1.16,1.08,0.07999999999999985
0.0017304,1.16,1.08,0.07999999999999985
0.0017308,1.12,1.04,0.08000000000000007
0.0017312,1.12,1.08,0.040000000000000036
0.0017316,1.12,1.12,0.0
0.001732,1.04,1.08,-0.040000000000000036
0.0017324,1.08,1.12,-0.040000000000000036
0.0017328,1.04,1.08,-0.040000000000000036
0.0017332,1.04,1.08,-0.040000000000000036
0.0017336,1.0,1.04,-0.040000000000000036
0.001734,1.0,1.08,-0.08000000000000007
0.0017344,0.96,1.04,-0.08000000000000007
0.0017348,0.88,1.08,-0.20000000000000007
0.0017352000000000001,0.92,1.08,-0.16000000000000003
0.0017356000000000001,0.88,1.04,-0.16000000000000003
0.0017360000000000001,0.84,1.04,-0.20000000000000007
0.0017364000000000001,0.8,1.0,-0.19999999999999996
0.0017368000000000001,0.72,1.08,-0.3600000000000001
0.0017372000000000002,0.76,1.0,-0.24
0.0017376000000000002,0.72,1.04,-0.32000000000000006
0.001738,0.72,1.08,-0.3600000000000001
0.0017384,0.64,0.96,-0.31999999999999995
0.0017388,0.68,1.0,-0.31999999999999995
0.0017392,0.68,1.04,-0.36
0.0017396,0.6,1.0,-0.4
0.00174,0.56,1.04,-0.48
0.0017404,0.52,0.96,-0.43999999999999995
0.0017408,0.56,1.0,-0.43999999999999995
0.0017412,0.52,0.92,-0.4
0.0017416,0.48,0.96,-0.48
0.001742,0.48,0.96,-0.48
0.0017424,0.48,0.96,-0.48
0.0017428,0.44,0.92,-0.48000000000000004
0.0017432,0.4,0.92,-0.52
0.0017436,0.36,0.92,-0.56
0.001744,0.32,0.92,-0.6000000000000001
0.0017444000000000001,0.32,0.92,-0.6000000000000001
0.0017448000000000001,0.28,0.96,-0.6799999999999999
0.0017452000000000001,0.24,0.88,-0.64
0.0017456000000000001,0.2,0.88,-0.6799999999999999
0.0017460000000000002,0.2,0.88,-0.6799999999999999
0.0017464000000000002,0.16,0.88,-0.72
0.0017468000000000002,0.12,0.84,-0.72
0.0017472,0.12,0.8,-0.68
0.0017476,0.08,0.84,-0.76
0.001748,0.08,0.8,-0.7200000000000001
0.0017484,0.04,0.8,-0.76
0.0017488,0.0,0.8,-0.8
0.0017492,-0.08,0.8,-0.88
0.0017496,-0.04,0.76,-0.8
0.00175,-0.08,0.76,-0.84
0.0017504,-0.16,0.68,-0.8400000000000001
0.0017508,-0.12,0.68,-0.8
0.0017512,-0.16,0.72,-0.88
0.0017516,-0.2,0.68,-0.8800000000000001
0.001752,-0.24,0.64,-0.88
0.0017524,-0.24,0.64,-0.88
0.0017528,-0.28,0.64,-0.92
0.0017532000000000001,-0.32,0.64,-0.96
0.0017536000000000001,-0.4,0.6,-1.0
0.0017540000000000001,-0.32,0.6,-0.9199999999999999
0.0017544000000000001,-0.36,0.56,-0.92
0.0017548000000000002,-0.44,0.52,-0.96
0.0017552000000000002,-0.44,0.52,-0.96
0.0017556,-0.48,0.48,-0.96
0.001756,-0.48,0.48,-0.96
0.0017564,-0.56,0.48,-1.04
0.0017568,-0.6,0.44,-1.04
0.0017572,-0.56,0.48,-1.04
0.0017576,-0.64,0.44,-1.08
0.001758,-0.64,0.36,-1.0
0.0017584,-0.64,0.36,-1.0
0.0017588,-0.68,0.4,-1.08
0.0017592,-0.68,0.32,-1.0
0.0017596,-0.8,0.32,-1.12
0.00176,-0.8,0.32,-1.12
0.0017604,-0.8,0.28,-1.08
0.0017608,-0.8,0.24,-1.04
0.0017612,-0.84,0.24,-1.08
0.0017616,-0.84,0.24,-1.08
0.0017620000000000001,-0.88,0.2,-1.08
0.0017624000000000001,-0.84,0.2,-1.04
0.0017628000000000001,-0.92,0.2,-1.12
0.0017632000000000001,-0.96,0.16,-1.1199999999999999
0.0017636000000000002,-1.0,0.12,-1.12
0.0017640000000000002,-1.0,0.12,-1.12
0.0017644000000000002,-1.0,0.12,-1.12
0.0017648,-1.08,0.08,-1.1600000000000001
0.0017652,-1.08,0.08,-1.1600000000000001
0.0017656,-1.08,0.04,-1.12
0.001766,-1.12,0.0,-1.12
0.0017664,-1.12,0.0,-1.12
0.0017668,-1.16,-0.04,-1.1199999999999999
0.0017672,-1.16,-0.08,-1.0799999999999998
0.0017676,-1.16,-0.04,-1.1199999999999999
0.001768,-1.2,-0.08,-1.1199999999999999
0.0017684,-1.2,-0.08,-1.1199999999999999
0.0017688,-1.24,-0.12,-1.12
0.0017692,-1.24,-0.12,-1.12
0.0017696,-1.28,-0.12,-1.1600000000000001
0.00177,-1.28,-0.16,-1.12
0.0017704,-1.28,-0.16,-1.12
0.0017708,-1.32,-0.24,-1.08
0.0017712000000000001,-1.36,-0.2,-1.1600000000000001
0.0017716000000000001,-1.32,-0.2,-1.12
0.0017720000000000001,-1.36,-0.24,-1.12
0.0017724000000000001,-1.36,-0.28,-1.08
0.0017728000000000002,-1.4000000000000001,-0.28,-1.12
0.0017732000000000002,-1.4000000000000001,-0.28,-1.12
0.0017736000000000002,-1.44,-0.32,-1.1199999999999999
0.001774,-1.36,-0.36,-1.0
0.0017744,-1.48,-0.36,-1.12
0.0017748,-1.48,-0.44,-1.04
0.0017752,-1.52,-0.4,-1.12
0.0017756,-1.48,-0.44,-1.04
0.001776,-1.52,-0.48,-1.04
0.0017764,-1.52,-0.44,-1.08
0.0017768,-1.48,-0.52,-0.96
0.0017772,-1.52,-0.48,-1.04
0.0017776,-1.48,-0.52,-0.96
0.001778,-1.52,-0.52,-1.0
0.0017784,-1.56,-0.56,-1.0
0.0017788,-1.52,-0.52,-1.0
0.0017792,-1.56,-0.56,-1.0
0.0017796,-1.56,-0.6,-0.9600000000000001
0.0017800000000000001,-1.56,-0.68,-0.88
0.0017804000000000001,-1.56,-0.64,-0.92
0.0017808000000000001,-1.6,-0.64,-0.9600000000000001
0.0017812000000000001,-1.6,-0.64,-0.9600000000000001
0.0017816000000000002,-1.6,-0.72,-0.8800000000000001
0.0017820000000000002,-1.6,-0.72,-0.8800000000000001
0.0017824,-1.56,-0.72,-0.8400000000000001
