Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-1.31e-05,-1.4000000000000001,0.04,-1.4400000000000002
-1.309e-05,-1.4000000000000001,0.04,-1.4400000000000002
-1.308e-05,-1.36,0.0,-1.36
-1.307e-05,-1.36,0.08,-1.4400000000000002
-1.306e-05,-1.32,0.0,-1.32
-1.305e-05,-1.36,0.04,-1.4000000000000001
-1.304e-05,-1.36,0.0,-1.36
-1.303e-05,-1.32,0.04,-1.36
-1.302e-05,-1.32,0.08,-1.4000000000000001
-1.3009999999999999e-05,-1.36,0.08,-1.4400000000000002
-1.3e-05,-1.36,0.0,-1.36
-1.299e-05,-1.36,0.04,-1.4000000000000001
-1.298e-05,-1.36,0.04,-1.4000000000000001
-1.297e-05,-1.32,0.0,-1.32
-1.296e-05,-1.32,0.0,-1.32
-1.295e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.294e-05,-1.36,0.0,-1.36
-1.293e-05,-1.36,0.0,-1.36
-1.292e-05,-1.32,0.04,-1.36
-1.291e-05,-1.4000000000000001,0.04,-1.4400000000000002
-1.29e-05,-1.36,0.04,-1.4000000000000001
-1.289e-05,-1.36,0.04,-1.4000000000000001
-1.288e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.287e-05,-1.36,0.0,-1.36
-1.286e-05,-1.32,0.0,-1.32
-1.285e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.284e-05,-1.36,0.04,-1.4000000000000001
-1.2829999999999999e-05,-1.36,0.04,-1.4000000000000001
-1.282e-05,-1.36,0.0,-1.36
-1.281e-05,-1.36,0.0,-1.36
-1.28e-05,-1.36,0.0,-1.36
-1.279e-05,-1.36,0.04,-1.4000000000000001
-1.278e-05,-1.4000000000000001,0.04,-1.4400000000000002
-1.277e-05,-1.36,0.0,-1.36
-1.276e-05,-1.36,-0.04,-1.32
-1.275e-05,-1.36,0.0,-1.36
-1.274e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.273e-05,-1.36,0.0,-1.36
-1.272e-05,-1.32,-0.04,-1.28
-1.271e-05,-1.36,0.04,-1.4000000000000001
-1.27e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.269e-05,-1.36,0.0,-1.36
-1.268e-05,-1.36,0.0,-1.36
-1.267e-05,-1.36,0.0,-1.36
-1.266e-05,-1.36,0.0,-1.36
-1.265e-05,-1.36,-0.04,-1.32
-1.264e-05,-1.36,0.0,-1.36
-1.263e-05,-1.36,-0.04,-1.32
-1.262e-05,-1.36,0.04,-1.4000000000000001
-1.261e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.26e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.259e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.258e-05,-1.36,0.0,-1.36
-1.257e-05,-1.36,0.0,-1.36
-1.256e-05,-1.4000000000000001,-0.04,-1.36
-1.255e-05,-1.4000000000000001,-0.04,-1.36
-1.254e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.253e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.252e-05,-1.36,-0.04,-1.32
-1.251e-05,-1.36,0.0,-1.36
-1.25e-05,-1.44,0.0,-1.44
-1.249e-05,-1.32,-0.04,-1.28
-1.2479999999999999e-05,-1.36,-0.04,-1.32
-1.247e-05,-1.36,-0.04,-1.32
-1.246e-05,-1.32,-0.04,-1.28
-1.245e-05,-1.36,-0.04,-1.32
-1.244e-05,-1.4000000000000001,-0.04,-1.36
-1.243e-05,-1.32,0.0,-1.32
-1.242e-05,-1.36,-0.04,-1.32
-1.241e-05,-1.36,0.0,-1.36
-1.24e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.239e-05,-1.36,-0.04,-1.32
-1.238e-05,-1.36,-0.04,-1.32
-1.237e-05,-1.44,-0.04,-1.4
-1.236e-05,-1.36,0.0,-1.36
-1.235e-05,-1.36,0.0,-1.36
-1.234e-05,-1.36,-0.04,-1.32
-1.233e-05,-1.32,0.0,-1.32
-1.232e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.2309999999999999e-05,-1.36,0.0,-1.36
-1.23e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.229e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.228e-05,-1.4000000000000001,-0.04,-1.36
-1.227e-05,-1.36,0.0,-1.36
-1.226e-05,-1.36,-0.04,-1.32
-1.225e-05,-1.36,-0.04,-1.32
-1.224e-05,-1.36,0.0,-1.36
-1.223e-05,-1.32,-0.04,-1.28
-1.222e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.221e-05,-1.36,0.0,-1.36
-1.22e-05,-1.36,-0.04,-1.32
-1.219e-05,-1.44,-0.08,-1.3599999999999999
-1.218e-05,-1.36,-0.08,-1.28
-1.217e-05,-1.36,0.0,-1.36
-1.216e-05,-1.36,0.0,-1.36
-1.215e-05,-1.36,0.0,-1.36
-1.2139999999999999e-05,-1.36,-0.04,-1.32
-1.213e-05,-1.4000000000000001,0.0,-1.4000000000000001
-1.212e-05,-1.36,-0.04,-1.32
-1.211e-05,-1.4000000000000001,-0.04,-1.36
-1.21e-05,-1.36,-0.04,-1.32
-1.209e-05,-1.36,-0.04,-1.32
-1.208e-05,-1.4000000000000001,-0.04,-1.36
-1.207e-05,-1.4000000000000001,-0.08,-1.32
-1.206e-05,-1.36,-0.04,-1.32
-1.205e-05,-1.4000000000000001,-0.04,-1.36
-1.204e-05,-1.32,-0.04,-1.28
-1.203e-05,-1.4000000000000001,-0.04,-1.36
-1.202e-05,-1.4000000000000001,0.04,-1.4400000000000002
-1.201e-05,-1.36,-0.04,-1.32
-1.2e-05,-1.4000000000000001,-0.04,-1.36
-1.199e-05,-1.4000000000000001,-0.04,-1.36
-1.198e-05,-1.4000000000000001,-0.04,-1.36
-1.197e-05,-1.4000000000000001,-0.04,-1.36
-1.196e-05,-1.4000000000000001,-0.08,-1.32
-1.1949999999999999e-05,-1.32,-0.04,-1.28
