Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.025,-1.48,1.32,-2.8
-0.024980000000000002,-1.84,-0.24,-1.6
-0.024960000000000003,-2.04,-1.12,-0.9199999999999999
-0.02494,-2.12,-1.6,-0.52
-0.02492,-2.16,-1.8800000000000001,-0.28
-0.024900000000000002,-2.2,-2.04,-0.16000000000000014
-0.024880000000000003,-2.24,-2.12,-0.1200000000000001
-0.02486,-2.24,-2.16,-0.08000000000000007
-0.02484,-2.24,-2.16,-0.08000000000000007
-0.024820000000000002,-2.24,-2.2,-0.040000000000000036
-0.024800000000000003,-2.24,-2.24,0.0
-0.02478,-2.24,-2.2,-0.040000000000000036
-0.02476,-2.24,-2.2,-0.040000000000000036
-0.02474,-2.24,-2.2,-0.040000000000000036
-0.024720000000000002,-2.24,-2.2,-0.040000000000000036
-0.0247,-2.24,-2.2,-0.040000000000000036
-0.02468,-2.24,-2.2,-0.040000000000000036
-0.02466,-2.24,-2.2,-0.040000000000000036
-0.024640000000000002,-2.24,-2.2,-0.040000000000000036
-0.024620000000000003,-2.24,-2.2,-0.040000000000000036
-0.0246,-2.24,-2.2,-0.040000000000000036
-0.02458,-2.24,-2.2,-0.040000000000000036
-0.024560000000000002,-2.2,-2.2,0.0
-0.024540000000000003,-2.24,-2.2,-0.040000000000000036
-0.02452,-2.24,-2.2,-0.040000000000000036
-0.0245,-2.2,-2.2,0.0
-0.024480000000000002,-2.2,-2.16,-0.040000000000000036
-0.024460000000000003,-2.2,-2.2,0.0
-0.02444,-2.2,-2.2,0.0
-0.02442,-2.2,-2.16,-0.040000000000000036
-0.0244,-2.2,-2.16,-0.040000000000000036
-0.024380000000000002,-2.2,-2.2,0.0
-0.02436,-2.2,-2.16,-0.040000000000000036
-0.02434,-2.2,-2.16,-0.040000000000000036
-0.02432,-2.2,-2.16,-0.040000000000000036
-0.024300000000000002,-2.2,-2.16,-0.040000000000000036
-0.024280000000000003,-2.16,-2.2,0.040000000000000036
-0.02426,-2.2,-2.16,-0.040000000000000036
-0.02424,-2.16,-2.16,0.0
-0.024220000000000002,-2.2,-2.16,-0.040000000000000036
-0.024200000000000003,-2.2,-2.16,-0.040000000000000036
-0.02418,-2.2,-2.16,-0.040000000000000036
-0.02416,-2.2,-2.16,-0.040000000000000036
-0.02414,-2.16,-2.16,0.0
-0.024120000000000003,-2.16,-2.12,-0.040000000000000036
-0.0241,-2.16,-2.12,-0.040000000000000036
-0.02408,-2.2,-2.16,-0.040000000000000036
-0.02406,-2.16,-2.16,0.0
-0.024040000000000002,-2.16,-2.12,-0.040000000000000036
-0.02402,-2.16,-2.12,-0.040000000000000036
-0.024,-2.16,-2.12,-0.040000000000000036
-0.02398,-2.16,-2.12,-0.040000000000000036
-0.023960000000000002,-2.16,-2.12,-0.040000000000000036
-0.023940000000000003,-2.16,-2.12,-0.040000000000000036
-0.02392,-2.16,-2.12,-0.040000000000000036
-0.0239,-2.16,-2.12,-0.040000000000000036
-0.023880000000000002,-2.16,-2.12,-0.040000000000000036
-0.023860000000000003,-2.16,-2.12,-0.040000000000000036
-0.02384,-2.16,-2.12,-0.040000000000000036
-0.02382,-2.16,-2.12,-0.040000000000000036
-0.0238,-2.16,-2.12,-0.040000000000000036
-0.023780000000000003,-2.16,-2.12,-0.040000000000000036
-0.02376,-2.16,-2.12,-0.040000000000000036
-0.02374,-2.12,-2.12,0.0
-0.02372,-2.16,-2.12,-0.040000000000000036
-0.023700000000000002,-2.16,-2.12,-0.040000000000000036
-0.02368,-2.16,-2.12,-0.040000000000000036
-0.02366,-2.12,-2.12,0.0
-0.02364,-2.12,-2.12,0.0
-0.023620000000000002,-2.12,-2.08,-0.040000000000000036
-0.023600000000000003,-2.16,-2.12,-0.040000000000000036
-0.02358,-2.12,-2.12,0.0
-0.02356,-2.16,-2.12,-0.040000000000000036
-0.023540000000000002,-2.12,-2.08,-0.040000000000000036
-0.023520000000000003,-2.12,-2.08,-0.040000000000000036
-0.0235,-2.12,-2.08,-0.040000000000000036
-0.02348,-2.12,-2.08,-0.040000000000000036
-0.02346,-2.12,-2.12,0.0
-0.023440000000000003,-2.12,-2.08,-0.040000000000000036
-0.02342,-2.12,-2.08,-0.040000000000000036
-0.0234,-2.12,-2.08,-0.040000000000000036
-0.02338,-2.12,-2.08,-0.040000000000000036
-0.023360000000000002,-2.12,-2.08,-0.040000000000000036
-0.02334,-2.12,-2.08,-0.040000000000000036
-0.02332,-2.08,-2.08,0.0
-0.0233,-2.12,-2.08,-0.040000000000000036
-0.023280000000000002,-2.12,-2.08,-0.040000000000000036
-0.023260000000000003,-2.12,-2.08,-0.040000000000000036
-0.02324,-2.08,-2.08,0.0
-0.02322,-2.08,-2.08,0.0
-0.023200000000000002,-2.12,-2.08,-0.040000000000000036
-0.023180000000000003,-2.12,-2.04,-0.08000000000000007
-0.02316,-2.08,-2.08,0.0
-0.02314,-2.08,-2.04,-0.040000000000000036
-0.02312,-2.08,-2.04,-0.040000000000000036
-0.023100000000000002,-2.08,-2.08,0.0
-0.02308,-2.08,-2.04,-0.040000000000000036
-0.02306,-2.08,-2.04,-0.040000000000000036
-0.02304,-2.08,-2.04,-0.040000000000000036
-0.023020000000000002,-2.08,-2.04,-0.040000000000000036
-0.023,-2.08,-2.04,-0.040000000000000036
-0.02298,-2.08,-2.04,-0.040000000000000036
-0.02296,-2.08,-2.04,-0.040000000000000036
-0.022940000000000002,-2.08,-2.04,-0.040000000000000036
-0.022920000000000003,-2.04,-2.04,0.0
-0.0229,-2.04,-2.04,0.0
-0.02288,-2.08,-2.04,-0.040000000000000036
-0.022860000000000002,-2.08,-2.04,-0.040000000000000036
-0.022840000000000003,-2.04,-2.0,-0.040000000000000036
-0.02282,-2.04,-2.04,0.0
-0.0228,-2.04,-2.04,0.0
-0.02278,-2.04,-2.04,0.0
-0.022760000000000002,-2.04,-2.04,0.0
-0.02274,-2.08,-2.0,-0.08000000000000007
-0.02272,-2.04,-2.0,-0.040000000000000036
-0.0227,-2.04,-2.04,0.0
-0.022680000000000002,-2.04,-2.04,0.0
-0.02266,-2.04,-2.0,-0.040000000000000036
-0.02264,-2.04,-2.0,-0.040000000000000036
-0.02262,-2.04,-2.04,0.0
-0.022600000000000002,-2.04,-2.0,-0.040000000000000036
-0.022580000000000003,-2.04,-2.0,-0.040000000000000036
-0.02256,-2.0,-2.0,0.0
-0.02254,-2.04,-2.0,-0.040000000000000036
-0.022520000000000002,-2.04,-2.0,-0.040000000000000036
-0.022500000000000003,-2.04,-2.0,-0.040000000000000036
-0.02248,-2.04,-2.0,-0.040000000000000036
-0.02246,-2.04,-2.0,-0.040000000000000036
-0.02244,-2.04,-2.0,-0.040000000000000036
-0.022420000000000002,-2.04,-2.0,-0.040000000000000036
-0.0224,-2.0,-2.0,0.0
-0.02238,-2.04,-2.0,-0.040000000000000036
-0.02236,-2.04,-2.0,-0.040000000000000036
-0.022340000000000002,-2.04,-1.96,-0.08000000000000007
-0.02232,-2.0,-2.0,0.0
-0.0223,-2.04,-2.0,-0.040000000000000036
-0.02228,-2.0,-2.0,0.0
-0.022260000000000002,-2.0,-1.96,-0.040000000000000036
-0.022240000000000003,-2.04,-1.96,-0.08000000000000007
-0.02222,-2.0,-1.96,-0.040000000000000036
-0.0222,-2.0,-2.0,0.0
-0.022180000000000002,-2.0,-1.96,-0.040000000000000036
-0.022160000000000003,-2.0,-1.96,-0.040000000000000036
-0.02214,-2.0,-1.96,-0.040000000000000036
-0.02212,-2.0,-1.96,-0.040000000000000036
-0.0221,-2.0,-1.96,-0.040000000000000036
-0.022080000000000002,-2.0,-1.96,-0.040000000000000036
-0.02206,-2.0,-1.96,-0.040000000000000036
-0.02204,-2.0,-1.96,-0.040000000000000036
-0.02202,-2.0,-1.96,-0.040000000000000036
-0.022000000000000002,-1.96,-1.96,0.0
-0.02198,-2.0,-1.96,-0.040000000000000036
-0.02196,-2.0,-1.96,-0.040000000000000036
-0.02194,-2.0,-1.92,-0.08000000000000007
-0.021920000000000002,-1.96,-1.96,0.0
-0.021900000000000003,-1.96,-1.92,-0.040000000000000036
-0.02188,-1.96,-1.92,-0.040000000000000036
-0.02186,-1.96,-1.92,-0.040000000000000036
-0.021840000000000002,-1.96,-1.92,-0.040000000000000036
-0.021820000000000003,-1.96,-1.92,-0.040000000000000036
-0.0218,-1.96,-1.96,0.0
-0.02178,-2.0,-1.96,-0.040000000000000036
-0.02176,-1.96,-1.92,-0.040000000000000036
-0.021740000000000002,-1.96,-1.92,-0.040000000000000036
-0.02172,-1.96,-1.92,-0.040000000000000036
-0.0217,-1.96,-1.92,-0.040000000000000036
-0.02168,-1.96,-1.92,-0.040000000000000036
-0.021660000000000002,-1.96,-1.92,-0.040000000000000036
-0.02164,-1.96,-1.96,0.0
-0.02162,-1.96,-1.92,-0.040000000000000036
-0.0216,-1.92,-1.92,0.0
-0.021580000000000002,-1.96,-1.8800000000000001,-0.07999999999999985
-0.021560000000000003,-1.96,-1.92,-0.040000000000000036
-0.02154,-1.96,-1.8800000000000001,-0.07999999999999985
-0.02152,-1.96,-1.8800000000000001,-0.07999999999999985
-0.021500000000000002,-1.96,-1.92,-0.040000000000000036
-0.021480000000000003,-1.96,-1.8800000000000001,-0.07999999999999985
-0.02146,-1.96,-1.92,-0.040000000000000036
-0.02144,-1.92,-1.92,0.0
-0.02142,-1.96,-1.8800000000000001,-0.07999999999999985
-0.021400000000000002,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02138,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02136,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02134,-1.92,-1.8800000000000001,-0.039999999999999813
-0.021320000000000002,-1.92,-1.8800000000000001,-0.039999999999999813
-0.0213,-1.92,-1.92,0.0
-0.02128,-1.96,-1.8800000000000001,-0.07999999999999985
-0.02126,-1.92,-1.8800000000000001,-0.039999999999999813
-0.021240000000000002,-1.92,-1.8800000000000001,-0.039999999999999813
-0.021220000000000003,-1.96,-1.8800000000000001,-0.07999999999999985
-0.0212,-1.92,-1.92,0.0
-0.02118,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02116,-1.92,-1.8800000000000001,-0.039999999999999813
-0.021140000000000003,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02112,-1.92,-1.8800000000000001,-0.039999999999999813
-0.0211,-1.92,-1.8800000000000001,-0.039999999999999813
-0.02108,-1.92,-1.8800000000000001,-0.039999999999999813
-0.021060000000000002,-1.8800000000000001,-1.8800000000000001,0.0
-0.021040000000000003,-1.8800000000000001,-1.8800000000000001,0.0
-0.02102,-1.8800000000000001,-1.8800000000000001,0.0
-0.021,-1.8800000000000001,-1.8800000000000001,0.0
-0.020980000000000002,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02096,-1.92,-1.84,-0.07999999999999985
-0.02094,-1.8800000000000001,-1.8800000000000001,0.0
-0.02092,-1.8800000000000001,-1.8800000000000001,0.0
-0.020900000000000002,-1.8800000000000001,-1.8800000000000001,0.0
-0.020880000000000003,-1.8800000000000001,-1.8800000000000001,0.0
-0.02086,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02084,-1.84,-1.84,0.0
-0.02082,-1.8800000000000001,-1.84,-0.040000000000000036
-0.0208,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02078,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02076,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02074,-1.84,-1.84,0.0
-0.020720000000000002,-1.8800000000000001,-1.84,-0.040000000000000036
-0.020700000000000003,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02068,-1.84,-1.84,0.0
-0.02066,-1.84,-1.8,-0.040000000000000036
-0.020640000000000002,-1.84,-1.84,0.0
-0.02062,-1.8800000000000001,-1.84,-0.040000000000000036
-0.0206,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02058,-1.84,-1.84,0.0
-0.020560000000000002,-1.84,-1.84,0.0
-0.020540000000000003,-1.84,-1.84,0.0
-0.02052,-1.84,-1.84,0.0
-0.0205,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02048,-1.84,-1.84,0.0
-0.02046,-1.8800000000000001,-1.84,-0.040000000000000036
-0.02044,-1.84,-1.84,0.0
-0.02042,-1.84,-1.84,0.0
-0.0204,-1.8800000000000001,-1.84,-0.040000000000000036
-0.020380000000000002,-1.84,-1.8,-0.040000000000000036
-0.020360000000000003,-1.84,-1.84,0.0
-0.02034,-1.84,-1.84,0.0
-0.02032,-1.84,-1.8,-0.040000000000000036
-0.020300000000000002,-1.84,-1.76,-0.08000000000000007
-0.02028,-1.84,-1.8,-0.040000000000000036
-0.02026,-1.84,-1.8,-0.040000000000000036
-0.02024,-1.84,-1.8,-0.040000000000000036
-0.020220000000000002,-1.84,-1.8,-0.040000000000000036
-0.020200000000000003,-1.84,-1.8,-0.040000000000000036
-0.02018,-1.8,-1.76,-0.040000000000000036
-0.02016,-1.84,-1.76,-0.08000000000000007
-0.02014,-1.8,-1.8,0.0
-0.02012,-1.84,-1.8,-0.040000000000000036
-0.0201,-1.8,-1.8,0.0
-0.02008,-1.84,-1.8,-0.040000000000000036
-0.02006,-1.8,-1.8,0.0
-0.020040000000000002,-1.84,-1.76,-0.08000000000000007
-0.020020000000000003,-1.8,-1.8,0.0
-0.02,1.24,-1.76,3.0
-0.01998,1.68,-0.28,1.96
-0.019960000000000002,1.92,0.8,1.1199999999999999
-0.01994,2.08,1.44,0.6400000000000001
-0.01992,2.16,1.8,0.3600000000000001
-0.0199,2.2,2.0,0.20000000000000018
-0.019880000000000002,2.2,2.12,0.08000000000000007
-0.019860000000000003,2.2,2.16,0.040000000000000036
-0.01984,2.2,2.24,-0.040000000000000036
-0.01982,2.2,2.24,-0.040000000000000036
-0.0198,2.2,2.24,-0.040000000000000036
-0.01978,2.2,2.24,-0.040000000000000036
-0.01976,2.2,2.24,-0.040000000000000036
-0.01974,2.2,2.24,-0.040000000000000036
-0.01972,2.2,2.24,-0.040000000000000036
-0.019700000000000002,2.2,2.24,-0.040000000000000036
-0.019680000000000003,2.2,2.24,-0.040000000000000036
-0.01966,2.24,2.24,0.0
-0.01964,2.2,2.24,-0.040000000000000036
-0.019620000000000002,2.2,2.24,-0.040000000000000036
