Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
0.0,1.36,-0.04,1.4000000000000001
0.001,1.36,0.0,1.36
0.002,1.36,-0.04,1.4000000000000001
0.003,1.36,-0.04,1.4000000000000001
0.004,1.36,-0.04,1.4000000000000001
0.005,1.36,-0.04,1.4000000000000001
0.006,1.36,-0.04,1.4000000000000001
0.007,1.36,-0.04,1.4000000000000001
0.008,1.36,-0.04,1.4000000000000001
0.009000000000000001,1.36,-0.04,1.4000000000000001
0.01,1.36,-0.04,1.4000000000000001
0.011,1.36,-0.08,1.4400000000000002
0.012,1.36,-0.04,1.4000000000000001
0.013000000000000001,1.36,-0.04,1.4000000000000001
0.014,1.4000000000000001,-0.04,1.4400000000000002
0.015,1.36,-0.04,1.4000000000000001
0.016,1.36,-0.04,1.4000000000000001
0.017,1.36,-0.04,1.4000000000000001
0.018000000000000002,1.36,-0.04,1.4000000000000001
0.019,1.36,-0.04,1.4000000000000001
0.02,1.36,-0.04,1.4000000000000001
0.021,1.36,-0.04,1.4000000000000001
0.022,1.36,-0.04,1.4000000000000001
0.023,1.36,-0.04,1.4000000000000001
0.024,1.36,-0.04,1.4000000000000001
0.025,1.36,-0.04,1.4000000000000001
0.026000000000000002,1.36,-0.04,1.4000000000000001
0.027,1.36,-0.04,1.4000000000000001
0.028,1.36,-0.04,1.4000000000000001
0.029,1.36,-0.04,1.4000000000000001
0.03,1.36,-0.04,1.4000000000000001
0.031,1.36,-0.04,1.4000000000000001
0.032,1.36,-0.04,1.4000000000000001
0.033,1.36,-0.04,1.4000000000000001
0.034,1.36,-0.04,1.4000000000000001
0.035,1.36,-0.04,1.4000000000000001
0.036000000000000004,1.36,-0.04,1.4000000000000001
0.037,1.36,-0.04,1.4000000000000001
0.038,1.36,-0.04,1.4000000000000001
0.039,1.36,-0.04,1.4000000000000001
0.04,1.36,-4.96,6.32
0.041,-4.92,-4.96,0.040000000000000036
0.042,-4.92,-4.96,0.040000000000000036
0.043000000000000003,-4.92,-4.96,0.040000000000000036
0.044,-4.92,-4.96,0.040000000000000036
0.045,-4.92,-4.96,0.040000000000000036
0.046,-4.92,-4.96,0.040000000000000036
0.047,-4.92,-4.96,0.040000000000000036
0.048,-4.92,-4.96,0.040000000000000036
0.049,-4.92,-4.96,0.040000000000000036
0.05,-4.92,-4.96,0.040000000000000036
0.051000000000000004,-4.92,-4.96,0.040000000000000036
0.052000000000000005,-4.92,-4.96,0.040000000000000036
0.053,-4.92,-4.96,0.040000000000000036
0.054,-4.92,-4.96,0.040000000000000036
