Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-2.25e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.249e-05,-1.9887017599999999,-1.0,-0.9887017599999999
-2.248e-05,-1.9131814399999998,-1.0,-0.9131814399999998
-2.247e-05,-1.93835488,-1.0,-0.9383548799999999
-2.2460000000000002e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.245e-05,-1.9635283199999998,-1.04,-0.9235283199999997
-2.2440000000000002e-05,-1.9887017599999999,-1.0,-0.9887017599999999
-2.243e-05,-1.93835488,-1.0,-0.9383548799999999
-2.2420000000000002e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.241e-05,-1.9887017599999999,-1.04,-0.9487017599999998
-2.2400000000000002e-05,-1.9635283199999998,-0.96,-1.0035283199999998
-2.239e-05,-1.93835488,-1.0,-0.9383548799999999
-2.2380000000000003e-05,-1.93835488,-1.0,-0.9383548799999999
-2.237e-05,-1.9887017599999999,-1.0,-0.9887017599999999
-2.2360000000000003e-05,-2.0138751999999998,-1.04,-0.9738751999999997
-2.235e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.2340000000000003e-05,-1.9131814399999998,-0.96,-0.9531814399999998
-2.233e-05,-1.93835488,-1.0,-0.9383548799999999
-2.232e-05,-1.93835488,-0.96,-0.9783548799999999
-2.231e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.23e-05,-1.9635283199999998,-1.0,-0.9635283199999998
-2.2290000000000002e-05,-1.9635283199999998,-0.96,-1.0035283199999998
-2.228e-05,-1.9635283199999998,-0.96,-1.0035283199999998
-2.2270000000000002e-05,-1.8628345599999998,-0.96,-0.9028345599999998
-2.226e-05,-1.93835488,-0.96,-0.9783548799999999
-2.2250000000000002e-05,-1.93835488,-0.96,-0.9783548799999999
-2.224e-05,-1.9131814399999998,-0.96,-0.9531814399999998
-2.2230000000000002e-05,-1.888008,-0.96,-0.9280079999999999
-2.222e-05,-1.9131814399999998,-1.0,-0.9131814399999998
-2.2210000000000002e-05,-1.9131814399999998,-1.04,-0.8731814399999998
-2.22e-05,-1.9131814399999998,-1.0,-0.9131814399999998
-2.2190000000000003e-05,-1.9131814399999998,-0.96,-0.9531814399999998
-2.218e-05,-1.888008,-0.96,-0.9280079999999999
-2.2170000000000003e-05,-1.888008,-1.0,-0.8880079999999999
-2.216e-05,-1.9131814399999998,-0.96,-0.9531814399999998
-2.2150000000000003e-05,-1.9131814399999998,-1.0,-0.9131814399999998
-2.214e-05,-1.888008,-0.92,-0.9680079999999999
-2.213e-05,-1.8628345599999998,-0.92,-0.9428345599999998
-2.212e-05,-1.8628345599999998,-0.96,-0.9028345599999998
-2.211e-05,-1.83766112,-0.96,-0.87766112
-2.2100000000000002e-05,-1.888008,-0.92,-0.9680079999999999
-2.209e-05,-1.888008,-1.0,-0.8880079999999999
-2.2080000000000002e-05,-1.83766112,-0.96,-0.87766112
-2.207e-05,-1.83766112,-0.96,-0.87766112
-2.2060000000000002e-05,-1.8628345599999998,-0.96,-0.9028345599999998
-2.205e-05,-1.8124876799999998,-0.92,-0.8924876799999998
-2.2040000000000002e-05,-1.8124876799999998,-0.96,-0.8524876799999999
-2.203e-05,-1.83766112,-0.88,-0.9576611199999999
-2.2020000000000003e-05,-1.8124876799999998,-0.92,-0.8924876799999998
-2.201e-05,-1.83766112,-0.96,-0.87766112
-2.2000000000000003e-05,-1.8124876799999998,-0.88,-0.9324876799999998
-2.199e-05,-1.8124876799999998,-0.96,-0.8524876799999999
-2.1980000000000003e-05,-1.78731424,-0.92,-0.8673142399999999
-2.197e-05,-1.78731424,-0.96,-0.82731424
