frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,7.1453557014,3.6511998177,0.0036416037,0.2611099945727232,-5.831765042601321
27.825594022071243,5.4728331566,2.7878024578,-0.0207528789,0.25947742305373406,-5.859004238260592
77.4263682681127,4.5466599464,2.3075487614,-0.008537584,0.25758278030765513,-5.890831734058982
215.44346900318823,4.1988158226,2.1300427914,-0.0062018503,0.2573493089058172,-5.894769936807363
599.4842503189409,4.0567040443,2.0579471588,-0.0043602814,0.2573485873379419,-5.894782113773651
1668.100537200059,4.0679450035,2.0761585236,-0.0055706576,0.26047789626259793,-5.842291243355588
4641.588833612777,4.1061253548,2.0697729588,-0.0576522499,0.25408616008660206,-5.950189900527889
12915.496650148827,4.1280002594,2.0634067059,-0.245116204,0.24985626490924706,-6.023097565619811
35938.13663804626,4.3102517128,2.0567367077,-0.4417943358,0.22769428606826264,-6.426478677606145
100000.0,5.3612885475,2.0507264137,-1.0400526524,0.14631103645848054,-8.347229131621873
